id	subpopulation_A	subpopulation_B	hillFunc	rate
1	xa	xb	""	0.001
2	xa	xc	""	0.001
3	xb	xc	""	0.001
4	xc	xd	""	0.001
5	xe	xf	""	0.001
6	xe	xg	""	0.001
7	xf	xg	""	0.001
8	xg	xh	""	0.001
9	xi	xj	""	0.001
10	xi	xl	""	0.001
11	xj	xk	""	0.001
12	xk	xl	""	0.001
