id	subpopulation	feedingTerm
1	xa	xa_trehalose
2	xa	xa_pyruvate
3	xb	xb_glucose_glutamate
4	xe	xe_pyruvate
5	xe	xe_glucose
6	xf	xf_mannose
7	xi	xi_pyruvate
8	xi	xi_glucose
9	xj	xj_lactate
10	xj	xj_acetate
