Experiment	condition	Bh	Bt	Ri	Trehalose	Glucose	Pyruvate	Succinate	Lactate	Formate	Acetate	Butyrate
A6V7_36	E1_p24	0	3.224950943	0.001749057	0.513866221	1.643372817	2.436736773	8.747447245	2.788605679	1.550439698	10.17312356	0.081790102
A6V7_37	E1_p25	0	5.48586459	0.001025293	0.565405001	1.904952255	3.101136309	9.735170406	3.400949952	1.852748944	11.33948658	0.077960031
A6V7_38	E1_p26	0.002520565	4.992835134	0.001344301	0.512756455	1.715413519	3.06440991	8.687024599	3.338944854	1.669220235	10.38805727	0.059614563
A6V7_39	E1_p27	0	7.028772278	0.001427722	0.511260313	0.998808963	2.260441012	9.392857717	3.710781526	1.652290083	11.22479602	0.066213676
A6V8_1	E1_c1	0.043298246	0.047408449	0.018936919	0.693420037	9.880882708	10.0917616	0.637186417	0.773684049	0.958031876	2.436031436	0.226028834
A6V8_2	E1_c2	2.838711273	1.774247284	0.086900521	0.484887964	8.15619844	7.993456948	1.174939166	0.821254887	0.831115137	7.174669564	0.358279639
A6V8_3	E1_c3	4.526891939	8.536576892	0.717219239	0.107986453	0.274728899	0	4.784771093	0.750507883	0.667248729	14.82238806	2.783383022
A6V8_4	E1_c4	2.251691023	10.22911065	2.717180358	0.183441902	0.070363196	0	3.503907496	0.91736581	0.70659109	9.942083602	7.408524733
A6V8_5	E1_c5	1.134786237	4.908355112	2.443117437	0.238143361	0.062619992	0	2.842891547	0.925399831	0.663863705	5.474049359	9.834763189
A6V8_6	E1_c6	0.731459656	4.269406275	1.549196049	0.294067969	0.06154821	0	2.613162594	1.080938648	0.724103032	4.340470927	11.6933344
A6V8_7	E1_c7	2.24065934	11.54804559	5.633608141	0.223853987	0.067115445	0	2.778574678	1.133971722	1.037391003	4.999659672	12.92079993
A6V8_8	E1_c8	3.358470204	6.531481522	4.149048145	0	0.062132741	0	2.375943484	0.813383483	0.820080725	6.522062608	12.78172371
A6V8_9	E1_c9	3.4432874	9.306182161	5.510486236	0	0.064696894	0	2.195305105	0.63801377	0.958436813	7.454479345	13.82672319
A6V8_10	E1_c10	3.057437098	10.89351888	5.572012668	0	0.065338363	0	2.315928292	0.541802371	1.434333738	8.814435477	14.97800342
A6V8_11	E1_c11	2.312792578	8.169930098	4.979735556	0	0.062012058	0	2.015878407	0.407547428	1.591314272	8.423184417	14.73415587
A6V8_12	E1_c12	0.969948892	8.476069065	5.625928882	0.098198849	0.061085317	0	1.936679082	0.3381024	1.470841275	6.051318258	15.4047295
A6V8_13	E1_p1	0.699848465	9.872119187	7.536374936	0.215379365	0.063772134	0	2.209643451	0.312820164	1.593595961	5.095582565	16.44220121
A6V8_14	E1_p2	0.38027178	6.703823473	4.464871146	0.275976771	0.060592871	0	1.81962544	0.261840242	1.237446603	3.724713384	14.49710481
A6V8_15	E1_p3	0.239540702	3.131816797	3.048017079	0.332586064	0.059316838	0	1.462312802	0.255747541	1.30460292	3.57134572	13.83258629
A6V8_16	E1_p4	0.335937852	4.324561368	4.383399606	0.386864906	0.323190926	0.921120272	1.337859793	0.326393175	0.872038272	3.933014361	11.7692882
A6V8_17	E1_p5	0.232564715	3.753251375	2.724533764	0.412398332	1.528044487	2.602312381	1.489497904	1.09674625	0.807559465	3.900994862	8.925060423
A6V8_18	E1_p6	0.109883958	2.794918811	2.033192364	0.44306989	2.889111758	4.228904639	1.564992755	1.453401809	0.844839369	3.838920594	7.017714922
A6V8_19	E1_p7	0.074385638	1.608289478	1.315046096	0.500914333	4.424155693	5.966019353	1.748393783	1.944090003	0.987369036	4.066813397	5.728955175
A6V8_20	E1_p8	0.123647335	1.723127116	1.930374813	0.46627204	3.84662006	5.263804887	1.838703548	2.018778675	0.905274984	4.009879479	5.339434748
A6V8_21	E1_p9	0.147811737	2.14002043	2.02795607	0.468497948	3.665996185	5.114134649	2.084019128	2.400705806	0.917359613	4.286506467	5.473550943
A6V8_22	E1_p10	0.02886102	0.985902848	0.468189882	0.524527925	7.17245627	8.853751476	1.347219623	1.741877655	1.069783371	3.334062865	2.328950333
A6V8_23	E1_p11	0.020336173	5.641311726	0.275106491	0.507314009	6.139676891	8.116994338	2.148605225	1.208920835	1.544341017	4.437769011	1.619987319
A6V8_24	E1_p12	0.011811326	10.2967206	0.0820231	0.557991858	1.569845292	2.998705457	6.621553761	2.958255021	1.892783784	9.474191998	1.2362496
A6V8_25	E1_p13	0.005156888	7.229750087	0.042630271	0.596287892	0.733995652	0.889780098	9.491333537	3.184913691	1.771295667	12.04161529	0.944137587
A6V8_26	E1_p14	0.006145715	6.326706245	0.041227504	0.550199571	0.68826798	0.867284071	9.390052344	2.075455275	1.422309666	11.31702048	0.666816691
