time	experiment	replicate	acetate
12	AMBR7	K	4.844113138
24	AMBR7	K	12.60840876
36	AMBR7	K	8.85966424
48	AMBR7	K	9.382336694
60	AMBR7	K	10.05636368
72	AMBR7	K	12.45646718
84	AMBR7	K	12.27139481
96	AMBR7	K	14.11239787
108	AMBR7	K	13.73644607
120	AMBR7	K	15.71102882
132	AMBR7	K	15.38509429
144	AMBR7	K	16.64245222
156	AMBR7	K	14.83668284
168	AMBR7	K	15.55899996
180	AMBR7	K	14.32900619
192	AMBR7	K	13.72377179
204	AMBR7	K	11.43590216
216	AMBR7	K	13.81974573
228	AMBR7	K	12.77107424
240	AMBR7	K	12.93875393
252	AMBR7	K	12.21627144
0	AMBR7	L	0.570142714
12	AMBR7	L	4.844113138
24	AMBR7	L	12.60840876
36	AMBR7	L	8.85966424
48	AMBR7	L	9.382336694
60	AMBR7	L	10.05636368
72	AMBR7	L	12.45646718
84	AMBR7	L	12.27139481
96	AMBR7	L	14.11239787
108	AMBR7	L	13.73644607
120	AMBR7	L	15.71102882
132	AMBR7	L	15.38509429
144	AMBR7	L	16.64245222
156	AMBR7	L	14.83668284
168	AMBR7	L	15.55899996
180	AMBR7	L	14.32900619
192	AMBR7	L	13.72377179
204	AMBR7	L	11.43590216
216	AMBR7	L	13.81974573
228	AMBR7	L	12.77107424
240	AMBR7	L	12.93875393
252	AMBR7	L	12.21627144
0	AMBR7	M	0.520954213
12	AMBR7	M	4.631843341
24	AMBR7	M	12.77843388
36	AMBR7	M	9.214993241
48	AMBR7	M	9.337811359
60	AMBR7	M	9.467232119
72	AMBR7	M	12.11084325
84	AMBR7	M	12.20513873
96	AMBR7	M	15.00668774
108	AMBR7	M	14.41621948
120	AMBR7	M	15.9745281
132	AMBR7	M	15.21098283
144	AMBR7	M	16.89635301
156	AMBR7	M	11.88701768
168	AMBR7	M	16.00865752
180	AMBR7	M	14.36025275
192	AMBR7	M	14.10480672
204	AMBR7	M	11.5142519
216	AMBR7	M	14.40606793
228	AMBR7	M	12.55315035
240	AMBR7	M	12.29957753
252	AMBR7	M	11.38928864
