time	experiment	replicate	trehalose
12	AMBR7	L	0.655361326
24	AMBR7	L	0.604678694
36	AMBR7	L	0.079716366
48	AMBR7	L	0.077546974
60	AMBR7	L	0.188681739
72	AMBR7	L	0.043262769
84	AMBR7	L	0.021808818
96	AMBR7	L	0.01847916
108	AMBR7	L	0.023028521
120	AMBR7	L	0.014540135
132	AMBR7	L	0.019063718
144	AMBR7	L	0.016607393
156	AMBR7	L	0
168	AMBR7	L	0
180	AMBR7	L	0
192	AMBR7	L	0
204	AMBR7	L	0
216	AMBR7	L	0
228	AMBR7	L	0
240	AMBR7	L	0
252	AMBR7	L	0
0	AMBR7	M	0.79988148
12	AMBR7	M	0.671742071
24	AMBR7	M	0.637950813
36	AMBR7	M	0.102518341
48	AMBR7	M	0.054318767
60	AMBR7	M	0.176426936
72	AMBR7	M	0.018301079
84	AMBR7	M	0.026853194
96	AMBR7	M	0.02206252
108	AMBR7	M	0.016006497
120	AMBR7	M	0.030320947
132	AMBR7	M	0.023299737
144	AMBR7	M	0
156	AMBR7	M	0
168	AMBR7	M	0
180	AMBR7	M	0
192	AMBR7	M	0
204	AMBR7	M	0
216	AMBR7	M	0
228	AMBR7	M	0
240	AMBR7	M	0
252	AMBR7	M	0
