Vessel	Condition	Description	Label	Time (h)	Time in condition (h)	Pyruvate (mM)	Glucose (mM)	Trehalose (mM)	Acetate (mM)	Lactate (mM)	Succinate (mM)	Formate (mM)	Butyrate (mM)	Blautia hydrogenotrophica (10^5 cells/uL)	Bacteroides thetaiotaomicron (10^5 cells/uL)	Roseburia intestinalis (10^5 cells/uL)
A7_C1_V5	control	control conditions	E2_C28	216	216	0	0.035538171	0	20.97674242	1.84154506	2.212056763	0.788603788	14.01720299	6.157331999	12.4595424	4.240996245
A7_C1_V5	control	control conditions	E2_C29	228	228	0	0.059522738	0	19.12803625	1.979900398	2.209861158	0.733574794	12.87188233	8.597669847	11.76901675	6.167782728
A7_C1_V5	control	control conditions	E2_C30	240	240	0	0.043306617	0	19.85514993	2.070729747	2.216141832	0.776613295	13.02528555	7.520136612	10.54508253	5.673239857
A7_C1_V5	control	control conditions	E2_C31	252	252	0	0.03443292	0	19.57573955	1.953201645	2.088793289	0.640908891	12.0336189	11.12835594	9.545625748	3.457476179
A7_C1_V6	control	control conditions	E2_C1	0	0	11.28428719	10.90417537	0.78204873	2.306919773	0.311170327	0.632363053	1.172017215	0.572392074	0.108146372	0.017904303	0.02616773
A7_C1_V6	control	control conditions	E2_C3	12	12	0.900127817	0.03373363	0.68112598	12.38688566	2.133779147	4.628213369	2.414127041	6.274735952	0.25446742	7.059653279	7.061903671
A7_C1_V6	control	control conditions	E2_C5	24	24	0	0.09738901	0.595831026	6.299453174	1.044684154	4.189938701	1.833373347	13.45354033	0.09928846	20.48501454	9.871679917
A7_C1_V6	control	control conditions	E2_C7	36	36	0	0.112603367	0.37992467	8.894415705	1.503862981	3.591095537	1.377211171	10.37751366	0.033618897	22.55731905	2.907234103
A7_C1_V6	control	control conditions	E2_C9	48	48	0	0.071016856	0.267892868	9.810246905	3.509488619	3.69509634	1.419060529	11.40676033	0.496684817	19.47169128	5.270072875
A7_C1_V6	control	control conditions	E2_C11	60	60	0	0.030801531	0.022931251	15.54960697	2.325159833	2.922476808	0.930273185	11.70998937	10.11196906	13.15844361	4.647996455
A7_C1_V6	control	control conditions	E2_C13	72	72	0	0.031887208	0.018269625	16.25748422	1.818385842	2.545554674	1.065178296	14.33627581	2.914809531	13.98930843	7.745671873
A7_C1_V6	control	control conditions	E2_C15	84	84	0	0.02766735	0.021050572	14.72140159	1.444822118	2.074200794	0.913205889	14.35799277	6.903303618	13.04678053	8.922558535
A7_C1_V6	control	control conditions	E2_C17	96	96	0	0.026019901	0.018384648	14.73186549	1.164012863	2.030166332	1.08261868	17.03422666	3.701719613	11.79630269	9.908347593
A7_C1_V6	control	control conditions	E2_C19	108	108	0	0.024545382	0.01763924	15.11070682	1.131324881	1.753396646	0.909894413	15.2517893	8.304807957	11.69230723	7.789032521
A7_C1_V6	control	control conditions	E2_C20	120	120	0	0.019679055	0.018349269	16.0065927	1.243793803	1.599907711	0.965471932	16.38131397	4.239820268	6.491359382	4.413339163
A7_C1_V6	control	control conditions	E2_C21	132	132	0	0.021642415	0.010639789	15.67536795	1.173661528	1.482723226	0.821981468	15.20686709	5.637421626	5.123712584	4.652812628
A7_C1_V6	control	control conditions	E2_C22	144	144	0	0.017156322	0.015207539	16.5739363	1.185253647	1.535687287	0.950632052	16.70777307	5.427247457	7.727036343	6.302407968
A7_C1_V6	control	control conditions	E2_C23	156	156	0	0.04104371	0	14.59584151	1.105292392	1.389771604	0.799013087	15.62784859	4.72030151	6.455639408	6.902300789
A7_C1_V6	control	control conditions	E2_C24	168	168	0	0.037764617	0	15.67505512	1.125896657	1.425809966	0.862846142	16.6010633	4.577611221	5.075500753	3.502070749
A7_C1_V6	control	control conditions	E2_C25	180	180	0	0.039274938	0	15.4289775	1.206830502	1.370672291	0.768612403	15.45145418	6.089109094	4.73927539	8.435039858
A7_C1_V6	control	control conditions	E2_C26	192	192	0	0.044384872	0	16.61079433	1.072369794	1.358071045	0.866141902	16.36348032	7.48018225	9.416094655	6.889098936
A7_C1_V6	control	control conditions	E2_C27	204	204	0	0.026144227	0	14.36308244	0.975761277	1.251898513	0.775349869	15.43752681	6.174063722	7.998648219	7.505655935
A7_C1_V6	control	control conditions	E2_C28	216	216	0	0.027967052	0	15.18854892	1.073120451	1.277652733	0.831504882	16.13466166	5.85983953	6.279958875	5.85185247
A7_C1_V6	control	control conditions	E2_C29	228	228	0	0.026724468	0	15.10607086	1.064987741	1.163114425	0.773064042	15.16948642	6.593167952	4.762326168	7.188387382
A7_C1_V6	control	control conditions	E2_C30	240	240	0	0.024296894	0	15.99289531	1.114413027	1.154235168	0.829250801	16.03992796	7.326496373	3.244693462	8.524922294
A7_C1_V6	control	control conditions	E2_C31	252	252	0	0.024846692	0	13.87865792	1.045728801	1.050381545	0.722393966	14.8915113	6.946610068	4.931591588	4.977637609
A7_C1_V7	control	control conditions	E2_C1	0	0	11.21201157	10.66460689	0.769455035	2.291841208	0.300917799	0.626722737	1.147632653	0.48610908	0.081594701	0.018873499	0.02408297
A7_C1_V7	control	control conditions	E2_C3	12	12	1.584810273	0.175241591	0.645695559	11.78487765	2.071662908	5.047626066	2.440183423	5.106334065	0.354359721	11.11914967	5.8298306
A7_C1_V7	control	control conditions	E2_C5	24	24	0	0.065192343	0.617252661	6.326461473	1.120975941	4.551455158	1.951846592	12.79993495	0.034568476	10.97165034	4.825503254
A7_C1_V7	control	control conditions	E2_C7	36	36	0	0.096528708	0.061925998	8.992840251	2.111721068	4.538002248	1.497945465	9.067931755	0	36.60910374	0.037940307
A7_C1_V7	control	control conditions	E2_C9	48	48	0	0.072602481	0.079676615	10.42585664	4.879770444	4.773545831	2.421218526	9.857642299	0	37.89909723	1.881980885
A7_C1_V7	control	control conditions	E2_C11	60	60	0	0.027805989	0.087151166	8.419581652	4.371263059	3.689619736	1.526285631	10.56263656	1.789034836	19.65468501	5.083180984
A7_C1_V7	control	control conditions	E2_C13	72	72	0	0.026941809	0.023558219	16.81731521	2.696951312	3.167314249	0.926387254	12.98759987	15.88953846	12.91530509	4.626789484
A7_C1_V7	control	control conditions	E2_C15	84	84	0	0.030893766	0.016438512	16.64916578	1.774873116	2.395136414	0.833592379	13.32447143	6.580490411	11.0983989	6.591138454
A7_C1_V7	control	control conditions	E2_C17	96	96	0	0.024590115	0.015244513	17.87315677	1.484928008	2.43732712	0.962772943	15.97248493	8.683313355	14.34708136	12.80762214
A7_C1_V7	control	control conditions	E2_C19	108	108	0	0.02349018	0.023694177	15.30057041	1.080778049	1.934013663	0.936860934	15.20821205	5.574488535	12.88606981	8.38629775
A7_C1_V7	control	control conditions	E2_C20	120	120	0	0.015762638	0.017627224	14.68001476	0.965061162	2.200552377	1.110952036	17.88690161	3.266829388	9.584918387	6.27465075
A7_C1_V7	control	control conditions	E2_C21	132	132	0	0.02909513	0.011703058	13.40850287	0.869751681	1.860392569	0.961996385	16.12444397	2.643387289	7.521156385	7.21987251
A7_C1_V7	control	control conditions	E2_C22	144	144	0	0	0.019566645	16.32970215	1.236895048	2.114961325	1.07117053	18.0679005	6.155168623	18.3827473	12.58619914
A7_C1_V7	control	control conditions	E2_C23	156	156	0	0.036171442	0	15.18153281	1.251068175	1.955823632	0.852734128	15.92000372	6.208692682	15.90820783	11.17637363
A7_C1_V7	control	control conditions	E2_C24	168	168	0	0.023320035	0	15.39377449	1.191773096	1.947668573	0.917261758	15.97419002	4.082572263	14.22605887	6.420410443
A7_C1_V7	control	control conditions	E2_C25	180	180	0	0.034136605	0	14.91746623	1.13283807	1.928645285	0.764671048	15.12984026	5.63151455	13.02454509	5.889567238
A7_C1_V7	control	control conditions	E2_C26	192	192	0	0.031018206	0	16.99887694	1.584275483	2.368077916	0.757422827	13.89402199	5.86081581	13.15281774	7.034368047
A7_C1_V7	control	control conditions	E2_C27	204	204	0	0.033460357	0	21.20377208	0	2.277463895	1.067720967	10.94060214	7.180456837	11.82303131	5.358724034
A7_C1_V7	control	control conditions	E2_C28	216	216	0	0.040911578	0	19.15583283	1.873718962	2.507030588	0.742191578	14.40509504	6.09011707	13.2810904	8.179168855
A7_C1_V7	control	control conditions	E2_C29	228	228	0	0.026495318	0	18.61275863	1.846738438	2.36643993	0.668433891	12.96429908	5.949030562	11.40190471	3.685834363
A7_C1_V7	control	control conditions	E2_C30	240	240	0	0.034868786	0	20.06276522	1.983451808	2.50931714	0.73731719	13.67997131	6.200724225	12.84670023	5.203327672
A7_C1_V7	control	control conditions	E2_C31	252	252	0	0.033976809	0	18.3317889	1.918961161	2.276422796	0.599234134	12.44713603	8.876324947	14.41072622	3.53377954
A7_C1_V8	control	control conditions	E2_C1	0	0	10.9969656	10.44072793	0.752164072	2.250265676	0.291849362	0.610848621	1.114232919	0.596097949	0.083232728	0.015404576	0.022082663
A7_C1_V8	control	control conditions	E2_C3	12	12	1.518604159	0.071634333	0.663556927	12.18682698	2.232345182	5.102216176	2.452050968	5.549575017	0.265859605	8.311332689	4.381729574
A7_C1_V8	control	control conditions	E2_C5	24	24	0	0.098402627	0.589203721	6.082205794	1.047761489	4.31990664	1.830856554	12.6936735	0.041169342	8.736428431	5.034667444
A7_C1_V8	control	control conditions	E2_C7	36	36	0	0.102746761	0.083040539	9.078564239	2.00275744	4.604989718	1.511530511	9.156731621	0	31.8750605	0.035856859
A7_C1_V8	control	control conditions	E2_C9	48	48	0	0.067486314	0.074527933	9.820704107	4.66127273	4.548388411	2.472781036	9.926477147	0	28.77102284	0.656587262
A7_C1_V8	control	control conditions	E2_C11	60	60	0	0.031733084	0.178571659	8.097639328	4.788037909	3.715275234	2.105883918	9.9952238	0.099548124	22.40737771	3.622948388
A7_C1_V8	control	control conditions	E2_C13	72	72	0	0.026188309	0.017631618	14.84927295	3.457633931	3.378865452	0.922595406	12.25596721	8.199106906	18.19836749	3.709585332
A7_C1_V8	control	control conditions	E2_C15	84	84	0	0.032361538	0.020579941	16.82306853	2.246820832	2.478666161	0.861720123	12.56655315	4.902679907	11.12951471	4.646882702
A7_C1_V8	control	control conditions	E2_C17	96	96	0	0.024685038	0.019725043	16.34424331	1.85978218	2.400512018	0.999768815	15.59525339	5.280493191	13.95852077	9.969537776
A7_C1_V8	control	control conditions	E2_C19	108	108	0	0.022407697	0.019199108	15.48834562	1.258940444	1.876075327	0.900505629	14.69900303	5.537167418	15.86203799	7.911011653
A7_C1_V8	control	control conditions	E2_C20	120	120	0	0.017029676	0.020847804	14.70497869	1.057071777	2.168971196	1.046838773	17.25051435	2.472553964	7.670984904	5.691551238
A7_C1_V8	control	control conditions	E2_C21	132	132	0	0.039011575	0.012403233	13.46676797	0.793669319	1.746651027	0.873101795	15.91909422	4.115859336	8.167816348	5.877754046
A7_C1_V8	control	control conditions	E2_C22	144	144	0	0	0.015115879	14.76018823	1.130979125	1.925366643	0.996503647	16.93999824	2.864436871	9.554987566	6.337852604
A7_C1_V8	control	control conditions	E2_C23	156	156	0	0.041101775	0	14.50007934	1.148827715	1.815366017	0.826187002	15.54200967	3.219772748	9.075766427	5.580854115
A7_C1_V8	control	control conditions	E2_C24	168	168	0	0.03609471	0	15.23069055	1.288795737	1.947775227	0.920746209	16.06019431	5.346319886	9.544484978	9.912968123
A7_C1_V8	control	control conditions	E2_C25	180	180	0	0.039452087	0	14.67753415	1.196614261	1.833657175	0.806271262	15.28724255	3.882248358	8.127373538	5.973830043
A7_C1_V8	control	control conditions	E2_C26	192	192	0	0.046680369	0	15.84487679	1.508302359	2.048189833	0.746943122	14.24020725	3.715778038	12.48554789	5.946134335
A7_C1_V8	control	control conditions	E2_C27	204	204	0	0.024919082	0	23.53493877	0	2.409002905	1.140059959	11.19052683	6.668847659	10.72518285	5.842927707
A7_C1_V8	control	control conditions	E2_C28	216	216	0	0.048081875	0	18.66799209	1.8581356	2.21795213	0.752220613	14.39417546	3.492644437	8.325635482	3.254075828
A7_C1_V8	control	control conditions	E2_C29	228	228	0	0.029699935	0	18.36232726	1.890098404	2.007342439	0.643915904	12.86113914	8.498418386	12.01919172	4.760975263
A7_C1_V8	control	control conditions	E2_C30	240	240	0	0.032034247	0	19.74688331	1.980737408	2.073773391	0.706068705	13.45893397	7.941967121	9.530360546	4.828515344
A7_C1_V8	control	control conditions	E2_C31	252	252	0	0.025494119	0	18.60894731	1.891933138	1.867722509	0.59090023	12.18398676	8.957434996	10.52386681	6.157676907
A7_C1_V9	control	control conditions	E2_C1	0	0	11.23267894	10.78542777	0.762954011	2.255440465	0.29796296	0.623181189	1.148340691	0.507558705	0.072499015	0.017544633	0.023063255
A7_C1_V9	control	control conditions	E2_C3	12	12	1.569994747	0.098600818	0.65307704	11.85098637	2.176100922	5.00943498	2.470032282	5.36670245	0.35558822	11.41298191	7.32875721
A7_C1_V9	control	control conditions	E2_C5	24	24	0	0.062160611	0.60426014	6.112299307	1.134058074	4.414615155	1.885259597	12.51860936	0.067024034	16.99394392	7.624914801
A7_C1_V9	control	control conditions	E2_C7	36	36	0	0.087477794	0.067779786	8.843205935	1.991122319	4.380965129	1.522005868	9.458031417	0	34.87612279	0.063739928
A7_C1_V9	control	control conditions	E2_C9	48	48	0	0.078985422	0.086797944	9.7526572	4.599008919	4.509491427	2.26221802	10.24415171	0	30.27513871	1.757401691
A7_C1_V9	control	control conditions	E2_C11	60	60	0	0.024426092	0.020063434	10.37475211	4.187090107	3.679120478	0.79612656	10.34103607	4.961722172	15.4857324	4.506931229
A7_C1_V9	control	control conditions	E2_C13	72	72	0	0.026141606	0.023322883	17.50246041	2.640561324	3.051304377	0.88915041	12.70478784	10.78502076	18.5386631	5.670038484
A7_C1_V9	control	control conditions	E2_C15	84	84	0	0.026443179	0.019350444	14.94975526	1.957454483	2.506652349	0.898910815	13.3772751	4.537523185	17.50516559	8.119172197
A7_C1_V9	control	control conditions	E2_C17	96	96	0	0.022097371	0.020358254	16.81463848	1.556653598	2.388930508	1.007585101	15.76570202	6.42467098	13.23090348	8.896227124
A7_C1_V9	control	control conditions	E2_C19	108	108	0	0.021476074	0.015909012	14.3950443	1.281823541	2.229897114	0.911181935	14.79924246	3.847801913	14.21499536	9.630305629
A7_C1_V9	control	control conditions	E2_C20	120	120	0	0.017743611	0.016648154	14.87615306	0.996152485	2.431190799	1.068307472	16.82153105	3.370959102	13.01087395	6.752322398
A7_C1_V9	control	control conditions	E2_C21	132	132	0	0.015058448	0.01345946	13.91699302	1.020986067	2.236551	0.924901087	15.7265786	2.834947328	8.476323331	4.750288979
A7_C1_V9	control	control conditions	E2_C22	144	144	0	0	0.01690426	15.8471278	1.138336391	2.305048283	0.98266181	16.37319457	2.995948778	14.38988005	6.020393394
A7_C1_V9	control	control conditions	E2_C23	156	156	0	0.048741344	0	15.04004728	1.551530778	2.216263409	0.813728028	14.59728176	2.526650274	9.000092068	5.0760495
A7_C1_V9	control	control conditions	E2_C24	168	168	0	0.032288882	0	16.33263717	1.706309715	2.760441224	0.893080869	14.79540416	0	0	0
A7_C1_V9	control	control conditions	E2_C25	180	180	0	0.037026421	0	15.47702552	1.571600441	2.589312211	0.747335644	13.9769018	5.28777242	15.36741936	7.236679519
A7_C1_V9	control	control conditions	E2_C26	192	192	0	0.027655231	0	16.7410315	1.530138157	2.642820068	0.747301384	13.44352199	4.136224848	13.09078882	8.369808205
A7_C1_V9	control	control conditions	E2_C27	204	204	0	0.016114852	0	23.7872911	0	2.686979719	1.125843881	11.18248184	3.676392876	8.513869105	3.280737675
A7_C1_V9	control	control conditions	E2_C28	216	216	0	0.034562257	0	18.99173962	1.788581162	2.732253979	0.783495396	13.84656786	6.328727463	16.98993758	6.258300335
A7_C1_V9	control	control conditions	E2_C29	228	228	0	0.049236912	0	18.66188672	1.921321043	2.456346638	0.652637301	12.55162532	5.548097441	16.36103053	3.583959725
A7_C1_V9	control	control conditions	E2_C30	240	240	0	0.025619759	0	20.18336696	1.92234344	2.58371733	0.728586888	13.21065006	6.563123215	11.89068082	4.463220839
A7_C1_V9	control	control conditions	E2_C31	252	252	0	0.052161297	0	20.12968519	1.883062684	2.201814638	0.590091927	11.87508479	7.80869617	8.375019927	6.495434974
A7_C1_V10	control	control conditions	E2_C1	0	0	11.08642997	10.57571623	0.756830266	2.348320236	0.302001415	0.623541364	1.138740376	0.570142714	0.088580085	0.017463104	0.023694689
A7_C1_V10	control	control conditions	E2_C3	12	12	1.925328599	0.332490497	0.655361326	11.68358983	2.206723704	5.323327638	2.571551801	4.844113138	0.352835682	13.02426985	5.981574605
A7_C1_V10	control	control conditions	E2_C5	24	24	0	0.058567741	0.604678694	6.192253705	1.14009584	4.630684799	1.942378497	12.60840876	0.180461699	24.10170472	3.01538744
A7_C1_V10	control	control conditions	E2_C7	36	36	0	0.111168235	0.079716366	8.873897358	2.462657871	4.586835845	1.472898231	8.85966424	0.008087716	35.17913958	0.049200274
A7_C1_V10	control	control conditions	E2_C9	48	48	0	0.06684109	0.077546974	10.32372314	5.233591585	4.780763148	2.876167356	9.382336694	0	28.42511808	0.535264957
A7_C1_V10	control	control conditions	E2_C11	60	60	0	0.030007274	0.188681739	8.334081522	5.099438126	3.869220159	2.368588406	10.05636368	0	29.71389921	5.638984036
A7_C1_V10	control	control conditions	E2_C13	72	72	0	0.022988613	0.043262769	8.687276826	4.509074456	3.749839755	1.48608714	12.45646718	2.761294232	19.12365061	8.773713312
A7_C1_V10	control	control conditions	E2_C15	84	84	0	0.026190776	0.021808818	15.77288367	2.586076166	2.657343607	0.762025335	12.27139481	12.52944538	15.90307171	5.034010373
A7_C1_V10	control	control conditions	E2_C17	96	96	0	0.029036512	0.01847916	20.12520995	1.837999646	2.384510396	0.907313395	14.11239787	10.0136175	10.67123993	7.007044233
A7_C1_V10	control	control conditions	E2_C19	108	108	0	0.026126325	0.023028521	17.26008408	1.248342476	2.23003534	0.864682189	13.73644607	7.789861775	11.23503484	11.01179738
A7_C1_V10	control	control conditions	E2_C20	120	120	0	0.020555039	0.014540135	17.40173415	1.183031537	2.15197717	0.983967143	15.71102882	2.841902029	7.045194252	3.474786399
A7_C1_V10	control	control conditions	E2_C21	132	132	0	0.017436864	0.019063718	13.71885627	0.955148423	2.377559794	0.918458444	15.38509429	2.94114171	9.069712798	6.73587982
A7_C1_V10	control	control conditions	E2_C22	144	144	0	0	0.016607393	14.35490399	1.245799743	3.078756507	1.020086611	16.64245222	3.108646167	9.641181493	7.992966593
A7_C1_V10	control	control conditions	E2_C23	156	156	0	0.048009642	0	12.85392679	1.14322471	2.744763179	0.798875209	14.83668284	2.508242765	9.965779167	5.685859296
A7_C1_V10	control	control conditions	E2_C24	168	168	0	0.041068643	0	15.23027823	1.600944996	2.908088668	0.868161246	15.55899996	2.711251647	15.10170703	6.454687755
A7_C1_V10	control	control conditions	E2_C25	180	180	0	0.030708963	0	14.87357774	1.72078525	2.563996468	0.744602343	14.32900619	4.105482896	15.42600075	7.788449681
A7_C1_V10	control	control conditions	E2_C26	192	192	0	0.041709224	0	16.31656344	1.680894491	2.56277489	0.733295791	13.72377179	3.925910942	9.193025129	12.66911456
A7_C1_V10	control	control conditions	E2_C27	204	204	0	0.017351775	0	19.91317683	0	2.677550461	1.042990663	11.43590216	5.80257033	10.78243435	8.540983189
A7_C1_V10	control	control conditions	E2_C28	216	216	0	0.038585459	0	18.37718029	1.844899554	2.622959095	0.73220555	13.81974573	7.690134761	12.65787341	7.343115895
A7_C1_V10	control	control conditions	E2_C29	228	228	0	0.047297817	0	18.81304403	1.890375217	2.292897844	0.650152149	12.77107424	9.514075011	15.35615411	7.179680723
A7_C1_V10	control	control conditions	E2_C30	240	240	0	0.051089957	0	20.40763954	1.988751484	2.381960114	0.689445267	12.93875393	7.679229718	12.37184356	4.41285182
A7_C1_V10	control	control conditions	E2_C31	252	252	0	0.033997068	0	19.07194562	1.836663889	2.151447982	0.595901861	12.21627144	9.577699191	14.53331247	6.145248601
A7_C1_V11	control	control conditions	E2_C1	0	0	10.9646961	10.44088976	0.743860901	2.310634227	0.293392497	0.614491483	1.136615948	0.778971951	0.092134956	0.017968004	0.024338703
A7_C1_V11	control	control conditions	E2_C3	12	12	1.938765943	0.36236306	0.655431007	11.73750311	2.212064653	5.446223084	2.585337901	4.958549568	0.321135757	12.12277123	6.175820443
A7_C1_V11	control	control conditions	E2_C5	24	24	0	0.055772432	0.585016025	6.022635334	1.097271975	4.465108414	1.864110867	12.42502586	0.091979827	18.03264501	9.122975304
A7_C1_V11	control	control conditions	E2_C7	36	36	0	0.106914195	0.085259039	9.006060274	2.412405721	4.733468265	1.512594139	8.842605045	0.016388184	39.57855789	0.054627281
A7_C1_V11	control	control conditions	E2_C9	48	48	0	0.114333886	0.048017025	10.35996987	5.257758789	4.721495636	3.342673611	9.123465777	0	27.58005757	0.016277789
A7_C1_V11	control	control conditions	E2_C11	60	60	0	0.128627914	0.102009426	9.212765788	6.286773459	4.005244625	4.530896178	8.788892789	0	16.31488153	0.009112804
A7_C1_V11	control	control conditions	E2_C13	72	72	0	0.044541652	0.05109382	9.458408139	7.583156582	3.986501718	5.138655893	10.0678308	0.037322727	10.8982364	0.060822222
A7_C1_V11	control	control conditions	E2_C15	84	84	0	0.026402412	0.02181141	13.65277529	6.178064162	3.243754853	0.811021339	9.920911709	9.310804369	18.47500052	3.040544157
A7_C1_V11	control	control conditions	E2_C17	96	96	0	0.028173016	0.016235887	20.04454285	3.958426534	2.532815987	0.732843602	12.47624295	8.617452189	11.11300729	4.723913834
A7_C1_V11	control	control conditions	E2_C19	108	108	0	0.024116303	0.025562857	16.65920684	2.784635995	2.169815636	0.75396001	13.3619458	4.884093274	13.23795931	10.50827705
A7_C1_V11	control	control conditions	E2_C20	120	120	0	0.016713369	0.02465049	17.86445312	2.090564793	1.899115199	0.805648769	15.25887242	7.959651357	7.954941504	7.584433078
A7_C1_V11	control	control conditions	E2_C21	132	132	0	0.01655436	0.022763038	17.06746532	1.406204974	1.763595732	0.800306582	14.67087819	7.199714128	8.231927436	5.97082613
A7_C1_V11	control	control conditions	E2_C22	144	144	0	0.03465915	0.022788369	18.38610398	1.011012052	1.945196043	0.92447289	16.30454622	3.184716984	7.962850506	7.630271534
A7_C1_V11	control	control conditions	E2_C23	156	156	0	0.025085496	0	14.93683181	0.877054529	1.788497737	0.831705779	15.32059842	3.573994745	8.412124669	5.157769957
A7_C1_V11	control	control conditions	E2_C24	168	168	0	0.026624006	0	15.56496129	0.986563885	2.119474269	0.928434257	16.32216306	2.295161586	11.89941158	10.5464472
A7_C1_V11	control	control conditions	E2_C25	180	180	0	0.033981923	0	14.93358205	1.13985984	2.118932357	0.787859657	15.0771009	3.835262105	12.10066218	9.295043954
A7_C1_V11	control	control conditions	E2_C26	192	192	0	0.037902999	0	18.6779394	1.566897048	2.334643241	0.708735529	13.83769881	5.375362625	12.30191279	8.043640712
A7_C1_V11	control	control conditions	E2_C27	204	204	0	0.038702786	0	26.53897294	0	1.388323679	1.112634019	9.992466805	4.448961082	15.55476318	4.791348478
A7_C1_V11	control	control conditions	E2_C28	216	216	0	0.03858712	0	19.33909742	1.807679386	2.476907698	0.73681555	13.67804573	6.134891004	16.17675792	5.168377864
A7_C1_V11	control	control conditions	E2_C29	228	228	0	0.036245602	0	19.44262285	1.842696467	2.310148376	0.655560132	12.63855748	7.878854923	13.70034811	5.272131418
A7_C1_V11	control	control conditions	E2_C30	240	240	0	0.018549644	0	21.21625644	1.932345932	2.415150222	0.666495169	12.93808604	12.27838893	11.82436006	5.849455662
A7_C1_V11	control	control conditions	E2_C31	252	252	0	0.056212959	0	22.00452719	2.093479107	2.230063771	0.570816962	11.67489717	10.78959718	11.26247945	4.506173987
A7_C1_V12	control	control conditions	E2_C1	0	0	11.74442431	11.35654098	0.79988148	2.517077618	0.313787884	0.661642288	1.214557638	0.520954213	0.104605102	0.01899818	0.027213599
A7_C1_V12	control	control conditions	E2_C3	12	12	2.455351864	0.755457416	0.671742071	11.5829688	2.485186565	5.511800957	2.689573697	4.631843341	0.375499541	13.51337612	5.792598747
A7_C1_V12	control	control conditions	E2_C5	24	24	0	0.054144636	0.637950813	6.637601722	1.388299776	5.07586546	2.085036927	12.77843388	0.064816245	17.79649412	8.076161015
A7_C1_V12	control	control conditions	E2_C7	36	36	0	0.120510837	0.102518341	9.180725482	2.592708139	4.919644822	1.563019263	9.214993241	0	42.02234086	0.069855064
A7_C1_V12	control	control conditions	E2_C9	48	48	0	0.063417629	0.054318767	11.56307132	5.631626188	5.152971752	3.171888538	9.337811359	0	24.75878148	0.217539711
A7_C1_V12	control	control conditions	E2_C11	60	60	0	0.054322476	0.176426936	9.283928522	5.492618998	4.065246309	2.675269193	9.467232119	0	23.09697322	4.342799666
A7_C1_V12	control	control conditions	E2_C13	72	72	0	0.024984955	0.018301079	14.99144536	4.840343845	4.008075445	0.964311181	12.11084325	6.887819358	12.12603076	6.239092487
A7_C1_V12	control	control conditions	E2_C15	84	84	0	0.028532595	0.026853194	20.71342682	2.676567944	2.594239992	0.730260018	12.20513873	12.18264738	9.755249182	6.050317485
A7_C1_V12	control	control conditions	E2_C17	96	96	0	0.027707278	0.02206252	19.54337781	2.052658185	2.647897699	1.02436166	15.00668774	5.375106503	14.59538667	10.61768458
A7_C1_V12	control	control conditions	E2_C19	108	108	0	0.023337276	0.016006497	16.08139456	1.432075019	2.369851144	0.852973057	14.41621948	9.929763582	12.81312897	11.49137554
A7_C1_V12	control	control conditions	E2_C20	120	120	0	0.022212806	0.030320947	21.93309947	1.384380935	2.224024208	0.94861648	15.9745281	6.697067722	7.908978186	8.27718015
A7_C1_V12	control	control conditions	E2_C21	132	132	0	0.019423351	0.023299737	17.67909154	1.168884465	2.093954641	0.873392166	15.21098283	4.671900025	8.861140179	5.908916477
A7_C1_V12	control	control conditions	E2_C22	144	144	0	0.02964777	0	18.1168705	0.91336102	2.121671916	0.979452066	16.89635301	4.736401188	9.709456246	7.08465904
A7_C1_V12	control	control conditions	E2_C23	156	156	0	0.04407019	0	10.91488842	0.771677821	1.670143038	0.626351158	11.88701768	3.025972918	10.42368921	5.077915425
A7_C1_V12	control	control conditions	E2_C24	168	168	0	0.049585505	0	24.30964989	1.341495966	2.644087984	0.898286488	16.00865752	3.812289034	12.94654769	5.870642955
A7_C1_V12	control	control conditions	E2_C25	180	180	0	0.076595825	0	20.80089383	1.68232052	2.385702915	0.696047318	14.36025275	4.598605149	15.46940617	6.663370484
A7_C1_V12	control	control conditions	E2_C26	192	192	0	0.029207779	0	17.53757158	1.548124519	2.354516623	0.764612062	14.10480672	6.796490719	15.84386223	8.72500511
A7_C1_V12	control	control conditions	E2_C27	204	204	0	0.029415948	0	21.21441392	0	2.399187869	1.335702108	11.5142519	8.249525876	11.06738423	7.273059154
A7_C1_V12	control	control conditions	E2_C28	216	216	0	0.027124199	0	22.54614154	1.669008498	2.452893642	0.766875102	14.40606793	11.63075345	11.40311078	5.97218708
A7_C1_V12	control	control conditions	E2_C29	228	228	0	0.043649853	0	22.43454767	1.868250155	2.292797002	0.679712942	12.55315035	15.01198103	11.73883734	4.671315007
A7_C1_V12	control	control conditions	E2_C30	240	240	0	0.036786241	0	24.4947723	1.832683599	2.287042531	0.704165499	12.29957753	13.54609623	10.34559361	6.662006034
A7_C1_V12	control	control conditions	E2_C31	252	252	0	0.029642141	0	22.47934977	1.586222394	2.061935533	0.604374533	11.38928864	11.01501551	10.76316734	4.086962874
A7_C2_V7	control	control conditions	E2_C1	0	0	10.91950799	7.914941161	0.240036229	1.725057612	1.788858781	0.749123747	0	0	0.041286829	0.037493668	0.026927089
A7_C2_V7	control	control conditions	E2_C2	6	6	10.47982097	7.539397633	0.239807733	2.481191795	0.976972865	0.311410507	0.61593772	0	0.238387632	0.685135222	0.305561497
