time	experiment	replicate	ri
12	AMBR7	K	5.981574605
24	AMBR7	K	87.61517557
36	AMBR7	K	0.049200274
48	AMBR7	K	0.535264957
60	AMBR7	K	5.638984036
72	AMBR7	K	8.773713312
84	AMBR7	K	5.034010373
96	AMBR7	K	7.007044233
108	AMBR7	K	11.01179738
120	AMBR7	K	3.474786399
132	AMBR7	K	6.73587982
144	AMBR7	K	7.992966593
156	AMBR7	K	5.685859296
168	AMBR7	K	6.454687755
180	AMBR7	K	7.788449681
192	AMBR7	K	12.66911456
204	AMBR7	K	5.831570863
216	AMBR7	K	5.122920843
228	AMBR7	K	7.179680723
240	AMBR7	K	4.41285182
252	AMBR7	K	6.145248601
0	AMBR7	L	0.024338703
12	AMBR7	L	6.175820443
24	AMBR7	L	9.122975304
36	AMBR7	L	0.054627281
48	AMBR7	L	0.016277789
60	AMBR7	L	0.009112804
72	AMBR7	L	0.060822222
84	AMBR7	L	3.040544157
96	AMBR7	L	4.723913834
108	AMBR7	L	10.50827705
120	AMBR7	L	7.584433078
132	AMBR7	L	5.97082613
144	AMBR7	L	7.630271534
156	AMBR7	L	5.157769957
168	AMBR7	L	10.5464472
180	AMBR7	L	6.807627779
192	AMBR7	L	8.043640712
204	AMBR7	L	4.791348478
216	AMBR7	L	5.168377864
228	AMBR7	L	5.272131418
240	AMBR7	L	5.849455662
252	AMBR7	L	4.506173987
0	AMBR7	M	0.027213599
12	AMBR7	M	5.792598747
24	AMBR7	M	8.076161015
36	AMBR7	M	0.069855064
48	AMBR7	M	0.217539711
60	AMBR7	M	4.342799666
72	AMBR7	M	6.239092487
84	AMBR7	M	6.050317485
96	AMBR7	M	10.61768458
108	AMBR7	M	11.49137554
120	AMBR7	M	8.27718015
132	AMBR7	M	5.908916477
144	AMBR7	M	7.08465904
156	AMBR7	M	5.077915425
168	AMBR7	M	7.43279355
180	AMBR7	M	6.663370484
192	AMBR7	M	8.72500511
204	AMBR7	M	7.273059154
216	AMBR7	M	5.122920843
228	AMBR7	M	4.671315007
240	AMBR7	M	6.662006034
252	AMBR7	M	4.086962874
