time	experiment	replicate	bh
48	AMBR7	K	0
60	AMBR7	K	0
72	AMBR7	K	2.761294232
84	AMBR7	K	12.52944538
96	AMBR7	K	10.0136175
108	AMBR7	K	7.789861775
120	AMBR7	K	2.841902029
132	AMBR7	K	2.94114171
144	AMBR7	K	3.108646167
156	AMBR7	K	2.508242765
168	AMBR7	K	2.711251647
180	AMBR7	K	4.105482896
192	AMBR7	K	3.925910942
204	AMBR7	K	6.655940189
216	AMBR7	K	6.269283127
228	AMBR7	K	9.514075011
240	AMBR7	K	7.679229718
252	AMBR7	K	9.577699191
0	AMBR7	L	0.092134956
12	AMBR7	L	0.321135757
24	AMBR7	L	0.091979827
36	AMBR7	L	0.016388184
48	AMBR7	L	0
60	AMBR7	L	0
72	AMBR7	L	0.037322727
84	AMBR7	L	9.310804369
96	AMBR7	L	8.617452189
108	AMBR7	L	4.884093274
120	AMBR7	L	7.959651357
132	AMBR7	L	7.199714128
144	AMBR7	L	3.184716984
156	AMBR7	L	3.573994745
168	AMBR7	L	2.295161586
180	AMBR7	L	5.203596175
192	AMBR7	L	5.375362625
204	AMBR7	L	4.448961082
216	AMBR7	L	6.134891004
228	AMBR7	L	7.878854923
240	AMBR7	L	12.27838893
252	AMBR7	L	10.78959718
0	AMBR7	M	0.104605102
12	AMBR7	M	0.375499541
24	AMBR7	M	0.064816245
36	AMBR7	M	0
48	AMBR7	M	0
60	AMBR7	M	0
72	AMBR7	M	6.887819358
84	AMBR7	M	12.18264738
96	AMBR7	M	5.375106503
108	AMBR7	M	9.929763582
120	AMBR7	M	6.697067722
132	AMBR7	M	4.671900025
144	AMBR7	M	4.736401188
156	AMBR7	M	3.025972918
168	AMBR7	M	4.095331234
180	AMBR7	M	4.598605149
192	AMBR7	M	6.796490719
204	AMBR7	M	8.249525876
216	AMBR7	M	6.269283127
228	AMBR7	M	15.01198103
240	AMBR7	M	13.54609623
252	AMBR7	M	11.01501551
