patricID	ri_t12_A	ri_t12_B	ri_t12_C	ri_t48_A	ri_t48_B	ri_t48_C	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t24_riA	btri_t24_riB	btri_t24_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.867	8993.214	7277	6425	9262	7421	12906	1436	1163	2221	1863	996	969	3138	1017	1334
fig|536231.75.peg.868	43081.962	49282.848	24693.613	22688	24929	37584	4753	3277	4872	4387	4385	3475	11757	3145	2880
fig|536231.75.peg.869	11524.05	10598	6347	5954	6258	10296	1133.843	816	1181	923	827	758	1647	658	714
fig|536231.75.peg.870	23049.014	23266.053	15157	15341	14186	20254	3080.371	2541	3616	3696	2050	1653	6150	2314	2623
fig|536231.75.peg.871	28243.41	39584.889	20309	25888	25592	39527	3159	2546	3342	2762	2831	2422	6988	3018	2692
fig|536231.75.peg.872	579.582	532.597	610.669	169.714	506.159	908.461	45.467	11.924	31.561	0	0	71.196	52.846	0	22.637
fig|536231.75.peg.873	6250	5904	3265	7035	6666	8864	623	526	930	656	714	647	517	360	291
fig|536231.75.peg.874	16817	13580	8726	10080	10464	17724	1782	1172	1492	1043	1066	770	1217	924	903
fig|536231.75.peg.875	36142.205	31489.112	21495.255	30766	26841	41981	3876	2896	3176	2712	1828	1627	5309	2672	2267
fig|536231.75.peg.876	29	30	33	87	42	116	7	7	2	2	13	0	12	9	0
fig|536231.75.peg.877	582	671	603	379	335	597	42	26	27	111	31	62	362	73	153
fig|536231.75.peg.878	18522	8971.088	8116	8217	7197	11567	1733	1318	1814	831	911	841	702	522	434
fig|536231.75.peg.879	48426.602	22782.204	18298	51960	46501	62508	4616	3499	2957	6451	4098	3995	11650	7072	7733
fig|536231.75.peg.880	335	187	121	73	34	120	23	5	14	0	0	0	53	0	20
fig|536231.75.peg.881	146570.844	51053.443	55772.362	34437.727	33154.768	48166.773	6893.982	4675.881	5851.884	6532.916	5965.261	5156	15199.204	3981.746	6397.975
fig|536231.75.peg.882	9479.994	4516.099	2796	2306	1860	3274	483	323	414	536	316	339	1513	260	332
fig|536231.75.peg.883	15485.213	7010.125	4640.106	4162	3661	5688	717	587	536	539	543	352	1655	312	407
fig|536231.75.peg.884	618	1061	446	97	57	107	41	26	43	20	22	0	60	0	36
fig|536231.75.peg.885	16141.065	15831.003	15879	13457	11573	19057	2286	1867	2012	1990	1239	1254	2215	1231	1416
fig|536231.75.peg.886	12849	12332.03	9824	13200	13934	20350	1825	1405	1289	1220	934	1337	797	1191	832
fig|536231.75.peg.887	15969.697	12080.059	9417	11346	13241	24419	2446	1573.054	1597	2865	2284	2186	5176	2829	2202
fig|536231.75.peg.888	2	24	9	0	0	0	0	0	0	3	0	0	0	0	0
fig|536231.75.peg.889	35729	26024.148	18443	10368	12124	19249	2555	1698	1946	1801	1188	1187	6683	2008	1657
fig|536231.75.peg.890	8	11	0	6	23	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.891	34	17	12	30	14	4	0	0	1	0	0	0	2	0	0
fig|536231.75.peg.892	10	8	2	15	31	17	0	2	0	0	0	9	0	55	0
fig|536231.75.peg.893	956	661	613	1282	942	1945	144	65	87	221	184	129	117	112	120
fig|536231.75.peg.894	1651	1175.143	896	1676	1918	2918	264	155	245	178	284	224	123	118	101
fig|536231.75.peg.895	12697	6445.156	7071	20386	18364	29794.566	1281	762	863	1286	718	636	1303	759	846
fig|536231.75.peg.896	255	101	226	555	554	819	32	27	37	12	13	25	7	1	46
fig|536231.75.peg.897	3147	3159	1584	1982	1665	2733	196	142	152	207	120	42	1678	174	184
fig|536231.75.peg.898	3788	2687	1374	6511	4956	6377	346	287	348	442	167	244	603	400	269
fig|536231.75.peg.899	12466.443	9390.174	6958	4713	5498	9177	776	528	634	935	833	488	2380	705	745
fig|536231.75.peg.900	19510	12648.334	9922	15715	12627	20178	2312	1828	2194	2476	2218	1773	3683	1245	1849
fig|536231.75.peg.901	146	91	83	39	61	91	29	26	35	19	0	24	68	6	11
fig|536231.75.peg.902	656.699	435.226	414.488	1119.271	800.747	1082.716	67.448	100.732	99.662	178.522	146	81	287.168	50.685	185.779
fig|536231.75.peg.903	462.301	355.774	245.512	279.729	222.253	333.284	20.552	21.268	18.338	31.478	0	0	165.832	43.315	7.221
fig|536231.75.peg.904	27500.699	12291	14215	17489	18519	33093	4566	2834	2934	7782	3823	3835	61226	5151	5673
fig|536231.75.peg.905	71	50	68	227	204	373	4	10	12	57	51	26	77	60	43
fig|536231.75.peg.906	357	204	492	847	708	1348	64	75	58	302	222	126	335	116	133
fig|536231.75.peg.907	1573	783	849	521	408	809	87	31	56	316	160	98	471	137	73
fig|536231.75.peg.908	5422	2566	3259	5834	4958	6719	486	378	507	653	696	476	783	553	556
fig|536231.75.peg.909	257	152	171	307	408	573	23	16	18	46	12	57	127	42	32
fig|536231.75.peg.910	1648	1177	1292	2060	1680	2771	180	124	133	228	206	194	235	209	125
fig|536231.75.peg.911	40	29	25	33	55	33	5	6	7	4	0	0	8	9	0
fig|536231.75.peg.912	2621	1846	2653	1769	1527	2226	197	146	163	163	103	79	617	187	267
fig|536231.75.peg.913	482	362	528	196	259	352	36	12	38	11	0	22	223	40	35
fig|536231.75.peg.914	988	1583	472	103	91	146	110	73	44	36	49	11	71	38	57
fig|536231.75.peg.915	159	333	38	64	35	82	10	8	5	0	0	0	25	20	0
fig|536231.75.peg.916	123	261	93	128	65	170	6	14	16	1	0	0	58	59	0
fig|536231.75.peg.917	5372	4316	7428.497	3440	3787	7322	757	460	613	373	258	276	1609	398	335
fig|536231.75.peg.918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.919	461	491	239	339	305	409	74	58	79	60	45	15	77	27	20
fig|536231.75.peg.920	1675	1001	1069	1367	1160	2980	211	124	131	63	125	109	126	58	66
fig|536231.75.peg.921	16.075	31.869	22.202	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.922	1107	775	1356	633	646	1066	102	90	89	102	90	62	107	74	42
fig|536231.75.peg.923	10325.04	4677.141	9402	11577	11760	20353	1626	1345	1143	2152	1633	1545	3285	1635	1595
fig|536231.75.peg.924	6456	5533	3573	3879	4682	6899	819	587	667	491	529	425	450	360	268
fig|536231.75.peg.925	2023	1716	1326	784	714	1477	275	195	174	300	214	100	326	164	71
fig|536231.75.peg.926	6161	5074	6086	3977	3632	5410	521	504	476	720	546	349	1027	747	510
fig|536231.75.peg.927	23031.949	21852.678	14352	19793	20165	28597	2592	1972	3092	1989	1811	1900	1327	1580	1382
fig|536231.75.peg.928	25365.146	22861.844	15870	14462	15713	25162	2524	1620	2512	2017	1469	1180	2145	1472	1153
fig|536231.75.peg.929	2769	3873.838	1558	1566	1867	5408	236	119	137	35	63	44	388	36	28
fig|536231.75.peg.930	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.931	57	55	83	0	0	15	12	11	14	10	11	20	11	0	6
fig|536231.75.peg.932	20976	21683.241	20837.803	6538	6853	12171	2813	2941	2668	1983	2092	1610	2664	946	1079
fig|536231.75.peg.933	79804.615	61629.526	99608.609	81031	75667	116741.388	10584	9468	9181	13322	11867	9223	28849	10574	8476
fig|536231.75.peg.934	24687.147	18526.213	20646	23229	22412	34049	3633	2801	2905	2233	2474	2168	3029	1585	1559
fig|536231.75.peg.935	14	13	16	17	0	9	0	1	0	0	0	0	0	0	0
fig|536231.75.peg.936	1684	2598	2966	482	803	1069	191	89	123	77	67	52	1179	189	68
fig|536231.75.peg.937	6689	5308	5967.085	7409	6688	13698	1115	725	771	592	462	307	787	454	478
fig|536231.75.peg.938	2231.344	1943.643	2102	3161.868	2369	3936	263	290.329	264	347	210	151	1106.569	270	310
fig|536231.75.peg.939	456	390.357	265	381.132	365	563	82.749	36.671	95.999	39	19	0	57.431	11	0
fig|536231.75.peg.940	4939	3581	4169	4657	5740	8164	531.251	483	561.001	260	324	194	558	312	119
fig|536231.75.peg.941	2426	2003	1962	4297	3781	6045	417	417	371	410	331	199	1006	353	253
fig|536231.75.peg.942	165	111	118	139	93	361	17	16	18	2	10	24	2	11	0
fig|536231.75.peg.943	4.311	6	4.989	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.945	10906.478	10070	10393	6248	6703	9823	1307	991	1342	816	769	858	984	709	539
fig|536231.75.peg.946	17961	18543.523	14718	10729	9964	16881	1955	1718	1919	2139	1423	1026	3618	1326	1184
fig|536231.75.peg.947	44284.508	26831	33205	26104	19643	30066	3436	3619	3106	1463	1411	1107	1243	831	1318
fig|536231.75.peg.948	76447.97	40507.502	38300.853	29530.966	22509	35071	5573	5241	5581	2577.735	1793	1705	3306	1280	2260
fig|536231.75.peg.949	641.028	645	193	211.034	282	430	27	16	30.305	22.265	36	0	74	42	0
fig|536231.75.peg.950	15691.73	12929.754	14534	26877	22509	36598.821	1577	1449	1238.695	758	640	635	490	501	521
fig|536231.75.peg.951	728.27	777.803	315	129	229	311.179	42	35	21	23	23	15	5	34	0
fig|536231.75.peg.952	27360	25023.028	23162	18235	17006	23254	2798	2710	2896	2796	2186	2006	2269	1737	1920
fig|536231.75.peg.953	53200.177	50612.029	62788	18312	20871	31926	2938	2175	2754	1596	1307	1415	4509	1364	874
fig|536231.75.peg.954	170.841	202	90	108	79	232	28	12	27.999	32	30	0	76	37	67
fig|536231.75.peg.955	5954.487	6005	4084	6971	6473	10243	697	597	691.001	860	472	563	1985	529	541
fig|536231.75.peg.956	290	253	385	116	89	201	4	10	0	8	0	13	44	20	10
fig|536231.75.peg.957	178	80	228	120	58	194	6	4	3	0	0	9	0	30	0
fig|536231.75.peg.958	19	8	21	12	0	34	4	0	10	9	1	9	2	0	0
fig|536231.75.peg.959	29682.746	23347.003	22075	18615.782	17741	30285	2778	2355	2102	2044	902	1023	3203	1054	925
fig|536231.75.peg.960	7662	5505	5382	8990	6674	10634	834	774	900	709	315	371	489	319	449
fig|536231.75.peg.961	12830	11263	10529	8343	7246	11871	1963	1600	1751	673	510	522	1191	755	613
fig|536231.75.peg.962	4403	2432	4916	8774	9250	16387	575	386	442	189	167	136	412	246	192
fig|536231.75.peg.963	8951.226	7491	4385	5642	5214	8982	842	750	912	921	625	641	1417	579	558
fig|536231.75.peg.964	6946	5797	3285	1341	1641	3261	620	370	646	190	151	87	682	232	113
fig|536231.75.peg.965	31583.352	28015.375	18517	37271	36256	53935	4058	3439	4479	5423	5717	4434	12897	6217	5079
fig|536231.75.peg.966	12833	18666.975	9482	2808	4707	9418	773	488	623	356	227	211	1369	451	227
fig|536231.75.peg.967	25	94	142	0	0	38	0	4	4	0	8	0	8	0	0
fig|536231.75.peg.968	2843	4103	3388	2863	2564	4840	217	134	165	580	171	427	1392	332	544
fig|536231.75.peg.969	1802	1821.044	1393	1791	2130	2577	431	359	317	292	261	207	213	211	180
fig|536231.75.peg.970	394	523	201	80	158	179	50	37	38	37	16	56	49	83	24
fig|536231.75.peg.971	192	190	157	116	110	115	12	5	9	13	0	0	74	31	21
fig|536231.75.peg.972	796	992	523	506	563	744	62	70	71	85	82	33	338	191	57
fig|536231.75.peg.973	41	58	16	90	56	57	5	2	0	3	5.018	0	20	31	0
fig|536231.75.peg.974	59	44	20	59	113	66	11	12	14	17	24.982	32	25	12	0
fig|536231.75.peg.975	109	94	85	155	100	98	9	6	2	17	8	14	96	23	15
fig|536231.75.peg.976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.977	90	58	84	135	70	142	11	6	6	21	20	5	35	47	3
fig|536231.75.peg.978	3	3	0	50	0	24	0	0	0	0	1	0	14	23	1
fig|536231.75.peg.979	7791	9807.05	3816	6290	5537	8866	701	538	811	1338	1058	945	1856	1053	882
fig|536231.75.peg.980	2317.029	2436.078	893.432	2089.128	1810.255	3073.42	238.132	164	288	663	241	296	440	219	269
fig|536231.75.peg.981	684.971	761.922	193.568	332.872	345.745	585.58	41.868	27	70	90	27	89	142	49	22
fig|536231.75.peg.982	18	49	3	27	16	21	3	0	1	0	0	0	12	0	8
fig|536231.75.peg.983	107.702	88.327	46.36	86.992	251.76	213.578	16.209	4.316	3	17	12.094	0	44.314	0	0
fig|536231.75.peg.984	234.305	385.266	93.53	90.246	73.351	167.919	5.251	5.023	6	11.983	0	8	63.262	1	0
fig|536231.75.peg.985	2597.263	6808.328	1657.743	488.739	729.463	1107.876	58.164	47.66	38	73.017	44.906	21	338.934	140	27
fig|536231.75.peg.986	154.729	308.08	100.367	47.022	101.426	111.627	3.376	1	1	0	0	15	20.489	0	28
fig|536231.75.peg.987	1821	1774	1197	1214.819	1316	1564	320	252	243	269	330	226	452	266	278
fig|536231.75.peg.988	210	260	179	186.181	169	398	37	22	25	12	14	0	94	52	45
fig|536231.75.peg.989	3225	7022.892	1577	133	187	287	71	21	27	0	10	0	106	8	0
fig|536231.75.peg.990	252	175	354.458	73	215	266.258	46	45	42	22	18	12	43	0	0
fig|536231.75.peg.991	999	851	1194.542	1746	1240	2386.742	248	218	244	310	127	183	522	156	211
fig|536231.75.peg.992	10981.419	8128.173	9816.202	10715.133	10100.238	16623.081	2762.31	2029.908	1868.77	1993.242	1031.623	935	3005.314	1765.989	1674.563
fig|536231.75.peg.993	3556.581	3325.827	3955.798	1575.867	1744.762	2446.919	364.69	277.092	246.23	317.758	189.377	194	919.686	453.011	261.437
fig|536231.75.peg.994	1837	1429	1642	1940	2360	3277	144	115	136	56	103	36	102	157	63
fig|536231.75.peg.995	959	1103	689	759	523	889	205	210	157	56	120	26	61	33	14
fig|536231.75.peg.996	2767	2455	1744	5131	4796	7370	633	524	570	505	421	294	1390	279	301
fig|536231.75.peg.997	11406	11101	8862	19147	17094	27684	1768	1327	1638	1816	1231	984	3718	1261	1510
fig|536231.75.peg.998	3726	3448	2581.503	4991	4312	6367	494	439	432	220	338	384	598	335	247
fig|536231.75.peg.999	4420.003	4155.267	2639	5728	6142	8050	634	431	575	644	471	388	1015	803	631
fig|536231.75.peg.1000	26362	19455.469	22651	7490	9124	18869	1757	1476	1329	1048	575	442	5077	899	670
fig|536231.75.peg.1001	15536.092	9486	11537	14405	11637	16671	3089	2463	3100	2991	1970	1748	3012	1577	1686
fig|536231.75.peg.1002	3926	2978	4382.644	4535	3686	6661	665	553	432	185	394	197	310	222	267
fig|536231.75.peg.1003	4	0	3	7	11	21	0	0	3	0	0	0	0	0	0
fig|536231.75.peg.1004	51	31	41	250	243	256	16	11	12	19	24	0	44	36	3
fig|536231.75.peg.1005	2	6	2	22	40	39	8	0	1	0	11	0	0	0	0
fig|536231.75.peg.1006	548	245	198	181	205.916	267.549	18	2	5	36	0	20	134.65	30	43
fig|536231.75.peg.1007	10760	5279	4015	4678	4550.084	7559.451	457	315	302	667	486	815	3816.35	648	793
fig|536231.75.peg.1008	943	1219	216	85	266	483	39	36	62	69	22	10	261	65	65
fig|536231.75.peg.1009	1026	1057	261	245	374	361	32	23	37	67	42	30	251	65	181
fig|536231.75.peg.1010	81507.415	119341.498	42678	22831	23907	36057	7979	6143	5301	3512	2191	1935	6555	4399	3192
fig|536231.75.peg.1011	53	78	17	0	0	0	4	3	2	4	0	6	7	0	0
fig|536231.75.peg.1012	5794.61	8297	1681	1196	1287	1918	579	496	499	439	385	357	504	238	268
fig|536231.75.peg.1013	1390	2513	699	234	269	368	259	213	177	85	106	122	156	109	55
fig|536231.75.peg.1014	142	157	39	153	81	182	20	16	32	5	0	0	12	0	0
fig|536231.75.peg.1015	29	34	10	14	1	19	5	3	3	5	0	0	4	16	0
fig|536231.75.peg.1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fig|536231.75.peg.1017	17	12	5	0	19	26	8	8	7	44	48	16	8	0	0
fig|536231.75.peg.1018	0	7	5	0	0	0	0	0	0	2	20	0	5	0	0
fig|536231.75.peg.1019	385	923	364	1426	1073	2340	125	81	153	3136	3015	3337	144	1998	1866
fig|536231.75.peg.1020	681	1479.182	642	5253.37	3888.009	6723.882	176	201	240	6413.966	4449.426	4712	183	2805.594	2717
fig|536231.75.peg.1021	169.363	427.687	161	1009.661	662.613	1218.431	73.485	32.282	59.656	1606.983	849.287	857.247	82.071	1207.046	1086.333
fig|536231.75.peg.1022	209.637	538.622	150.002	1457.969	1037.377	1797.307	111.515	78.718	93.657	2886.711	1482.077	1425.753	96.854	962.359	1303.667
fig|536231.75.peg.1023	70.838	168.098	52.572	334.518	233.614	373.272	35.053	30.608	32.724	450.269	240.383	316.549	29.86	313.338	386.14
fig|536231.75.peg.1024	107.162	267.412	92.426	231.482	423.217	515.107	37.947	25.392	33.962	657.072	438.827	473.451	20.215	333.662	286.86
fig|536231.75.peg.1025	427	759	353	2745	2342.169	3563	118	55	153	2676	1423	1352	167	1615	1686
fig|536231.75.peg.1026	287	466.699	299.785	1260.94	1152.685	1944.049	37.999	40	69.632	1270.62	780.026	880.548	42	737.075	853.639
fig|536231.75.peg.1027	774	1523.301	758.215	3575.06	2699.315	4357.951	198.001	149	233.368	3163.38	2950.974	2981.452	197	1554.925	2142.361
fig|536231.75.peg.1028	263	639	400	1120	830	1137	65	59	132	1596	1314	1533	48	844	905
fig|536231.75.peg.1029	413	969	613	1425	987	1753	122	113	125	1865	1416	1811	77	1177	1232
fig|536231.75.peg.1030	41	44.472	40	57.127	79	90.149	4	6	9	247.021	78	70	10	166.871	227
fig|536231.75.peg.1031	159	446.191	242	609.873	685	945.851	44	32	77	781.979	787	722	40	761.094	623.309
fig|536231.75.peg.1032	18	84.337	20	17	21	13	10.864	3	9	63.27	63	147	12	92.192	44.691
fig|536231.75.peg.1033	472.656	901.217	560.104	2056.592	1366.084	2873.414	114.136	105.27	134	2007.636	1840	1588	119	1738.842	1265.907
fig|536231.75.peg.1034	56.849	138.853	111.896	306.89	267.212	287.252	15.844	8.23	21	321.514	298	234	14	116.72	185.893
