patricID	ri_t04_A	ri_t04_B	ri_t04_C	ri_t48_A	ri_t48_B	ri_t48_C
fig|536231.75.peg.151	964	557	494	1035	920	1449
fig|536231.75.peg.152	3528	2375	1713	4555	3842	6431
fig|536231.75.peg.153	3680.003	2583	2040	4971	4680	8104
fig|536231.75.peg.154	8	4	0	0	35	68
fig|536231.75.peg.155	8	3	2	0	0	4
fig|536231.75.peg.156	317.052	269	171	879	1038	1772
fig|536231.75.peg.157	2413	3099	2033	822	1180	1801
fig|536231.75.peg.158	1450	1674	775	263	393	672
fig|536231.75.peg.159	3438.15	2401	1064	6712	5918	11068
fig|536231.75.peg.160	6964.136	5226	3192	11701	11193	20345
fig|536231.75.peg.161	1640.067	2562	1131	602	859	1757
fig|536231.75.peg.162	3395	3331	1223	3635	4406	6945
fig|536231.75.peg.163	142	94	70	35	70	245
fig|536231.75.peg.164	16	19	16	0	9	46
fig|536231.75.peg.165	919	775	363	4461	4355	7373
fig|536231.75.peg.166	68	65	24	125	261	304
fig|536231.75.peg.167	17	13	25	0	11	1
fig|536231.75.peg.168	102	107	71	47	108	111
fig|536231.75.peg.169	892.189	719.466	432	415	449	778
fig|536231.75.peg.170	60	45.534	10	6	15	40
fig|536231.75.peg.171	240.536	187.837	78	85.179	92.693	122.262
fig|536231.75.peg.172	1083.464	831.163	488	445.821	619.307	567.738
fig|536231.75.peg.173	881.071	886	441	814	567	1187
fig|536231.75.peg.174	3816.16	3163	1484	2814	2387	3712
fig|536231.75.peg.175	2060	1371	692	1455	1203	2066
fig|536231.75.peg.176	11263.261	7496	3412	7814	6514	11178
fig|536231.75.peg.177	369	324	318	39	145	190
fig|536231.75.peg.178	19054.586	15513	7630	25147	20892	34862
fig|536231.75.peg.179	62	83	1	36	53	51
fig|536231.75.peg.180	2601.736	2739.578	539	281	543	1298
fig|536231.75.peg.181	7051.861	7341.422	1273	1378	1430	2346
fig|536231.75.peg.182	13816.342	10781	5326	424	212	328
fig|536231.75.peg.183	97	121	45	15	0	12
fig|536231.75.peg.184	1415.224	2818.47	434	104.294	56	151
fig|536231.75.peg.185	3582.989	6830.484	2341	644.896	477	1024.377
fig|536231.75.peg.186	2654.192	1756.046	1316	5874.81	5363	8064.623
fig|536231.75.peg.187	349.381	304.419	93	394.101	425.633	546.968
fig|536231.75.peg.188	16520.169	12021.837	7727	10789.899	9480.367	14968.032
fig|536231.75.peg.189	5	3	0	0	0	0
fig|536231.75.peg.190	13	8	1	11	0	7
fig|536231.75.peg.191	8133.909	6460	3414	2768	3017	5628
fig|536231.75.peg.192	13624.457	7918.442	6565	12446	11754	20979
fig|536231.75.peg.193	15824.051	9515.143	6114	15142	12928	19860
fig|536231.75.peg.194	33	39	38	74	99	93
fig|536231.75.peg.195	1974	1578	878	821	1138	1422
fig|536231.75.peg.196	623	492	166	417	351	455
fig|536231.75.peg.197	45954.273	83974.519	14744	718	673	1265
fig|536231.75.peg.198	21	28	7	27	0	52
fig|536231.75.peg.199	3522	2126	1212	2537	2600	4488
fig|536231.75.peg.200	37	37	8	1	38	8
fig|536231.75.peg.201	1973	1030	671	2664	3202	5342
fig|536231.75.peg.202	537.009	324	122	468	601	1048
fig|536231.75.peg.203	5040.282	2812	1948	10076	10568	18554
fig|536231.75.peg.204	1951	1238	706	3324	3162	6354
fig|536231.75.peg.205	6569.599	3631.771	2719	13816.11	15250.204	26070.466
fig|536231.75.peg.206	1997.401	1061.631	876	2973.89	2242.796	4411.534
fig|536231.75.peg.207	233	178	92	2309	2197	4201
fig|536231.75.peg.208	2	0	0	0	10	23
fig|536231.75.peg.209	1435	764	646	2590	2359	3961
fig|536231.75.peg.210	1061.026	643	391	2560	2611	2923
fig|536231.75.peg.211	1450	1115	639	1090	1137	1642
fig|536231.75.peg.212	6844	5418.131	3674	5261	4518	7919
fig|536231.75.peg.213	6522.991	4650	4102	7502	5883	12397
fig|536231.75.peg.214	12158.782	9553	5412	6645	6228	10260
fig|536231.75.peg.215	531	423	279	572	623	1024
fig|536231.75.peg.216	702	517	241	836	747	1245
fig|536231.75.peg.217	17	6	0	0	51	50
fig|536231.75.peg.218	407	377	133	298	402	481
fig|536231.75.peg.219	15850.121	20879.961	8045.73	4822.847	3836.745	8091.158
fig|536231.75.peg.220	501	531	146	132	141	260
fig|536231.75.peg.221	255	235	132	101	182	307
fig|536231.75.peg.222	19724.747	11790	6178	5761	6098	8092
fig|536231.75.peg.223	5191.551	4046.087	1882	3264	2516	3422
fig|536231.75.peg.224	743.486	818.564	406.698	177.623	167.549	297.947
fig|536231.75.peg.225	361.795	351.062	162	37	34	72.654
fig|536231.75.peg.226	20737.259	18950.045	9409	11927	10186	13954.609
fig|536231.75.peg.227	7476.335	7484.1	2826.302	93.377	105.451	359.79
fig|536231.75.peg.228	3257.028	1901	829	2869	2469	4188
fig|536231.75.peg.229	2877.546	1929.249	640	1504	1638	2131
fig|536231.75.peg.230	7137	3845	2615	4814	4623	7156
fig|536231.75.peg.231	22075.385	13785.638	9809	9616	9035	14723
fig|536231.75.peg.232	14013	11346	7251.686	3572	3851	4039
fig|536231.75.peg.233	2858	2118	1520	1002	939	1355
fig|536231.75.peg.234	19399.916	24564.177	14055	1759	1217	1665
fig|536231.75.peg.235	6411.083	7625.46	3748	441	427	792
fig|536231.75.peg.236	17608.925	16251	8979	3515	3347	4093
fig|536231.75.peg.237	7193.04	9124.001	3330	1015	1105	1493
fig|536231.75.peg.238	831.33	2045.456	895.244	485.235	1405.39	1324.705
fig|536231.75.peg.239	4151	3236	1500	1770	1663	1921
fig|536231.75.peg.240	4178.143	2943	1915	2319	2545	3100
fig|536231.75.peg.241	9724.097	5987.117	4369	5814	5030	6006
fig|536231.75.peg.242	802	450	323	555	864	912
fig|536231.75.peg.243	978	668	431	2356	2276	3329
fig|536231.75.peg.244	22198.325	19733.013	8853.053	3510.12	4343.678	6536.382
fig|536231.75.peg.245	3711.013	2410	1570	3310	3366	5158
fig|536231.75.peg.246	731	716	257	131	93	145
fig|536231.75.peg.247	669	476	161	595	840	1460
fig|536231.75.peg.248	1453	966	707	1604	1434	2954
fig|536231.75.peg.249	3130.002	2293	1473	1670	1504	2384
fig|536231.75.peg.250	16561.206	10851	9321	8747	8050	11843
fig|536231.75.peg.251	960	748	539	1272	1306	2001
fig|536231.75.peg.252	2070	1377	485	1520	1625	2637
fig|536231.75.peg.253	3486.941	2598	884	4186	4888	7486
fig|536231.75.peg.254	51	49	47	6	25	23
fig|536231.75.peg.255	796	533.19	418	2242	2639	3325.213
fig|536231.75.peg.256	613.261	395.76	285.807	2249.58	2159.828	4401.434
fig|536231.75.peg.257	0	0	0	0	0	0
fig|536231.75.peg.259	388.511	507.753	415.65	38.007	41	48
fig|536231.75.peg.260	698.208	645.347	278.149	83	30	115
fig|536231.75.peg.261	1026	1085	497	503	499	670
fig|536231.75.peg.262	25	36	24	0	0	6
fig|536231.75.peg.263	0	0	0	0	0	0
fig|536231.75.peg.264	0	1.81	0	0	0	0
fig|536231.75.peg.265	0	0	0	0	0	0
fig|536231.75.peg.266	0	0	0	0	0	0
fig|536231.75.peg.267	0	0	0	0.002	150.706	119.141
fig|536231.75.peg.268	117.739	155.24	61.193	499.418	245.466	844.425
fig|536231.75.peg.269	0	0	0	0	0	0
fig|536231.75.peg.271	125.281	115.899	22.2	4.993	9	0
fig|536231.75.peg.275	269	257	96	53	83	126
fig|536231.75.peg.276	802	646	339	128	175	368
fig|536231.75.peg.277	755	768	475	318	430	857
fig|536231.75.peg.278	10	12	2	16	30	10
fig|536231.75.peg.279	40	14	7	9	20	37
fig|536231.75.peg.280	1130.687	803.329	563.269	740.882	473.481	1108.216
fig|536231.75.peg.281	34.951	6.97	3.228	93.327	126.224	129.48
fig|536231.75.peg.282	77.471	320.766	252.447	0	0	0
fig|536231.75.peg.283	55	66	43	82	18	58
fig|536231.75.peg.284	328	368	110	43	77	78
fig|536231.75.peg.285	226	253	52	75	60	96
fig|536231.75.peg.286	202	374	201	150	148	213
fig|536231.75.peg.287	1	4	0	1	0	0
fig|536231.75.peg.288	29	25	0	31	14	37
fig|536231.75.peg.289	91	135	40	27	41	71
fig|536231.75.peg.290	339	269	42	95	282	242
fig|536231.75.peg.291	87	57	31	141	75	253
fig|536231.75.peg.292	298	197	97	137	198	298
fig|536231.75.peg.293	15	11	0	30	17	37
fig|536231.75.peg.294	176	209	74	418	347	559
fig|536231.75.peg.295	38	33	8	33	18	85
fig|536231.75.peg.296	45	38	13	15	27.261	29
fig|536231.75.peg.297	686.997	863.665	492	685	335.739	1038
fig|536231.75.peg.298	262.003	174.335	110	124	94	207
fig|536231.75.peg.299	304	268	90	275	157	149
fig|536231.75.peg.300	1723	1762	1408	280	183	387
fig|536231.75.peg.301	6	11	3	9	0	0
fig|536231.75.peg.302	574	402	220	444	472	725
fig|536231.75.peg.303	624.48	462.417	249.55	391.686	436.551	678.035
fig|536231.75.peg.304	0	1.093	0	28.256	0	0
fig|536231.75.peg.305	353.778	268.5	157.279	118.893	167.747	222.965
fig|536231.75.peg.306	291.982	152.792	105.568	159.458	154.269	278.837
fig|536231.75.peg.307	1460.915	1177.719	808.726	1282.305	1074.47	2396.1
fig|536231.75.peg.308	55	49	23	159	203	150
fig|536231.75.peg.309	143	111	75	281	351	338
fig|536231.75.peg.310	285.11	75.375	403.809	298.094	343.799	635.371
fig|536231.75.peg.311	0	255.326	0	27.927	0	7.473
fig|536231.75.peg.312	20.325	45.061	14.738	0	0	0
fig|536231.75.peg.313	0	1	0	0	0	0
fig|536231.75.peg.316	0	0	0	488.119	174.849	0
fig|536231.75.peg.317	13	22	10	24	4	41
fig|536231.75.peg.318	31	26	3	2	25.505	8
fig|536231.75.peg.319	49	59	28	9	4.495	20
fig|536231.75.peg.320	149	217.204	76	44	58	33
fig|536231.75.peg.321	175	177	96	33	77	143
fig|536231.75.peg.322	102818.684	74315.201	43009	36728	27794	49835
fig|536231.75.peg.323	52465.66	40431.899	27329	12757	11161	18149
fig|536231.75.peg.324	693.668	847.9	506	8	34	15
fig|536231.75.peg.325	5864.01	6462.241	2880	200	217	549
fig|536231.75.peg.326	2635.106	3041.316	1514.2	121.813	146.11	241.886
fig|536231.75.peg.327	70626.453	64246.018	40955.388	10495.257	11241.506	18524.308
fig|536231.75.peg.328	59878.732	46400.897	33059.413	19532.93	19314.383	33475.806
fig|536231.75.peg.329	42.999	56	25.963	19	14	23
fig|536231.75.peg.330	108.001	97	69.037	15	32	33
fig|536231.75.peg.331	459	310	212	730	834	1158
fig|536231.75.peg.332	833.535	343.955	160	501.654	1059.628	1770.583
fig|536231.75.peg.333	11428.855	3641.045	1542	59022.346	65167.372	111136.417
fig|536231.75.peg.334	13661.362	4484.001	2828	116562.524	96600	154157
fig|536231.75.peg.335	8315.355	2850	2132	50154	54380	86063.033
fig|536231.75.peg.336	17364.365	6190.356	4659.563	258762.866	205443.283	301869.921
fig|536231.75.peg.337	4696.635	1516.644	1029.437	33218.134	33871.717	50797.079
fig|536231.75.peg.338	20583.215	7101	4656	162904.774	165534	229286
fig|536231.75.peg.339	6345	2599	1889	49723.06	55459.926	99449
fig|536231.75.peg.340	2095.001	1106	382	5242.94	6679.074	11869
fig|536231.75.peg.341	1800.104	1030	727	11751	10608	16498
fig|536231.75.peg.342	5995.068	7455.325	2742.451	30.164	39.951	91.488
fig|536231.75.peg.343	39550.305	45386.451	14372.549	688.836	497.049	984.512
fig|536231.75.peg.344	19	6	0	27	30	16
fig|536231.75.peg.345	14	11	8	157	121	157
fig|536231.75.peg.346	30	17	3	98	85	90
fig|536231.75.peg.347	771	1429	357	353	239	550
fig|536231.75.peg.348	4107	3090	1396	3951	3997	5748
fig|536231.75.peg.349	52219.426	38292.417	24776	19562	20422	33343
fig|536231.75.peg.350	221	313	286	0	1	17
fig|536231.75.peg.351	1887.306	2987.335	836	29	3	50
fig|536231.75.peg.352	253.529	439.219	103	0	0	42
fig|536231.75.peg.353	361.606	652.97	190	107	151	200
fig|536231.75.peg.354	51408.52	62397.872	28650	2051	2195	4519
fig|536231.75.peg.355	2365.649	2016.768	947.007	2075.547	2003.326	3274.858
fig|536231.75.peg.356	457.672	607.25	271.01	21.627	48.228	68.029
fig|536231.75.peg.357	32.368	55.948	52.362	3.625	0	32.751
fig|536231.75.peg.358	6830.716	5489.448	3739.778	3136.058	3678.32	5338.513
fig|536231.75.peg.359	47.316	73.2	45.099	44.664	44	65.375
fig|536231.75.peg.360	52.967	115.515	39.518	90.894	69.244	44.057
fig|536231.75.peg.361	1021.106	1682.106	626	20.076	0	25
fig|536231.75.peg.362	2237.579	2979.894	1362	439.924	534	909
fig|536231.75.peg.363	3998.202	5612	2092	839	567	776
fig|536231.75.peg.364	4619	4799	974	625	514	789
fig|536231.75.peg.365	7	14	57	0	0	2
fig|536231.75.peg.366	690	1020	430	50	91	144
fig|536231.75.peg.368	0	0	0	0	0	0
fig|536231.75.peg.369	630	428	264	1601	1358	1612
fig|536231.75.peg.370	7356.098	4821	3204	1166	1230	2170
fig|536231.75.peg.371	550	503	251	126	156	334
fig|536231.75.peg.372	286.998	278	119	8	30	71
fig|536231.75.peg.373	4601.854	3890.881	1643	3099.384	3709.649	6482.617
fig|536231.75.peg.374	3219.351	2656.119	1122	3082.616	3162.351	5274.383
fig|536231.75.peg.375	1413	961	865	1459	1640	2392
fig|536231.75.peg.376	512.042	372	231	129	195	253
fig|536231.75.peg.377	14132.84	11138.817	3421	2342	2684	4308
fig|536231.75.peg.378	20468.222	16978.005	9037	4456	4067	7458
fig|536231.75.peg.379	95	87	41	0	0	26
fig|536231.75.peg.380	22674.39	18667	12468	2818	2767	4228
fig|536231.75.peg.381	3080	3772	1865	533	641	1253
fig|536231.75.peg.382	6	8	6	0	0	0
fig|536231.75.peg.383	4177	2645	1940	245	244	493
fig|536231.75.peg.384	2267	1851	1155	5161	4026	7269
fig|536231.75.peg.385	37875.224	26326.886	16018.239	19904	19082	34053.572
fig|536231.75.peg.386	13303.608	11259.144	5609.974	2256	3139	5076.428
fig|536231.75.peg.387	61111.252	48640.023	29976.786	77811	67499	122155
fig|536231.75.peg.388	34986.806	29302.531	14035	33040	32627	53793
fig|536231.75.peg.389	0	0	0	0	0	0
fig|536231.75.peg.390	1001	879	284	364	375	865
fig|536231.75.peg.391	3591.009	2721	1473	4501	3785	5833
fig|536231.75.peg.392	2686	2097	1059	3451	3906	6133
fig|536231.75.peg.393	4470	3946	2232	2583	2559	4045
fig|536231.75.peg.394	5244.039	3901	2222	7991	7305	10792
fig|536231.75.peg.395	102	89	29	439	840	643
fig|536231.75.peg.396	71	70	11	370	296	506
fig|536231.75.peg.397	84	97	27	177	256	239
fig|536231.75.peg.398	10	15	12	147	193	330
fig|536231.75.peg.399	373	499	163	52	97	211
fig|536231.75.peg.400	484	461	200	203	177	292
fig|536231.75.peg.401	1353.12	1495	704	954	787	1246
fig|536231.75.peg.402	92.998	104	18	7	21	26
fig|536231.75.peg.403	15341.762	11374	7366	19870	21572	37111
fig|536231.75.peg.404	39	31	5	31	62	81
fig|536231.75.peg.405	754	449	443	413	315	683
fig|536231.75.peg.406	155	146	27	150	75	153
fig|536231.75.peg.407	5140	2597	1976	2438	2268	4000
fig|536231.75.peg.408	1329.617	776	666	2415	2171	2942
fig|536231.75.peg.409	69.383	33	46	69.006	114	89
fig|536231.75.peg.410	1295	915	628	1217.994	1109	1680
fig|536231.75.peg.411	1325	864	730	2078	2165	3863
fig|536231.75.peg.412	1037	765	444	954	974	1469
fig|536231.75.peg.413	212.008	134	95	130.812	59	253.255
fig|536231.75.peg.414	1445.001	1227	257	253.188	260	407.745
fig|536231.75.peg.415	507	459	319	401	294	439
fig|536231.75.peg.416	1354	905	614	1133	905	1134
fig|536231.75.peg.417	2751	1479	721	686	937	1085
fig|536231.75.peg.418	717	494	236	510	566	777
fig|536231.75.peg.419	1384	701	457	3322	2389	3269
fig|536231.75.peg.420	836	586	212	453	334	825
fig|536231.75.peg.421	70	60	7	1	0	13
fig|536231.75.peg.422	1164	1071	402	2227	1844	2235
fig|536231.75.peg.423	952	1086	478	1054	967	1652
fig|536231.75.peg.424	2549	2514.175	1096	5700	5003	6434
fig|536231.75.peg.425	26276.495	13082.002	11540	48458	42129	71067
fig|536231.75.peg.426	1698	1019	690	3750	3438	5674
fig|536231.75.peg.427	2	0	0	0	12	0
fig|536231.75.peg.428	0	18	22	0	0	0
fig|536231.75.peg.429	2692	1826	1144	2715	2746	4232
fig|536231.75.peg.430	265.007	236	137	291	239	443
fig|536231.75.peg.431	0	0	0	0	0	0
fig|536231.75.peg.432	577	450	301	190	337	596
fig|536231.75.peg.433	3951.014	3497	2074	3860	3271	5603
fig|536231.75.peg.434	662	995	198	3	0	15
fig|536231.75.peg.435	17	19	21	0	81	54
fig|536231.75.peg.436	6	11	0	6	25	27
fig|536231.75.peg.437	83	80	56	119	193	205
fig|536231.75.peg.438	0	0	0	0	0	0
fig|536231.75.peg.439	2	0	0	17	0	27
fig|536231.75.peg.440	3	4	0	0	0	14
fig|536231.75.peg.441	0	0	0	0	0	3
fig|536231.75.peg.442	6	6	0	0	1	69
fig|536231.75.peg.443	4	4	0	0	0	8
fig|536231.75.peg.444	321	329	210	495	545	711
fig|536231.75.peg.445	4729.407	4856	2109	106	140	159
fig|536231.75.peg.446	15850.287	19102.403	10354	1040	1238	1664
fig|536231.75.peg.447	38	27	7	37	8	0
fig|536231.75.peg.448	3	0	0	0	0	2
fig|536231.75.peg.449	2.142	5	0	0	0	1
fig|536231.75.peg.450	26.858	31	22	88	76	118
fig|536231.75.peg.451	3	13	5	16	0	24
fig|536231.75.peg.452	17	12	37	28	8	45
fig|536231.75.peg.453	2.914	1	0	7	0	3
fig|536231.75.peg.454	35.086	28	42	15	84	49
fig|536231.75.peg.455	2	3	0	0	0	11
fig|536231.75.peg.456	6	13	15	35	45	25
fig|536231.75.peg.457	1	7	0	5	0	14
fig|536231.75.peg.458	51	39	30	68	62	39
fig|536231.75.peg.459	16	12	21	10	16	4
fig|536231.75.peg.460	21	14	37	7	13	28
fig|536231.75.peg.461	64	59	14	110	109	136
fig|536231.75.peg.462	17721.271	24358	9396	4036	3260	6634
fig|536231.75.peg.463	4	11	8	0	26	0
