patricID	ri_t04_A	ri_t04_B	ri_t04_C	ri_t12_A	ri_t12_B	ri_t12_C
fig|536231.75.peg.1	9543.438	6356	3644	7654.448	6929.314	3979
fig|536231.75.peg.2	8655.583	6902.965	4167	6564.191	5952.954	5078.526
fig|536231.75.peg.3	1743.432	1330.875	773.674	795.751	740.185	797.401
fig|536231.75.peg.4	11955.871	9299.658	6554.326	7445.057	7095.861	4591.072
fig|536231.75.peg.5	15802.295	10010.654	6273	12057.993	11234	6651
fig|536231.75.peg.6	25082.22	15073.06	10448	18039.006	16929	11216
fig|536231.75.peg.7	1753.208	1081	464	1608	1280	1145
fig|536231.75.peg.8	1268.004	1040	526	1227	1045	1394
fig|536231.75.peg.9	5713	6188.946	3893	5099.023	5101	6861.972
fig|536231.75.peg.10	36	18.054	18	31.977	46	70.028
fig|536231.75.peg.11	1272.504	1157	434	16383	6396	7814
fig|536231.75.peg.12	176.496	187	121	2141.254	688	756
fig|536231.75.peg.13	2587.002	2024	1292	21026.889	5199.062	7738
fig|536231.75.peg.14	0	2	0	0	0	0
fig|536231.75.peg.15	5823.441	4885	2865	2631	1939	5563
fig|536231.75.peg.16	4084	2777	1957	2116	1230	3504
fig|536231.75.peg.17	2696.703	2256.166	1403	1559	994	2088.633
fig|536231.75.peg.18	1305.447	1040.834	768	848.004	390	1095.367
fig|536231.75.peg.19	2958	2440	1310	2692	2188	2528
fig|536231.75.peg.20	1370	1118	509	1141	1006	668
fig|536231.75.peg.21	47	35	11	56	15	31
fig|536231.75.peg.22	845	577	361	728	581	382
fig|536231.75.peg.23	1927	1432	730	1795	1448	1334
fig|536231.75.peg.24	35444.3	35960.12	15453	32768.683	24622.766	42605
fig|536231.75.peg.25	3	1	0	0	0	0
fig|536231.75.peg.26	16	16	10	0	1	0
fig|536231.75.peg.27	20	20	39	7	14.008	15
fig|536231.75.peg.28	5	6	0	2	1.992	3
fig|536231.75.peg.29	5	10	0	7	2	0
fig|536231.75.peg.30	29	37	12	5	22	10
fig|536231.75.peg.31	89	57	35	28	24	23
