patricID	ri_t12_A	ri_t12_B	ri_t12_C	ri_t48_A	ri_t48_B	ri_t48_C
fig|536231.75.peg.103	83570.781	39928.916	32178.383	4117.645	3630.056	5320.856
fig|536231.75.peg.104	54912.986	22147.946	19412.492	4856.36	3513.925	5387
fig|536231.75.peg.105	602	277	389	0	0	3
fig|536231.75.peg.106	11698.603	5406.333	3467.462	446.536	429.872	782.221
fig|536231.75.peg.107	23811.457	11902.201	7930.185	2317.805	2306.99	3713.74
fig|536231.75.peg.108	5175.336	2691.248	1998.861	1828.299	923.213	1238.039
fig|536231.75.peg.109	3962	3056.246	1856	5569.456	6056	8226
fig|536231.75.peg.110	583	364.754	174	1283.544	1321	1676
fig|536231.75.peg.111	372	318.512	226	847.96	579	1055
fig|536231.75.peg.112	15934.353	12047.183	7177	9388.04	9026	11576
fig|536231.75.peg.113	0	0	0	5	0	0
fig|536231.75.peg.114	16168	8512	6259	8837	9040	13285.004
fig|536231.75.peg.115	7034	3931	3850	2895	3041	4438
fig|536231.75.peg.116	11498.577	4615	5311	5628	5613	8309
fig|536231.75.peg.117	10753	4015	4935	7922	6625	9444
fig|536231.75.peg.118	304	163	198	96	106	220
fig|536231.75.peg.119	5044.462	4030	4190	2472	2201	4513
fig|536231.75.peg.120	10113	7916	6516	6662	6488	10125
fig|536231.75.peg.121	4869	3488	3202	4758	4461	7457.057
fig|536231.75.peg.122	5511	3975	4518	5933	5770	11366.943
fig|536231.75.peg.123	52	20	31	45	16	34
fig|536231.75.peg.124	12	1	0	45	0	27
fig|536231.75.peg.125	3727	3595.757	2616	3069	2237	3913
fig|536231.75.peg.126	844	719	386	8592	8519	15748
fig|536231.75.peg.127	3069	2395	1191	13627	12164	21575.041
fig|536231.75.peg.128	56903.452	31212.241	29704	17775	18800	27621.952
fig|536231.75.peg.129	809.961	747.53	621	340.172	376	657.882
fig|536231.75.peg.130	4399.039	3795.627	2207	3849.828	3678	5425.166
fig|536231.75.peg.131	4362	5172	3128	3291	2866	3972
fig|536231.75.peg.132	45	15	6	25	15	48
fig|536231.75.peg.133	27	67	7	30	42	18
fig|536231.75.peg.134	5038	3896	3672	5304	4991	7975
fig|536231.75.peg.135	0	0	0	0	0	0
fig|536231.75.peg.136	662	1159.104	661	1482	1825	2990
fig|536231.75.peg.137	1156	609	1669	2369	2549	4108
fig|536231.75.peg.138	14617	4769	7478	10726	10115	13081
fig|536231.75.peg.139	81172.589	30398.015	40688.535	41408	34508	46520
fig|536231.75.peg.140	10	33	16	50	45	34
fig|536231.75.peg.141	456	186	373	1027	513	1129
fig|536231.75.peg.142	150130.148	166158.597	32192	35509	27237	36397.296
fig|536231.75.peg.143	52516.295	46594.984	7073	10294	10087	17493.704
fig|536231.75.peg.144	2335	2160	2665	2284	2246	3782
fig|536231.75.peg.145	378	348	266	546	658	1080
fig|536231.75.peg.146	781	345	610	540	566	1102
fig|536231.75.peg.147	2834	2770.867	2350	3210.264	2568.091	3464.812
fig|536231.75.peg.148	15802.224	15031.719	10684.441	6518.887	7577.774	11812.318
fig|536231.75.peg.149	7690	12255.143	7294.86	14845	9517	14568
fig|536231.75.peg.150	97429.774	60782.14	95925.747	86203	70829.57	132297
fig|536231.75.peg.151	2765	1261	3489	1035	920	1449
fig|536231.75.peg.152	3260	1725	2707	4555	3842	6431
fig|536231.75.peg.153	3923	2017	5399	4971	4680	8104
fig|536231.75.peg.154	3	5	2	0	35	68
fig|536231.75.peg.155	0	3	1	0	0	4
fig|536231.75.peg.156	361	219	216	879	1038	1772
fig|536231.75.peg.157	1934	1393	1606	822	1180	1801
fig|536231.75.peg.158	1225	1138	1084	263	393	672
fig|536231.75.peg.159	8459	4041	4986	6712	5918	11068
fig|536231.75.peg.160	13096	6875	8912.123	11701	11193	20345
fig|536231.75.peg.161	1779	1490	1253	602	859	1757
fig|536231.75.peg.162	4947.035	2322	4200	3635	4406	6945
fig|536231.75.peg.163	157	72	70	35	70	245
fig|536231.75.peg.164	81	49	56	0	9	46
fig|536231.75.peg.165	7151	2903	3816	4461	4355	7373
fig|536231.75.peg.166	151	105	73	125	261	304
fig|536231.75.peg.167	5	11	0	0	11	1
fig|536231.75.peg.168	160	138	80	47	108	111
fig|536231.75.peg.169	801	780	601	415	449	778
fig|536231.75.peg.170	20	31	21	6	15	40
fig|536231.75.peg.171	78.037	95.905	58	85.179	92.693	122.262
fig|536231.75.peg.172	505.963	458.095	286	445.821	619.307	567.738
fig|536231.75.peg.173	823.052	807	510	814	567	1187
fig|536231.75.peg.174	2854	2637	1924	2814	2387	3712
fig|536231.75.peg.175	1569	1080	1230.233	1455	1203	2066
fig|536231.75.peg.176	8735	7327.812	4451	7814	6514	11178
fig|536231.75.peg.177	243	324.863	198	39	145	190
fig|536231.75.peg.178	36938.483	46183.314	13597	25147	20892	34862
fig|536231.75.peg.179	167	137	32	36	53	51
fig|536231.75.peg.180	5863.044	6304	1985	281	543	1298
fig|536231.75.peg.181	10083.02	16684.17	5550	1378	1430	2346
fig|536231.75.peg.182	1292	8539	286	424	212	328
fig|536231.75.peg.183	33	75	26	15	0	12
fig|536231.75.peg.184	939.997	1490.909	1156.916	104.294	56	151
fig|536231.75.peg.185	2660.003	4614.002	2263.084	644.896	477	1024.377
fig|536231.75.peg.186	2930	1980.09	2170	5874.81	5363	8064.623
fig|536231.75.peg.187	226	324.075	178.988	394.101	425.633	546.968
fig|536231.75.peg.188	7226.016	10060.925	7494.012	10789.899	9480.367	14968.032
fig|536231.75.peg.189	0	0	0	0	0	0
fig|536231.75.peg.190	1	6	2	11	0	7
fig|536231.75.peg.191	5819.954	6029	5287	2768	3017	5628
fig|536231.75.peg.192	13399.024	9153.733	8604	12446	11754	20979
fig|536231.75.peg.193	15568.637	10577	9059	15142	12928	19860
fig|536231.75.peg.194	26	28	25	74	99	93
fig|536231.75.peg.195	1640	1548	2817	821	1138	1422
fig|536231.75.peg.196	496	479	714	417	351	455
fig|536231.75.peg.197	10778	18925.003	8894	718	673	1265
fig|536231.75.peg.198	15	8	14	27	0	52
fig|536231.75.peg.199	3496.96	1800	41741.946	2537	2600	4488
fig|536231.75.peg.200	41.114	16	136.054	1	38	8
fig|536231.75.peg.201	1818.886	780	9715	2664	3202	5342
fig|536231.75.peg.202	499	312	2097	468	601	1048
fig|536231.75.peg.203	5719	1965	17571.203	10076	10568	18554
fig|536231.75.peg.204	2158	814	5233	3324	3162	6354
fig|536231.75.peg.205	6684.268	2896.915	17940.182	13816.11	15250.204	26070.466
fig|536231.75.peg.206	1454.732	803.266	5242.818	2973.89	2242.796	4411.534
fig|536231.75.peg.207	439	186	239	2309	2197	4201
fig|536231.75.peg.208	0	0	0	0	10	23
fig|536231.75.peg.209	1793	992	1011	2590	2359	3961
fig|536231.75.peg.210	1460	793	773	2560	2611	2923
fig|536231.75.peg.211	2018	1066	1141	1090	1137	1642
fig|536231.75.peg.212	7628	5276	7150	5261	4518	7919
fig|536231.75.peg.213	7336	4778	7150	7502	5883	12397
fig|536231.75.peg.214	14508	9821.121	21646.745	6645	6228	10260
fig|536231.75.peg.215	250	222	252	572	623	1024
fig|536231.75.peg.216	402	388	384	836	747	1245
fig|536231.75.peg.217	15	12	10	0	51	50
fig|536231.75.peg.218	467	428	374	298	402	481
fig|536231.75.peg.219	5432.535	9056.369	5220.35	4822.847	3836.745	8091.158
fig|536231.75.peg.220	354	309	259	132	141	260
fig|536231.75.peg.221	230	243	274	101	182	307
fig|536231.75.peg.222	22637	27143.629	13873.137	5761	6098	8092
fig|536231.75.peg.223	5029.832	5753.532	2938	3264	2516	3422
fig|536231.75.peg.224	450.972	747.856	332.053	177.623	167.549	297.947
fig|536231.75.peg.225	137.888	166.217	227	37	34	72.654
fig|536231.75.peg.226	16034.347	16854.205	11901.514	11927	10186	13954.609
fig|536231.75.peg.227	2818.308	5306.395	2831.433	93.377	105.451	359.79
fig|536231.75.peg.228	1536	1612	776	2869	2469	4188
fig|536231.75.peg.229	1384	1321	838	1504	1638	2131
fig|536231.75.peg.230	3624	3400.772	1986	4814	4623	7156
fig|536231.75.peg.231	7160.106	7935	4705	9616	9035	14723
fig|536231.75.peg.232	3903	4216	1945	3572	3851	4039
fig|536231.75.peg.233	1489.023	1090	514	1002	939	1355
fig|536231.75.peg.234	1597	3572	1276	1759	1217	1665
fig|536231.75.peg.235	1223	1707	848	441	427	792
fig|536231.75.peg.236	3519.008	4658	2354	3515	3347	4093
fig|536231.75.peg.237	1350	1661.027	890	1015	1105	1493
fig|536231.75.peg.238	788.457	421.412	790.049	485.235	1405.39	1324.705
fig|536231.75.peg.239	1023	954	634	1770	1663	1921
fig|536231.75.peg.240	978	1149.001	711	2319	2545	3100
fig|536231.75.peg.241	2583	2462	1764	5814	5030	6006
fig|536231.75.peg.242	235	280	201	555	864	912
fig|536231.75.peg.243	539	436	380	2356	2276	3329
fig|536231.75.peg.244	7252.254	8814.648	5813.868	3510.12	4343.678	6536.382
fig|536231.75.peg.245	1814	1348	1132	3310	3366	5158
fig|536231.75.peg.246	154	315	132	131	93	145
fig|536231.75.peg.247	633	315	597	595	840	1460
fig|536231.75.peg.248	957	774	1175	1604	1434	2954
fig|536231.75.peg.249	1700	1597	2188	1670	1504	2384
fig|536231.75.peg.250	9721	7698	10517	8747	8050	11843
fig|536231.75.peg.251	318	223	356	1272	1306	2001
fig|536231.75.peg.252	1355	694	1923	1520	1625	2637
fig|536231.75.peg.253	1633	1423	2002	4186	4888	7486
fig|536231.75.peg.254	21	21	8	6	25	23
fig|536231.75.peg.255	669	340.177	773.064	2242	2639	3325.213
fig|536231.75.peg.256	787.218	381.866	1088	2249.58	2159.828	4401.434
fig|536231.75.peg.257	0	0	0	0	0	0
fig|536231.75.peg.259	174.922	196.158	154.452	38.007	41	48
fig|536231.75.peg.260	153.713	250.778	159.558	83	30	115
fig|536231.75.peg.261	550	792	374	503	499	670
fig|536231.75.peg.262	4	24	6	0	0	6
fig|536231.75.peg.263	0	0	0	0	0	0
fig|536231.75.peg.264	0	20.823	7.936	0	0	0
fig|536231.75.peg.265	0	0	0	0	0	0
fig|536231.75.peg.266	0	0	0	0	0	0
fig|536231.75.peg.267	0	0	0	0.002	150.706	119.141
fig|536231.75.peg.268	92.782	46.134	0	499.418	245.466	844.425
fig|536231.75.peg.269	0	0	0	0	0	0
fig|536231.75.peg.271	23.365	19.064	15.99	4.993	9	0
fig|536231.75.peg.275	180	169	108	53	83	126
fig|536231.75.peg.276	292	455	333	128	175	368
fig|536231.75.peg.277	965	724	359	318	430	857
fig|536231.75.peg.278	0	2	0	16	30	10
fig|536231.75.peg.279	6	18	9	9	20	37
fig|536231.75.peg.280	1527.994	910.939	661.121	740.882	473.481	1108.216
fig|536231.75.peg.281	37.193	7.473	25.519	93.327	126.224	129.48
fig|536231.75.peg.282	0	0	54.935	0	0	0
fig|536231.75.peg.283	68	58	21	82	18	58
fig|536231.75.peg.284	102	107	178	43	77	78
fig|536231.75.peg.285	189	186	104	75	60	96
fig|536231.75.peg.286	133	167	202	150	148	213
fig|536231.75.peg.287	8	0	0	1	0	0
fig|536231.75.peg.288	5	28	10	31	14	37
fig|536231.75.peg.289	43	88	92	27	41	71
fig|536231.75.peg.290	324	261	270	95	282	242
fig|536231.75.peg.291	72	125	25	141	75	253
fig|536231.75.peg.292	302	303	140	137	198	298
fig|536231.75.peg.293	32	7	9	30	17	37
fig|536231.75.peg.294	244	161	143	418	347	559
fig|536231.75.peg.295	29	45	32	33	18	85
fig|536231.75.peg.296	38	18	8	15	27.261	29
fig|536231.75.peg.297	379	402	329	685	335.739	1038
fig|536231.75.peg.298	134	90	73	124	94	207
fig|536231.75.peg.299	202	211	94	275	157	149
fig|536231.75.peg.300	691	1168	1154	280	183	387
fig|536231.75.peg.301	2	5	2	9	0	0
fig|536231.75.peg.302	394	344	221	444	472	725
fig|536231.75.peg.303	566.201	474.294	268.046	391.686	436.551	678.035
fig|536231.75.peg.304	0	0	0	28.256	0	0
fig|536231.75.peg.305	257.836	192.594	271.775	118.893	167.747	222.965
fig|536231.75.peg.306	194.732	119.404	90.23	159.458	154.269	278.837
fig|536231.75.peg.307	2026.129	1693.08	1121.482	1282.305	1074.47	2396.1
fig|536231.75.peg.308	72	37	29	159	203	150
fig|536231.75.peg.309	157	64	127	281	351	338
fig|536231.75.peg.310	35.567	213.478	0	298.094	343.799	635.371
fig|536231.75.peg.311	0	9.436	0	27.927	0	7.473
fig|536231.75.peg.312	2.445	7.837	33.144	0	0	0
fig|536231.75.peg.313	1.011	0	0	0	0	0
fig|536231.75.peg.316	0	0	0	488.119	174.849	0
fig|536231.75.peg.317	3	5	5	24	4	41
fig|536231.75.peg.318	0	6	10	2	25.505	8
fig|536231.75.peg.319	10	28	29	9	4.495	20
fig|536231.75.peg.320	34	72	44	44	58	33
fig|536231.75.peg.321	83	92	83	33	77	143
fig|536231.75.peg.322	47681.416	83608.474	6302	36728	27794	49835
fig|536231.75.peg.323	25314.976	49818.752	4485.17	12757	11161	18149
fig|536231.75.peg.324	168	628.185	38	8	34	15
fig|536231.75.peg.325	2660	7380.005	407.991	200	217	549
fig|536231.75.peg.326	1295.769	3711.704	149.55	121.813	146.11	241.886
fig|536231.75.peg.327	34903.198	70415.275	6396.914	10495.257	11241.506	18524.308
fig|536231.75.peg.328	24692.295	53354.504	5624.544	19532.93	19314.383	33475.806
fig|536231.75.peg.329	48	27	55	19	14	23
fig|536231.75.peg.330	72	83	102	15	32	33
fig|536231.75.peg.331	545	303	341	730	834	1158
fig|536231.75.peg.332	2744.078	2053.61	2013.405	501.654	1059.628	1770.583
fig|536231.75.peg.333	43481.864	29522.39	23126.237	59022.346	65167.372	111136.417
fig|536231.75.peg.334	55177.251	45611.965	29870	116562.524	96600	154157
fig|536231.75.peg.335	42223.397	29773.1	20735	50154	54380	86063.033
fig|536231.75.peg.336	91172.482	69773.474	43518.544	258762.866	205443.283	301869.921
fig|536231.75.peg.337	23054.821	18960.037	10116.456	33218.134	33871.717	50797.079
fig|536231.75.peg.338	104072.53	85803.282	50184.888	162904.774	165534	229286
fig|536231.75.peg.339	36875	36012.102	16501.52	49723.06	55459.926	99449
fig|536231.75.peg.340	8805	9570.898	3467	5242.94	6679.074	11869
fig|536231.75.peg.341	7544.004	3733.049	4208	11751	10608	16498
fig|536231.75.peg.342	1579.177	3170.697	1096.355	30.164	39.951	91.488
fig|536231.75.peg.343	11498.823	18973.679	7858.864	688.836	497.049	984.512
fig|536231.75.peg.344	7	6	0	27	30	16
fig|536231.75.peg.345	20	12	3	157	121	157
fig|536231.75.peg.346	17	14	2	98	85	90
fig|536231.75.peg.347	167	245	244	353	239	550
fig|536231.75.peg.348	5454	3127	5840	3951	3997	5748
fig|536231.75.peg.349	44929.531	21823	25977	19562	20422	33343
fig|536231.75.peg.350	36	39	27	0	1	17
fig|536231.75.peg.351	498	755	429	29	3	50
fig|536231.75.peg.352	177.022	248.998	224	0	0	42
fig|536231.75.peg.353	414.978	417.002	262	107	151	200
fig|536231.75.peg.354	25825.137	38153.716	28776	2051	2195	4519
fig|536231.75.peg.355	2800.798	3402.482	1704.157	2075.547	2003.326	3274.858
fig|536231.75.peg.356	297.656	365.67	158.821	21.627	48.228	68.029
fig|536231.75.peg.357	23.339	24.411	23.964	3.625	0	32.751
fig|536231.75.peg.358	6241.313	4137.771	2728.897	3136.058	3678.32	5338.513
fig|536231.75.peg.359	21.979	39.782	13.034	44.664	44	65.375
fig|536231.75.peg.360	6.543	7.422	7.589	90.894	69.244	44.057
fig|536231.75.peg.361	692.344	1511	389	20.076	0	25
fig|536231.75.peg.362	1387.656	1965	1752	439.924	534	909
fig|536231.75.peg.363	2185	2831	3479	839	567	776
fig|536231.75.peg.364	2102	2301	1381	625	514	789
fig|536231.75.peg.365	3	5	1	0	0	2
fig|536231.75.peg.366	197	409	169	50	91	144
fig|536231.75.peg.368	0	0	0	0	0	0
fig|536231.75.peg.369	830	608	673	1601	1358	1612
fig|536231.75.peg.370	558	1168	254	1166	1230	2170
fig|536231.75.peg.371	216	253	183	126	156	334
fig|536231.75.peg.372	188	210	156	8	30	71
fig|536231.75.peg.373	9465.296	6144.827	4008.366	3099.384	3709.649	6482.617
fig|536231.75.peg.374	6685.949	4000.588	2672.634	3082.616	3162.351	5274.383
fig|536231.75.peg.375	726	376	803	1459	1640	2392
fig|536231.75.peg.376	366	410	147	129	195	253
fig|536231.75.peg.377	7818	10182	2760	2342	2684	4308
fig|536231.75.peg.378	10944.007	15073.382	3662	4456	4067	7458
fig|536231.75.peg.379	48	91	19	0	0	26
fig|536231.75.peg.380	5472	11078.468	2265.038	2818	2767	4228
fig|536231.75.peg.381	3716.04	3238	2012	533	641	1253
fig|536231.75.peg.382	0	2	1	0	0	0
fig|536231.75.peg.383	1333	2087	1837	245	244	493
fig|536231.75.peg.384	3879	2056	2986	5161	4026	7269
fig|536231.75.peg.385	65804.156	49919.34	17088	19904	19082	34053.572
fig|536231.75.peg.386	21777.197	17234.66	7511	2256	3139	5076.428
fig|536231.75.peg.387	99029.878	72571	37389.631	77811	67499	122155
fig|536231.75.peg.388	55912.84	45268.541	19039.149	33040	32627	53793
fig|536231.75.peg.389	0	0	0	0	0	0
fig|536231.75.peg.390	1187	1126	1066	364	375	865
fig|536231.75.peg.391	6788	4876	8274	4501	3785	5833
fig|536231.75.peg.392	3907	2681	2997	3451	3906	6133
fig|536231.75.peg.393	5121	4273	7845	2583	2559	4045
fig|536231.75.peg.394	5912	4203	6605	7991	7305	10792
fig|536231.75.peg.395	76	160	21	439	840	643
fig|536231.75.peg.396	135	135	36	370	296	506
fig|536231.75.peg.397	85	177	70	177	256	239
fig|536231.75.peg.398	38	37	5	147	193	330
fig|536231.75.peg.399	357	315	443	52	97	211
fig|536231.75.peg.400	502	335	453	203	177	292
fig|536231.75.peg.401	857	742	956	954	787	1246
fig|536231.75.peg.402	30	43	19	7	21	26
fig|536231.75.peg.403	18338	4263	35830	19870	21572	37111
fig|536231.75.peg.404	50	27	47	31	62	81
fig|536231.75.peg.405	477	327	469	413	315	683
fig|536231.75.peg.406	68	63	87	150	75	153
fig|536231.75.peg.407	1289	1080	940	2438	2268	4000
fig|536231.75.peg.408	780	536	705	2415	2171	2942
fig|536231.75.peg.409	43	39	28	69.006	114	89
fig|536231.75.peg.410	764	596	824	1217.994	1109	1680
fig|536231.75.peg.411	928	742	734	2078	2165	3863
fig|536231.75.peg.412	583	520	509	954	974	1469
fig|536231.75.peg.413	116	131	118	130.812	59	253.255
fig|536231.75.peg.414	482	491	302	253.188	260	407.745
fig|536231.75.peg.415	412	285	328	401	294	439
fig|536231.75.peg.416	681	514	593	1133	905	1134
fig|536231.75.peg.417	886	728	698	686	937	1085
fig|536231.75.peg.418	558	320	290	510	566	777
fig|536231.75.peg.419	836	606	711	3322	2389	3269
fig|536231.75.peg.420	324	315	317	453	334	825
fig|536231.75.peg.421	51	23	77	1	0	13
fig|536231.75.peg.422	1321	365	820	2227	1844	2235
fig|536231.75.peg.423	935	388	812	1054	967	1652
fig|536231.75.peg.424	3734	1123	2242	5700	5003	6434
fig|536231.75.peg.425	36976.925	29140.16	24571	48458	42129	71067
fig|536231.75.peg.426	3490	1459	2262	3750	3438	5674
fig|536231.75.peg.427	0	0	0	0	12	0
fig|536231.75.peg.428	13	6	16	0	0	0
fig|536231.75.peg.429	2242	1528	2256	2715	2746	4232
fig|536231.75.peg.430	368	227	341	291	239	443
fig|536231.75.peg.431	0	0	0	0	0	0
fig|536231.75.peg.432	487	458	216	190	337	596
fig|536231.75.peg.433	3458.022	2601	2316	3860	3271	5603
fig|536231.75.peg.434	222	430	163	3	0	15
fig|536231.75.peg.435	12	7	3	0	81	54
fig|536231.75.peg.436	1	2	4	6	25	27
fig|536231.75.peg.437	37	24	25	119	193	205
fig|536231.75.peg.438	0	0	0	0	0	0
fig|536231.75.peg.439	0	0	0	17	0	27
fig|536231.75.peg.440	2	0	0	0	0	14
fig|536231.75.peg.441	0	0	0	0	0	3
fig|536231.75.peg.442	3	1	0	0	1	69
fig|536231.75.peg.443	1	0	1	0	0	8
fig|536231.75.peg.444	288.008	165	223	495	545	711
fig|536231.75.peg.445	1213.992	1764	1485	106	140	159
fig|536231.75.peg.446	6848	8687	6542	1040	1238	1664
fig|536231.75.peg.447	14	18	9	37	8	0
fig|536231.75.peg.448	0	0	0	0	0	2
fig|536231.75.peg.449	12	0	4	0	0	1
fig|536231.75.peg.450	33	17	40	88	76	118
fig|536231.75.peg.451	12	4	8	16	0	24
fig|536231.75.peg.452	21	2	10	28	8	45
fig|536231.75.peg.453	0	0	2	7	0	3
fig|536231.75.peg.454	9	7	0	15	84	49
fig|536231.75.peg.455	4	0	6	0	0	11
fig|536231.75.peg.456	4	4	0	35	45	25
fig|536231.75.peg.457	0	1	4	5	0	14
fig|536231.75.peg.458	57	21	32	68	62	39
fig|536231.75.peg.459	8	2	1	10	16	4
fig|536231.75.peg.460	9	27	3	7	13	28
fig|536231.75.peg.461	43	21	51	110	109	136
fig|536231.75.peg.462	7398	8926	2814	4036	3260	6634
fig|536231.75.peg.463	0	6	10	0	26	0
fig|536231.75.peg.464	404	387	325	280	316	363
fig|536231.75.peg.465	753	497	589	432	349	484
fig|536231.75.peg.466	332	291	317	313	234	451
fig|536231.75.peg.467	2809	1572	2666	1656	1545	2379
fig|536231.75.peg.468	249	158	286	119	280	214
fig|536231.75.peg.469	0	3	0	0	46	9
fig|536231.75.peg.470	3	1	12	23	7	25
fig|536231.75.peg.471	5	1	0	0	0	4
fig|536231.75.peg.472	644	1451	338	15	58	67
