patricID	ri_t12_A	ri_t12_B	ri_t12_C	ri_t48_A	ri_t48_B	ri_t48_C
fig|536231.75.peg.1	7654.448	6929.314	3979	3822	3751	7296
fig|536231.75.peg.2	6564.191	5952.954	5078.526	3038.446	3647.665	5883.114
fig|536231.75.peg.3	795.751	740.185	797.401	649.441	909.498	1295.642
fig|536231.75.peg.4	7445.057	7095.861	4591.072	6970.112	6669.837	11460.244
fig|536231.75.peg.5	12057.993	11234	6651	9794	10300	14782
fig|536231.75.peg.6	18039.006	16929	11216	22577	22438	33574
fig|536231.75.peg.7	1608	1280	1145	1804	1733	2537
fig|536231.75.peg.8	1227	1045	1394	1222	1006	1384
fig|536231.75.peg.9	5099.023	5101	6861.972	3423	2989.814	4917.448
fig|536231.75.peg.10	31.977	46	70.028	9.012	19	30.552
fig|536231.75.peg.11	16383	6396	7814	13204.988	12863.186	17511
fig|536231.75.peg.12	2141.254	688	756	2514.783	2625.103	4144.654
fig|536231.75.peg.13	21026.889	5199.062	7738	37192.217	37880.897	43953.346
fig|536231.75.peg.14	0	0	0	0	0	0
fig|536231.75.peg.15	2631	1939	5563	6573	5844	9774
fig|536231.75.peg.16	2116	1230	3504	2291	2890	4780
fig|536231.75.peg.17	1559	994	2088.633	1575	2197	2910.413
fig|536231.75.peg.18	848.004	390	1095.367	691	742	934.587
fig|536231.75.peg.19	2692	2188	2528	1295	1459	2819
fig|536231.75.peg.20	1141	1006	668	1786	1254	2471
fig|536231.75.peg.21	56	15	31	55	117	63
fig|536231.75.peg.22	728	581	382	479	555	846
fig|536231.75.peg.23	1795	1448	1334	1344	1405	2210
fig|536231.75.peg.24	32768.683	24622.766	42605	12119	12381	19942
fig|536231.75.peg.25	0	0	0	3	29	4
fig|536231.75.peg.26	0	1	0	17	53	30
fig|536231.75.peg.27	7	14.008	15	27	21	21
fig|536231.75.peg.28	2	1.992	3	7	27	30
fig|536231.75.peg.29	7	2	0	22	19	27
fig|536231.75.peg.30	5	22	10	192	155	153
fig|536231.75.peg.31	28	24	23	194	119	247
fig|536231.75.peg.32	0	0	0	15.761	31.83	7
fig|536231.75.peg.33	4	3	1	53.239	38.17	56
fig|536231.75.peg.34	57	83	31	1582	1447	1810
fig|536231.75.peg.35	0	0	0	0	0	0
fig|536231.75.peg.36	14	33	1	438	284	406
fig|536231.75.peg.37	2	13	0	251	298	186
fig|536231.75.peg.38	2300	1593	1869	8946	6530	11626
fig|536231.75.peg.39	1855	1003	952	2877	2460	4300
fig|536231.75.peg.40	51.905	23.603	105.786	210.703	108.242	314
fig|536231.75.peg.41	465.095	184.397	637.214	2448.297	1926.758	2396
fig|536231.75.peg.42	3	7	2	22	41	27
fig|536231.75.peg.43	150	90.51	207	205	230	358.029
fig|536231.75.peg.44	678	372.49	741	2677	2680	3765.971
fig|536231.75.peg.45	1316	693	1051	5086	4075	6204
fig|536231.75.peg.46	18420.898	12260	8478	2660	3274	4651
fig|536231.75.peg.47	35788.254	26469.107	15745	3673	3594	5175
fig|536231.75.peg.48	2787	1793	1602	1690	1327	2435
fig|536231.75.peg.49	3631	1861	2737	3186	3337	5353
fig|536231.75.peg.50	67	72.999	25	144.664	154	203.031
fig|536231.75.peg.51	59	52.001	21	81.336	83	96.969
fig|536231.75.peg.52	142	173	58	73	87	89
fig|536231.75.peg.53	222	301	401	164	227	392
fig|536231.75.peg.54	180	255	278	143	171	194
fig|536231.75.peg.55	50	99	67	94	93	80
fig|536231.75.peg.56	68	80	41	98	118	140
fig|536231.75.peg.57	51	74	19	84	152	131
fig|536231.75.peg.58	159	220	74	269	209	333
fig|536231.75.peg.59	177	129	148	83	95	212
fig|536231.75.peg.60	16	8	26	130	331	255
fig|536231.75.peg.61	6	18	8	41	61	55
fig|536231.75.peg.62	1192	809	1571	2782	3040	5822
fig|536231.75.peg.63	587	494	828	1058	1063	1712
fig|536231.75.peg.64	9	2	6	31	16	21
fig|536231.75.peg.65	8	14	7	29	68	46
fig|536231.75.peg.66	38	14	44	37	64	113
fig|536231.75.peg.67	18	5	13	0	0	24
fig|536231.75.peg.68	98	39	29	111	142	91
fig|536231.75.peg.69	72	15	39	18	24	55
fig|536231.75.peg.70	31	29	21	21	47	49
fig|536231.75.peg.71	22	15	28	30	50	28
fig|536231.75.peg.72	20	7	18	21	44	28
fig|536231.75.peg.73	25	36	12	87	35	61
fig|536231.75.peg.74	11560	12822	17143	5848	5073	7646
fig|536231.75.peg.75	1731	1795	1562	1420	1382	2889
fig|536231.75.peg.76	1443	1711	2038	898	911	1531
fig|536231.75.peg.77	11764	10169	7649	9402	8234	13776
fig|536231.75.peg.78	0	15	16	0	0	0
fig|536231.75.peg.79	597	763	1000	104	211	480
fig|536231.75.peg.80	2264	2671	3744	3902	2923	5496
fig|536231.75.peg.81	1486.45	1100.603	686.087	491.196	398.798	838.117
fig|536231.75.peg.82	23140.55	13947.267	14917.913	33436.804	26816.202	43235.883
fig|536231.75.peg.83	4129	9197	517	815	917.065	1611
fig|536231.75.peg.84	2622	6578.996	528	248	399.935	867.996
fig|536231.75.peg.85	8800.013	8872	2617	3479	3236	4825
fig|536231.75.peg.86	5207	3052	3474	4889	4752	6760
fig|536231.75.peg.87	173	113.485	122	54	108	186
fig|536231.75.peg.88	337	160.515	199	384	322	651.556
fig|536231.75.peg.89	1827	1651	2072	418	516	765.444
fig|536231.75.peg.90	3628	2044	2427	3279	3563	6653
fig|536231.75.peg.91	1502	845	834	1560	1406	2334
fig|536231.75.peg.92	17	2	5	22	13	19
fig|536231.75.peg.93	109.048	65.597	104	94	146.248	73.529
fig|536231.75.peg.94	96633.252	105776.471	46471.918	2333	2413.752	4993.471
fig|536231.75.peg.95	1186	691	396	921	747	1146
fig|536231.75.peg.96	1628.052	794	698	1013	1051	1241
fig|536231.75.peg.97	287.735	125.63	117	361	314.42	408.03
fig|536231.75.peg.98	1705.522	913.37	1357	2606	2398.58	3728.97
fig|536231.75.peg.99	1186	551	714	2029	1586	2569
fig|536231.75.peg.100	351	180	337	972	715	907
fig|536231.75.peg.101	164	128	184	185	178	367
fig|536231.75.peg.102	21343.224	11187.568	6464.297	484.355	790.944	1395.144
