"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"fig|536231.75.peg.1"	5400.8531256941	-0.430642888094447	0.234477221779683	0	1	1
"fig|536231.75.peg.2"	4964.95764076335	-0.609938441910408	0.194355029303382	0	1	1
"fig|536231.75.peg.3"	852.94072936645	0.154923910439588	0.263605543432349	0	1	1
"fig|536231.75.peg.4"	7164.65483985215	0.289326115396594	0.195961523418978	0	1	1
"fig|536231.75.peg.5"	10571.7784155549	0.146481759256552	0.212850744643525	0	1	1
"fig|536231.75.peg.6"	20279.9568366328	0.682489560707795	0.187608983172575	0	1	1
"fig|536231.75.peg.7"	1653.14540198125	0.503645587533285	0.179859497481328	0	1	1
"fig|536231.75.peg.8"	1223.83561072132	-0.129203573842769	0.280111981976552	0	1	1
"fig|536231.75.peg.9"	4801.2196698195	-0.743549430042099	0.280680100955564	0	1	1
"fig|536231.75.peg.10"	35.7859162013803	-1.55934951956238	0.720828565543552	-0.775981344663541	0.437760000889824	1
"fig|536231.75.peg.11"	12030.3506835112	0.477842227994059	0.292105907305743	0	1	1
"fig|536231.75.peg.12"	2041.94797345828	1.34194428159674	0.349071366129419	0.979582729423778	0.327292133445544	1
"fig|536231.75.peg.13"	24854.8403891907	1.82720875675636	0.390442004167296	2.11864693841168	0.0341203157532532	0.193300868325961
"fig|536231.75.peg.14"	0	NA	NA	NA	NA	NA
"fig|536231.75.peg.15"	5348.478471203	0.929227642456099	0.426433930472384	0	1	1
"fig|536231.75.peg.16"	2776.59311774021	0.337540190869568	0.412113140308404	0	1	1
"fig|536231.75.peg.17"	1879.08884645886	0.372803984557875	0.35485174188086	0	1	1
"fig|536231.75.peg.18"	792.663541888212	-0.105582787613569	0.406384506262515	0	1	1
"fig|536231.75.peg.19"	2133.60573053693	-0.574409003274033	0.244428914399404	0	1	1
"fig|536231.75.peg.20"	1339.83369505381	0.87485639728863	0.234934352581515	0	1	1
"fig|536231.75.peg.21"	56.8959517233526	1.24082182209585	0.668443311647112	0.360272618335346	0.71864327379676	1
"fig|536231.75.peg.22"	578.263256039499	0.0697614142831133	0.243478147035004	0	1	1
"fig|536231.75.peg.23"	1560.30717793827	0.00865156596273225	0.181082405213675	0	1	1
"fig|536231.75.peg.24"	24598.9894835876	-1.32940691580085	0.299398682447037	-1.10022834138263	0.271232645052603	0.974997348852807
"fig|536231.75.peg.25"	6.55219312558408	6.1105750414949	2.1901849761657	2.3333988211543	0.0196272230909219	0.122017974176221
"fig|536231.75.peg.26"	17.0156202842555	6.51291497514183	1.55904883982383	3.53607586518251	0.000406118047982092	0.00417633293899559
"fig|536231.75.peg.27"	18.0046532548534	0.838157653494426	0.857589947825873	0	1	1
"fig|536231.75.peg.28"	11.2854645660738	3.04068135754643	1.16340516586444	1.75405904788995	0.0794203898374483	0.384245158741321
"fig|536231.75.peg.29"	12.2846855881168	2.96897533807536	1.20774880343293	1.63028548029085	0.103041174854128	0.477255703828356
"fig|536231.75.peg.30"	90.0592568114206	3.68101721209636	0.627077825428051	4.2754138376146	1.90782575824501e-05	0.00024759067827448
"fig|536231.75.peg.31"	101.160277912843	2.78807434523267	0.423896521945357	4.21818593138437	2.46275704355005e-05	0.00031359621037305
"fig|536231.75.peg.32"	9.8941637363465	6.70520058891081	1.85409497318273	3.0770810942426	0.00209038423293449	0.0178760857982735
"fig|536231.75.peg.33"	25.0875862667593	4.16344462177206	0.8715082430438	3.62985048853184	0.000283585431771712	0.00302342263479448
"fig|536231.75.peg.34"	815.207932489336	4.76706136312774	0.340400424429633	11.0665589487432	1.82265621845677e-28	1.80576330716376e-26
"fig|536231.75.peg.35"	0	NA	NA	NA	NA	NA
"fig|536231.75.peg.36"	192.020148086571	4.52827080103921	0.686376653675267	5.14042950346105	2.74111155882012e-07	4.75828852646466e-06
"fig|536231.75.peg.37"	128.1397627931	5.61977240879326	0.807405252392058	5.72175174128047	1.05431291335662e-08	2.17391830155056e-07
"fig|536231.75.peg.38"	5283.68335724247	2.12840482717601	0.225246345129172	5.00964766610933	5.45297733921981e-07	8.93144917415761e-06
"fig|536231.75.peg.39"	2150.30635922282	1.26583592314902	0.236434865615648	1.12435161564187	0.260863889492277	0.95272870321374
"fig|536231.75.peg.40"	130.571912268224	1.56434608529522	0.614303821923865	0.918675849236633	0.358265145590362	1
"fig|536231.75.peg.41"	1336.32452190946	2.28567080048287	0.444440992880302	2.89278176648554	0.00381846510762787	0.0302941509124695
"fig|536231.75.peg.42"	17.1751904908306	2.88067148869799	0.974179999218794	1.9305174507854	0.0535427550997674	0.278477171850519
"fig|536231.75.peg.43"	204.05663966414	0.659829244578627	0.424935649280503	0	1	1
"fig|536231.75.peg.44"	1770.98651499146	2.22833424035107	0.320442033421523	3.83324942497562	0.000126461611378193	0.00143889934290818
"fig|536231.75.peg.45"	2985.88045011174	2.24203946374851	0.271299009136881	4.57812016232559	4.69173168737158e-06	6.71049792750118e-05
"fig|536231.75.peg.46"	8147.13578459112	-1.94939621886848	0.233725652786146	-4.06201119796275	4.86517427534498e-05	0.000589920534520935
"fig|536231.75.peg.47"	14873.0479538557	-2.6968700468987	0.234884190246523	-7.22428378477813	5.03749643238279e-13	1.49359930717802e-11
"fig|536231.75.peg.48"	1892.10016448102	-0.266913014524659	0.214134220099209	0	1	1
"fig|536231.75.peg.49"	3265.48315179391	0.421867136866455	0.258506353576913	0	1	1
"fig|536231.75.peg.50"	107.895833688884	1.55696463100968	0.451260331908946	1.23424239097989	0.217112595603864	0.829643803709215
"fig|536231.75.peg.51"	64.1677516946238	0.961663536086113	0.507162094798916	0	1	1
"fig|536231.75.peg.52"	102.823984634876	-0.609430325930781	0.482230091148874	0	1	1
"fig|536231.75.peg.53"	286.143038610699	-0.450455142632755	0.410176372713414	0	1	1
"fig|536231.75.peg.54"	208.794211807302	-0.616932879548875	0.391256245810934	0	1	1
"fig|536231.75.peg.55"	82.673957328864	0.237529979403904	0.523611067724717	0	1	1
"fig|536231.75.peg.56"	89.3627033493822	0.846284579353912	0.42511010531586	0	1	1
"fig|536231.75.peg.57"	84.2176554476473	1.32515745645639	0.57250653509351	0.567954139428777	0.5700661086302	1
"fig|536231.75.peg.58"	205.575124826526	0.772039932267143	0.411506721810192	0	1	1
"fig|536231.75.peg.59"	136.632704815827	-0.391145204247875	0.375948109623028	0	1	1
"fig|536231.75.peg.60"	126.693783418747	3.73379891920689	0.600646309231719	4.55142881457752	5.32828257515315e-06	7.54128356107042e-05
"fig|536231.75.peg.61"	31.4297252182499	2.20918514673273	0.746613308317359	1.61956013007305	0.105326799984351	0.485597392374046
"fig|536231.75.peg.62"	2424.16049453074	1.51262358883064	0.335753421917074	1.52678589514794	0.126814260075694	0.556284583614976
"fig|536231.75.peg.63"	942.000323200854	0.841601015782019	0.323603126184998	0	1	1
"fig|536231.75.peg.64"	14.1645817549941	1.98530200585537	0.996241953955792	0.989018783984174	0.322653951415318	1
"fig|536231.75.peg.65"	28.8380471860946	2.25614633587706	0.767634816514636	1.6363853082908	0.101758972034153	0.47293471899626
"fig|536231.75.peg.66"	49.4121792618843	0.967216363791911	0.655568526677361	0	1	1
"fig|536231.75.peg.67"	8.95887364088462	-1.04323344871748	1.81167480413611	-0.023863801946562	0.980961247916663	1
"fig|536231.75.peg.68"	85.1351336018208	1.12819388658482	0.561405761839453	0.228344444069822	0.81937847569422	1
"fig|536231.75.peg.69"	35.2883471422545	-0.511690474710736	0.731192123589799	0	1	1
"fig|536231.75.peg.70"	32.4436318908078	0.447994278299814	0.637797522154838	0	1	1
"fig|536231.75.peg.71"	29.866068740647	0.69043556956419	0.735016141175424	0	1	1
"fig|536231.75.peg.72"	23.3489854977943	1.01631018665331	0.818224351782835	0.0199336363159727	0.984096312571121	1
"fig|536231.75.peg.73"	42.3777706621322	1.29375476103417	0.67838578282801	0.433020220160837	0.665000080222897	1
"fig|536231.75.peg.74"	10325.4370399058	-1.30867957685856	0.297505832771561	-1.03755806729199	0.299475848663365	1
"fig|536231.75.peg.75"	1749.33565684163	-0.00168521613652832	0.233692551437101	0	1	1
"fig|536231.75.peg.76"	1440.75346795963	-0.806052264872617	0.293953576337124	0	1	1
"fig|536231.75.peg.77"	9961.19018919981	-0.00760974955113494	0.172803684176407	0	1	1
"fig|536231.75.peg.78"	5.85962811055938	-6.03192465248354	2.58811065921461	-1.9442463306459	0.0518657532114094	0.270775502057506
"fig|536231.75.peg.79"	537.919211727317	-1.84080663155823	0.453090291921535	-1.85571539834236	0.0634941348073571	0.318335723621576
"fig|536231.75.peg.80"	3488.00057385108	0.327619592217716	0.32788065228482	0	1	1
"fig|536231.75.peg.81"	809.728536188192	-1.0166280956355	0.264115756890837	-0.0629576055258521	0.949800263203184	1
"fig|536231.75.peg.82"	25248.6086740292	0.91634476947531	0.211184610654736	0	1	1
"fig|536231.75.peg.83"	2809.4124881984	-2.14029529648168	0.955339809242623	-1.19360177964916	0.232633777515566	0.876864575555081
"fig|536231.75.peg.84"	1849.69946667952	-2.8406634336286	0.888611055603146	-2.07139380274675	0.038322009571614	0.212946652366479
