patricID	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.1089	1698	1207	774	2630	1528	1868
fig|536231.75.peg.1090	1245	1065	1179	758	540	489
fig|536231.75.peg.1091	0	0	1	0	0	0
fig|536231.75.peg.1092	1097	908	1326	591	419	340
fig|536231.75.peg.1093	195.062	114	226	146	103	86
fig|536231.75.peg.1094	64.938	67	48	334	79	43
fig|536231.75.peg.1095	4	2	2	0	0	0
fig|536231.75.peg.1096	114	53	95	282	103	56
fig|536231.75.peg.1097	1549	1360	1278	2565	1497	1372
fig|536231.75.peg.1098	95	94.791	106	255	109	182
fig|536231.75.peg.1099	39.651	51.831	48.605	39	57	31
fig|536231.75.peg.1100	144.349	82.378	141.395	95	60	45
fig|536231.75.peg.1101	1097	911	940	1708	1310	704
fig|536231.75.peg.1102	1293	1071	1284	1193	935	1134
fig|536231.75.peg.1103	217	122	204	225	220	52
fig|536231.75.peg.1104	953	818	838	697	627	350
fig|536231.75.peg.1105	576	362	402	756	703	546
fig|536231.75.peg.1106	1	0	0	2	0	0
fig|536231.75.peg.1107	0	0	0	1	0	0
fig|536231.75.peg.1108	178.49	136.653	131.923	165.347	36	97.579
fig|536231.75.peg.1109	0	0	0	0	0	0
fig|536231.75.peg.1110	67	110	92.911	114.839	61	133
fig|536231.75.peg.1111	17	4	16.089	38.161	0	21
fig|536231.75.peg.1112	603	434	459	1335	602	666
fig|536231.75.peg.1113	155	103	182	91	81	93
fig|536231.75.peg.1114	383	429	427	373	478	338
fig|536231.75.peg.1115	109	70	134	56	148	98
fig|536231.75.peg.1116	835	628	705	1725	843	774
fig|536231.75.peg.1117	114	38	93	162	54	75
fig|536231.75.peg.1118	67053	42654	47974	67954	26470	25957
fig|536231.75.peg.1119	32512.966	27127	30456	38469	16709	17714
fig|536231.75.peg.1120	23017.43	16184	19073.4	13996.785	5433	5434
fig|536231.75.peg.1121	148.555	123.637	172.6	744.215	46	37
fig|536231.75.peg.1122	1250	744.363	1187	7760	607	996
fig|536231.75.peg.1123	686	495	717	4837	750	709
fig|536231.75.peg.1124	84	51	115	389	65	99
fig|536231.75.peg.1125	323	266	303	851	203	187
fig|536231.75.peg.1126	221	142	167	682	99	177
fig|536231.75.peg.1127	0	0	0	0	0	0
fig|536231.75.peg.1128	45	21	18	25	27	8
fig|536231.75.peg.1129	3872	2718	2559	7332	3002	3739
fig|536231.75.peg.1130	24	26	26	22	45	43
fig|536231.75.peg.1131	0	0	0	0	0	0
fig|536231.75.peg.1132	82	48	50	52	63	53
fig|536231.75.peg.1133	386	331	326	686	365	260
fig|536231.75.peg.1134	306	162	274	383	371	161
fig|536231.75.peg.1135	144	71	116	100	141	43
fig|536231.75.peg.1136	457	398	507	302	276	307
fig|536231.75.peg.1137	1992	1858	1798	1845	1308	1261
fig|536231.75.peg.1138	102	93	95	0	5	0
fig|536231.75.peg.1139	632	618	732	149	348	98
fig|536231.75.peg.1140	482	366	480	964	780	366
fig|536231.75.peg.1141	558	412	477	677	237	365
fig|536231.75.peg.1142	520	420	406	523	285	377
fig|536231.75.peg.1143	10	12	11	21	53	22
fig|536231.75.peg.1144	52	28	39	44	93	8
fig|536231.75.peg.1145	1189	682	869	1025	1239	995
fig|536231.75.peg.1146	1410	1019	1166	1833	1884	1053
fig|536231.75.peg.1147	548	354	447	774	710	586
fig|536231.75.peg.1148	283	213	246	385	466	544
fig|536231.75.peg.1149	19	9	9	145	21	36
fig|536231.75.peg.1150	34	20	28	58	84	0
fig|536231.75.peg.1151	48	38	47	90	31	54
fig|536231.75.peg.1152	68	50	92	101	170	55
fig|536231.75.peg.1153	139	118	106	131	120	74
fig|536231.75.peg.1154	100	75	105	277	266	152
fig|536231.75.peg.1155	89	41	57	76	62	29
fig|536231.75.peg.1156	1390	948	1094	2036	1578	828
fig|536231.75.peg.1157	90	73	89	1101	291	220
fig|536231.75.peg.1158	205	142	181	66	108	83
fig|536231.75.peg.1159	244	140	124	300	112	63
fig|536231.75.peg.1160	210	161	194	214	296	265
fig|536231.75.peg.1161	124	119	125	134	109	174
fig|536231.75.peg.1162	15898	13947	16167	65170	23090	30037
fig|536231.75.peg.1163	102	92	84	141	43	92
fig|536231.75.peg.1164	156	122	136	71	71	71
fig|536231.75.peg.1165	0	0	0	9	0	0
fig|536231.75.peg.1166	13	20	17	77	54	21
fig|536231.75.peg.1167	424	344	380	573	464	576
fig|536231.75.peg.1168	1120	890	993	2442	1032	1205
fig|536231.75.peg.1169	82	59	61	256	130	82
fig|536231.75.peg.1170	89	38	92	274	139	116
fig|536231.75.peg.1171	305	186	258	2176	528	605
fig|536231.75.peg.1172	54	31	32	401	95	107
fig|536231.75.peg.1173	298	182	318	1689	567	806
fig|536231.75.peg.1174	137	119	161	541	196	341
fig|536231.75.peg.1175	423	337	351	753	492	476
fig|536231.75.peg.1176	2371	2063	2093	3770	2769	3407
fig|536231.75.peg.1177	5682	4092	3846	1526	2801	2619
fig|536231.75.peg.1178	251	206	249	343	186	208
fig|536231.75.peg.1179	15	6	7	60	0	7
fig|536231.75.peg.1180	74	45	83	584	71	91
fig|536231.75.peg.1181	50	34	20	170	42	55
fig|536231.75.peg.1182	351	243	291	744	339	341
fig|536231.75.peg.1183	39	7	44	111	122	49
fig|536231.75.peg.1184	32	13	20	16	0	12
fig|536231.75.peg.1185	116	162	140	137	88	109
fig|536231.75.peg.1186	275	188	230	798	681	383
fig|536231.75.peg.1187	4	0	0	6	33	4
fig|536231.75.peg.1188	53	24	30	17	47	0
fig|536231.75.peg.1189	15	6	6	21	12	0
fig|536231.75.peg.1190	0	0	0	0	0	0
fig|536231.75.peg.1191	0	0	0	0	20	11
fig|536231.75.peg.1192	74	101	83	175	82	45
fig|536231.75.peg.1193	160	121	188	1069	372	215
fig|536231.75.peg.1194	68	19	52	241	117	17
fig|536231.75.peg.1195	109	81	94	567	59	145
fig|536231.75.peg.1196	332	129	181	407	142	124
fig|536231.75.peg.1197	213	123	150	322	131	0
fig|536231.75.peg.1198	37	24	33	36	18	1
fig|536231.75.peg.1199	53	47	73	36	26	40
fig|536231.75.peg.1200	4	8	9	0	0	9
fig|536231.75.peg.1201	0	0	4	5	0	15
fig|536231.75.peg.1202	18	9	16	87	77	13
fig|536231.75.peg.1203	607	501	564	1062	708	793
fig|536231.75.peg.1204	876	788	915	1339	614	673
fig|536231.75.peg.1205	492	334	365	393	224	201
fig|536231.75.peg.1206	85	74	57	122	25	41
fig|536231.75.peg.1207	350	307	283	287	272	163
fig|536231.75.peg.1208	70.348	37.926	59.604	20	3.503	18
fig|536231.75.peg.1209	260.652	186.074	189.396	156	85.497	97
fig|536231.75.peg.1210	0	0	0	0	0	0
fig|536231.75.peg.1211	0	0	0	0	0	0
fig|536231.75.peg.1212	0	0	0	0	0	0
fig|536231.75.peg.1213	1	4	2	11	22	0
fig|536231.75.peg.1214	2	7	3	1	80	0
fig|536231.75.peg.1215	23	7	19	65.994	7	0
fig|536231.75.peg.1216	44	41	22	172.006	20	107
fig|536231.75.peg.1217	107	72	74	270	143	49
fig|536231.75.peg.1218	13	1	1	12	21	0
fig|536231.75.peg.1219	21	10	18	26	0	0
fig|536231.75.peg.1220	542	428	314	811	288	355
fig|536231.75.peg.1221	0	0	0	0	0	0
fig|536231.75.peg.1222	0	0	0	0	0	0
fig|536231.75.peg.1223	21	8	19	62	99	34
fig|536231.75.peg.1224	47	39	36	37	8	15
fig|536231.75.peg.1225	26	5	19	45.285	0	0
fig|536231.75.peg.1226	216	97	143	270.715	144	44
fig|536231.75.peg.1227	0	0	0	0	0	0
fig|536231.75.peg.1228	19	14	23	19	37	25
fig|536231.75.peg.1229	7	4	10	0	60	0
fig|536231.75.peg.1230	30	29	48	35	74	12
fig|536231.75.peg.1231	0	4	9	11	57	0
fig|536231.75.peg.1232	6	8	15	16	0	0
fig|536231.75.peg.1233	275	240	160	128	107	62
fig|536231.75.peg.1234	154	114	72	22	58	13
fig|536231.75.peg.1235	3	0	0	4	0	0
fig|536231.75.peg.1236	181	81.372	107	353	98	87
fig|536231.75.peg.1237	153	136.628	125	249	102	132
fig|536231.75.peg.1238	159	101	133	141	225	149
fig|536231.75.peg.1239	1102	848	1198	550	1115	858
fig|536231.75.peg.1240	685	486	683	394	492	328
fig|536231.75.peg.1241	667	511	675	413	393	480
fig|536231.75.peg.1242	19870	16299	19918	769	2674	2445
fig|536231.75.peg.1243	1959	1461	2206	675	577	473
fig|536231.75.peg.1244	892	650	854	275	282	169
fig|536231.75.peg.1245	1959	1526	2295	144	247	254
fig|536231.75.peg.1246	4672	4119	5626	771	1445	1316
fig|536231.75.peg.1247	840	689	1207	152	247	264
fig|536231.75.peg.1248	1281	1031	1679	316	388	440
fig|536231.75.peg.1249	581	324	471	175	92	66
fig|536231.75.peg.1250	0	0	0	0	0	0
fig|536231.75.peg.1251	933	806	840	1111	1684	2094
fig|536231.75.peg.1252	180	126	200	358	302	298
fig|536231.75.peg.1253	140	62	124	197	139	75
fig|536231.75.peg.1254	496.825	326.819	451.533	1052.006	282.802	500
fig|536231.75.peg.1255	39.175	23.181	22.467	236.749	42.198	22
fig|536231.75.peg.1256	172	101	117	519.246	83	168
fig|536231.75.peg.1257	425	331	356	997	749	816
fig|536231.75.peg.1258	127	84	98.591	148	197	133
fig|536231.75.peg.1259	2	0	3.409	0	0	0
fig|536231.75.peg.1260	738	625	878	1163	568	722
fig|536231.75.peg.1261	1111	822	1158	2253	784	872
fig|536231.75.peg.1262	0	0	0	1	3	0
fig|536231.75.peg.1263	409	300	365	475	242	210
fig|536231.75.peg.1264	447	339	511	556	382	304
fig|536231.75.peg.1265	108	125	164	122	62	152
fig|536231.75.peg.1266	294	166	186	1703	313	243
fig|536231.75.peg.1267	0	0	0	0	0	0
fig|536231.75.peg.1268	216	82	193	397	123	109
fig|536231.75.peg.1269	1125	843	835	879	702	698
fig|536231.75.peg.1270	1645.031	996	827	5852	405	238
fig|536231.75.peg.1271	2861.896	2569.299	2844.516	2077.106	958	1400.509
fig|536231.75.peg.1272	178.104	163.701	158.484	881.894	113	105.491
fig|536231.75.peg.1273	424	298	272	480	274	300
fig|536231.75.peg.1274	103	96	71	43	46	51
fig|536231.75.peg.1275	156	114	113	143	35	65
fig|536231.75.peg.1276	236	170	194	334	307	349
fig|536231.75.peg.1277	266	146	242	226	143	152
fig|536231.75.peg.1278	115	100	128	123	62	50
fig|536231.75.peg.1279	307	198	252	66	136	173
fig|536231.75.peg.1280	441.927	260.056	371.9	447.343	347.229	193.21
fig|536231.75.peg.1281	12.557	5.908	9.105	21	0	0
fig|536231.75.peg.1282	0	0	1.087	25.728	0	0
fig|536231.75.peg.1283	108.855	43.995	49.904	152.23	30.648	45
fig|536231.75.peg.1284	348.519	146.523	267.98	761.615	299.351	0
fig|536231.75.peg.1285	0	0	0	0	0	0
fig|536231.75.peg.1286	0	0	0	2.871	0	0
fig|536231.75.peg.1288	235.467	85.312	106.64	157.369	235.315	125.553
fig|536231.75.peg.1289	0	0	0	0	0	0
fig|536231.75.peg.1290	5	1	1	41	23	0
fig|536231.75.peg.1291	105	80	44	133	91	24
fig|536231.75.peg.1292	0	0	2	0	0	0
fig|536231.75.peg.1293	6	0	7	0	0	0
fig|536231.75.peg.1294	0	0	0	0	0	0
fig|536231.75.peg.1295	236	196	173	200	103	162
fig|536231.75.peg.1296	67	59	74	88	84	49
fig|536231.75.peg.1297	0	0	0	0	0	0
fig|536231.75.peg.1298	0	0	0	0	0	0
fig|536231.75.peg.1299	0	1	0	0	0	0
fig|536231.75.peg.1300	605	528	379	939	434	332
fig|536231.75.peg.1301	6	12	5	111	52	16
fig|536231.75.peg.1303	169	103	110	108	46	55
fig|536231.75.peg.1304	481	318	440	529	207	173
fig|536231.75.peg.1305	564	418	552	546	190	254
fig|536231.75.peg.1306	68	28	27	87	58	53
fig|536231.75.peg.1307	3614	2477	2264	8609	4254	4223
fig|536231.75.peg.1308	1629	1057	1450	1156	467	598
fig|536231.75.peg.1309	395	222	282	696	170	204
fig|536231.75.peg.1310	1542	1174	1134	2174	510	505
fig|536231.75.peg.1311	205	185	137	39	175	161
fig|536231.75.peg.1312	129	77	38	12	123	32
fig|536231.75.peg.1313	967.98	554.985	475	565	181	187
fig|536231.75.peg.1314	136.02	111.015	106	90	6	48
fig|536231.75.peg.1315	0	0	0	0	0	0
fig|536231.75.peg.1316	587	404	444	628	256	358
fig|536231.75.peg.1317	199	108	130	258	51	46
fig|536231.75.peg.1318	5598	4421	4061	5902	2145	2666
fig|536231.75.peg.1319	267	194	252	440	103	117
fig|536231.75.peg.1320	732.074	712	836	598	84	377
fig|536231.75.peg.1321	657	554	755	372	214	256
fig|536231.75.peg.1322	61	39	30	188	17	98
fig|536231.75.peg.1323	107	75	70	90	109	37
fig|536231.75.peg.1324	14	4	3	11	14	17
fig|536231.75.peg.1325	294	176	154	1484	26	46
fig|536231.75.peg.1326	4972.706	4531	5377.241	17084.186	3161	3730
fig|536231.75.peg.1327	1257	775	951.759	8597.814	1449	1220
fig|536231.75.peg.1328	53	26	32	60	59	0
fig|536231.75.peg.1329	38	21	12	2591	566	519
fig|536231.75.peg.1330	5	3	9	274	43	13
fig|536231.75.peg.1331	0	0	0	0	0	0
fig|536231.75.peg.1332	103	58	86	192	91	41
fig|536231.75.peg.1333	1616	1116	1573	6367	1320	2151
fig|536231.75.peg.1334	755	574	636	2766	538	697
fig|536231.75.peg.1335	2606	2251	2358	4670	1233	1582
fig|536231.75.peg.1336	0	0	0	0	0	0
fig|536231.75.peg.1337	4.999	2.612	7.753	85.483	0	14
fig|536231.75.peg.1338	483.001	255.388	416.247	2346.517	493	557
fig|536231.75.peg.1339	165	134	167	452	290	297
fig|536231.75.peg.1340	111.388	95.637	124.247	379.038	189.277	130.166
fig|536231.75.peg.1341	8	5	10	60	18	42
fig|536231.75.peg.1342	4	4	0	4	23	0
fig|536231.75.peg.1343	375.612	283.363	301.753	861.962	558.723	730.834
fig|536231.75.peg.1344	23	2	8	53	18	0
fig|536231.75.peg.1345	0	0	0	0	0	0
fig|536231.75.peg.1346	4	4	6	24	73	0
fig|536231.75.peg.1347	0	0	0	4	0	0
fig|536231.75.peg.1348	268	203	130	2523	110	226
fig|536231.75.peg.1349	296	221	196	323	201	184
fig|536231.75.peg.1350	110	83	124	34	65	15
fig|536231.75.peg.1351	0	0	0	0	0	0
fig|536231.75.peg.1352	828	531	587	711	407	350
fig|536231.75.peg.1353	8	4	2	0	0	0
fig|536231.75.peg.1354	385	266	234	71	129	84
fig|536231.75.peg.1355	106	55	88	29	96	41
fig|536231.75.peg.1356	63	41	24	47	55	24
fig|536231.75.peg.1357	93	60	79	62	126	0
fig|536231.75.peg.1358	24058	19523	17990	11794	16312	13302
fig|536231.75.peg.1359	5443.752	4934	4676	5045	6514	5530
fig|536231.75.peg.1360	4359	3093	3598	4197	3958	3274
fig|536231.75.peg.1361	537	407	505	421	474	461
fig|536231.75.peg.1362	2278	1709	1957	1204	1039	1133
fig|536231.75.peg.1363	400	352	439	303	295	301
fig|536231.75.peg.1364	980	831	975	692	573	520
fig|536231.75.peg.1365	784	688	764	471	514	257
fig|536231.75.peg.1366	742	549	512	586	524	527
fig|536231.75.peg.1367	186	75	95	272	83	60
fig|536231.75.peg.1368	467	362	355	385	425	340
fig|536231.75.peg.1369	598	558	555	773	452	360
fig|536231.75.peg.1370	239	200	244	168	447	265
fig|536231.75.peg.1371	161	97	168	542	86	66
fig|536231.75.peg.1372	300	228	316	363	256	245
fig|536231.75.peg.1373	354	264	381	776	396	476
fig|536231.75.peg.1374	347	217	318	354	214	267
fig|536231.75.peg.1375	10	1	0	11	12	0
fig|536231.75.peg.1376	476	363	430	597	655	586
fig|536231.75.peg.1377	1117	768	831	1485	2386	1745
fig|536231.75.peg.1378	0	0	0	0	0	0
fig|536231.75.peg.1379	0	0	0	0	0	0
fig|536231.75.peg.1380	14	0	10	16	30	52
fig|536231.75.peg.1381	3	0	3	15	22	13
fig|536231.75.peg.1382	9.316	0	1.182	9.434	0	0
fig|536231.75.peg.1383	42.063	79.477	68.02	204.347	424.026	363
fig|536231.75.peg.1384	3	2	1	33	0	12
fig|536231.75.peg.1385	3	0	0	0	0	0
fig|536231.75.peg.1386	32	7	18	50	27	15
fig|536231.75.peg.1387	0	0	0	0	0	0
fig|536231.75.peg.1388	0	0	0	0	0	0
fig|536231.75.peg.1389	342	251	231	1054	694	794
fig|536231.75.peg.1390	176	117	129	3035	872	735
fig|536231.75.peg.1391	0	3	0	5	0	0
fig|536231.75.peg.1392	2	0	0	5	26	39
fig|536231.75.peg.1393	0	0	0	0	0	6
fig|536231.75.peg.1394	0	0	0	0	0	0
fig|536231.75.peg.1395	0	0	0	8	10	0
fig|536231.75.peg.1396	911	417	591	2409	428	232
fig|536231.75.peg.1397	430	380	235	663	245	203
fig|536231.75.peg.1398	0	0	0	0	0	0
fig|536231.75.peg.1400	80	45	49	233	110	108
fig|536231.75.peg.1401	9	17	24	24	28	18
fig|536231.75.peg.1402	68	70	90	256	132	142
fig|536231.75.peg.1403	48	48	53	427	142	234
fig|536231.75.peg.1404	156	96	83	251	66	136
fig|536231.75.peg.1405	0	0	0	0	0	0
fig|536231.75.peg.1406	0	0	4	62	99	127
fig|536231.75.peg.1407	2	0	0	15	41	42
fig|536231.75.peg.1408	577	456	352	629	492	219
fig|536231.75.peg.1409	2	2	3	85	81	96
fig|536231.75.peg.1410	2	1	0	5	23	68
fig|536231.75.peg.1411	4	2	0	97	219	164
fig|536231.75.peg.1412	0	0	0	0	0	0
fig|536231.75.peg.1413	1231	1033	797	3076	1596	2020
fig|536231.75.peg.1414	25	16	7	57	23	29
fig|536231.75.peg.1415	3	8	2	57	11	0
fig|536231.75.peg.1416	9	10	4	158	21	55
fig|536231.75.peg.1417	0	0	1	9	72	21
fig|536231.75.peg.1418	89	79	99	360	143	190
fig|536231.75.peg.1419	448	249	317	2107	709	550
fig|536231.75.peg.1420	0	1	0	0	0	0
fig|536231.75.peg.1421	8	3	2	48	36	0
fig|536231.75.peg.1422	2	7	1	13	93	0
fig|536231.75.peg.1423	10	1	9	172	38	3
fig|536231.75.peg.1424	0	0	0	0	0	0
fig|536231.75.peg.1425	43	26	36	49	155	44
fig|536231.75.peg.1426	282	147	169	2406	319	227
fig|536231.75.peg.1428	15	5	22	49	65	0
fig|536231.75.peg.1429	0	0	0	0	0	0
fig|536231.75.peg.1430	37	41	32	88	111	45
fig|536231.75.peg.1431	81	60	65	255	25	75
fig|536231.75.peg.1432	146	156	151	66	87	124
fig|536231.75.peg.1433	212.211	202	228.548	48	156.083	25
fig|536231.75.peg.1434	19.789	20	18.452	12	40.917	0
fig|536231.75.peg.1435	13	5	19	20	0	0
fig|536231.75.peg.1436	128	68	113	75	79	0
fig|536231.75.peg.1437	2	4	3	15	17	0
fig|536231.75.peg.1438	0	0	0	0	21	0
fig|536231.75.peg.1439	3	0	0	0	0	0
fig|536231.75.peg.1440	2	0	0	0	0	0
fig|536231.75.peg.1441	0	0	0	0	14	0
fig|536231.75.peg.1442	404.015	275	260	609	382	348
fig|536231.75.peg.1443	132	87	57	264	70	44
fig|536231.75.peg.1444	0	0	0	0	0	0
fig|536231.75.peg.1445	55	21	31	146	115	75
fig|536231.75.peg.1446	1	0	4	0	0	0
fig|536231.75.peg.1447	169	115	140	123	165	68
fig|536231.75.peg.1448	24	30	23	5	12	0
fig|536231.75.peg.1449	153	124	195	126	111	133
fig|536231.75.peg.1450	385	333	460	445	230	176
fig|536231.75.peg.1451	467	295	193	787	165	98
fig|536231.75.peg.1452	1042	905	1042	910	331	645
fig|536231.75.peg.1453	1151	875	1087	4397	764	706
fig|536231.75.peg.1454	1	1	1	0	0	0
fig|536231.75.peg.1455	3301	2396	2842	4036	2590	2543
fig|536231.75.peg.1456	85.376	45	46	37	0	0
fig|536231.75.peg.1457	640.434	460	526.424	1081	653	416.042
fig|536231.75.peg.1458	97.024	41	82.07	55	0	32.958
fig|536231.75.peg.1459	282.165	237	327.506	430	120	447
fig|536231.75.peg.1460	155	177	227	192	79	59
fig|536231.75.peg.1461	357	236	348	1510	541	391
fig|536231.75.peg.1462	179	160	270	186	86	65
fig|536231.75.peg.1463	56	42.928	41.877	89	14	66
fig|536231.75.peg.1464	309	222.072	279.123	1118	207	223
fig|536231.75.peg.1465	8	10	1	2	0	0
fig|536231.75.peg.1466	35	34	30	127	13	48
fig|536231.75.peg.1467	703	432	483	824	527	324
fig|536231.75.peg.1468	2513	2069	2003	5478	2859	2596
fig|536231.75.peg.1469	602	382	317	6685	244	447
fig|536231.75.peg.1470	2770	1918	2036	2374	811	1070
fig|536231.75.peg.1471	2427	1758	2059	5101	1788	1927
fig|536231.75.peg.1472	1286	906	1253	3226	1089	993
fig|536231.75.peg.1473	454	345	434	3543	633	681
fig|536231.75.peg.1474	2239	1923	2028	5916	2606	3718
fig|536231.75.peg.1475	510	158	210	8973	11623	11154
fig|536231.75.peg.1476	4225	3270	3906	9081.312	2080	3836
fig|536231.75.peg.1477	11374	8568	11041	37459.688	4361	5769
fig|536231.75.peg.1478	13246	9371	11354	43145	7750	11484
fig|536231.75.peg.1479	303.785	194	220.092	46	294	171
fig|536231.75.peg.1480	571.215	285	465.908	128	474	139
fig|536231.75.peg.1481	10	7	9	70	34	0
fig|536231.75.peg.1482	986	807	864	2728	882	796
fig|536231.75.peg.1483	2029.343	1460	1706.325	3458	1341	1564
fig|536231.75.peg.1484	272.274	161	196.318	297	109	176
fig|536231.75.peg.1485	849.383	546	761.356	840	327	444
fig|536231.75.peg.1486	757	476	643	968	572	312
fig|536231.75.peg.1487	1671	1380	1499	4579	1281	1533
fig|536231.75.peg.1488	536	359	536	1216	816	377
fig|536231.75.peg.1489	1499	1314	1367	1547	662	931
fig|536231.75.peg.1490	2507	1774	2407	2600	1412	1431
fig|536231.75.peg.1491	860	590	839	971	628	692
fig|536231.75.peg.1492	174	124	203	355	103	138
fig|536231.75.peg.1493	417	281	380	991	348	376
fig|536231.75.peg.1494	0	0	1	2	0	0
fig|536231.75.peg.1495	156	110	90	3239	724	651
fig|536231.75.peg.1496	1	2	0	13	79	65
fig|536231.75.peg.1497	0	0	0	0	0	0
fig|536231.75.peg.1498	0	0	0	0	0	0
fig|536231.75.peg.1499	0	7	2	15	165	75
fig|536231.75.peg.1500	0	0	0	0	0	15
fig|536231.75.peg.1501	0	0	0	0	29	17
fig|536231.75.peg.1502	0	0	0	9	63	1
fig|536231.75.peg.1503	10602.998	5713.52	4740.998	202259.891	32805	26534
fig|536231.75.peg.1504	67.002	51.48	56.002	2060.109	269	225
fig|536231.75.peg.1505	0	1	0	2	0	3
fig|536231.75.peg.1506	1	0	0	0	0	0
fig|536231.75.peg.1507	9	6	1	80	103	197
fig|536231.75.peg.1508	0	5	2	26	10	25
fig|536231.75.peg.1509	1	1	1	25	50	14
fig|536231.75.peg.1510	1	0	4	92	20	64
fig|536231.75.peg.1511	0	0	0	0	0	0
fig|536231.75.peg.1512	924	704	564	1190	488	542
fig|536231.75.peg.1513	39	30	23	445.854	75	21
fig|536231.75.peg.1514	8876.48	6264.301	4189.705	171160.159	73761.391	59231
fig|536231.75.peg.1515	1671.52	1332.699	998.295	6520.988	4105.609	2682
fig|536231.75.peg.1516	541	346	321	1080	213	287
fig|536231.75.peg.1517	0	0	2	114	265	272
fig|536231.75.peg.1518	0	0	0	58	199	42
fig|536231.75.peg.1519	120	79	51	794	46	38
fig|536231.75.peg.1520	10	2	4	114	538	252
fig|536231.75.peg.1521	0	0	0	0	0	0
fig|536231.75.peg.1522	1	0	0	0	11	44
fig|536231.75.peg.1523	0	0	3	30	162	66
fig|536231.75.peg.1524	0	0	0	5	0	0
fig|536231.75.peg.1525	669	534	522	1026	583	521
fig|536231.75.peg.1526	0	1	1	34	39	40
fig|536231.75.peg.1527	0	0	0	0	0	1
fig|536231.75.peg.1528	0	0	0	1.917	0	10
fig|536231.75.peg.1529	0	0	2	1.083	0	0
fig|536231.75.peg.1530	0	0	2	120	58	0
fig|536231.75.peg.1531	6	1	6	85	7	35
fig|536231.75.peg.1532	9	3	0	154.85	388.481	243.9
fig|536231.75.peg.1533	0	0	0	85.15	276.519	286.1
fig|536231.75.peg.1534	0	0	0	0	29	0
fig|536231.75.peg.1535	1294	988	990	1956	1461	1912
fig|536231.75.peg.1536	1268	985	1102	2888.348	1067	1366
fig|536231.75.peg.1537	15	16	12	89.652	19	25
fig|536231.75.peg.1538	232	133.106	155	150	94	17
fig|536231.75.peg.1539	1282	850.894	952	1101	433	915
fig|536231.75.peg.1540	206	139	183	391	78	79
fig|536231.75.peg.1541	57	53	52	92	15	1
fig|536231.75.peg.1542	3389	2399	2315	17741	1321	2164
fig|536231.75.peg.1543	771	616	852	2432	561	577
fig|536231.75.peg.1544	467	382	640	1400	238	552
fig|536231.75.peg.1545	201	176	244	1004	218	228
fig|536231.75.peg.1546	86	78	143	430	55	135
fig|536231.75.peg.1547	85	93	120	949	125	84
fig|536231.75.peg.1548	123	91	168	255	70	59
fig|536231.75.peg.1549	692	610	838	1774	620	705
fig|536231.75.peg.1550	1	0	5	3	0	0
fig|536231.75.peg.1551	5	1	7	151	16	0
fig|536231.75.peg.1552	155	148	195	306	268	228
fig|536231.75.peg.1553	24	26	34	80	0	25
fig|536231.75.peg.1554	24	17	51	23	0	1
fig|536231.75.peg.1555	74	89	83	183	97	40
fig|536231.75.peg.1556	23	21	18	35	31	8
fig|536231.75.peg.1557	76	61	72	218	158	104
fig|536231.75.peg.1558	29	28	45	67	54	37
fig|536231.75.peg.1559	41	34	21	77	29	22
fig|536231.75.peg.1560	113	106	106	343	114	276
fig|536231.75.peg.1561	217	159	168	524	360	296
fig|536231.75.peg.1562	115	94	110	244	53	85
fig|536231.75.peg.1563	154	130	212	478	171	114
fig|536231.75.peg.1564	314	255	302	315	167	194
fig|536231.75.peg.1565	7	18	18	212	23	27
fig|536231.75.peg.1566	1525	1114	1127	978	1108	1295
fig|536231.75.peg.1567	1376	1172	1142	1472	1149	1345
fig|536231.75.peg.1568	111	56	79	35	71	23
fig|536231.75.peg.1569	71	26	62	64	50	0
fig|536231.75.peg.1570	569	493	540	405	471	245
fig|536231.75.peg.1571	509	411	377	448	344	280
fig|536231.75.peg.1572	0	0	0	3	11	0
fig|536231.75.peg.1573	578	392	485	470	513	363
fig|536231.75.peg.1574	1747	1606	1861	4104	2591	3481
fig|536231.75.peg.1575	570	341	588	714	653	582
fig|536231.75.peg.1576	3759.419	2821.737	3535	4803.282	4512	4320
fig|536231.75.peg.1577	163.581	117.263	134	392.718	419	234
fig|536231.75.peg.1578	63	36	69	36	19	10
fig|536231.75.peg.1579	5	0	10	10	0	0
fig|536231.75.peg.1580	68	62	57	43	116	60
fig|536231.75.peg.1581	15	5	11.18	111	0	0
fig|536231.75.peg.1582	313	317	421.82	1102	331	386
fig|536231.75.peg.1583	151	149	188	2434	251	426
fig|536231.75.peg.1584	0	0	0	0	0	0
fig|536231.75.peg.1585	285	206	229	408	269	308
fig|536231.75.peg.1586	628	546	517	1299	566	520
fig|536231.75.peg.1587	8989.579	6486	4630	3173	2703	2547
fig|536231.75.peg.1588	0	0	0	0	0	0
fig|536231.75.peg.1589	319	242	260	161	132	85
fig|536231.75.peg.1590	230	180	199	123	136	98
fig|536231.75.peg.1591	99	40	46	38	47	46
fig|536231.75.peg.1592	81.448	70	66	67	82	156
fig|536231.75.peg.1593	45.552	32	43	0	26	15
fig|536231.75.peg.1594	6	1	5	0	0	7
fig|536231.75.peg.1595	6	6	1	0	0	1
fig|536231.75.peg.1596	2	0	3	0	0	0
fig|536231.75.peg.1597	2340	2091	2095	5056	1970	2490
