patricID	btri_t12_riA	btri_t12_riB	btri_t12_riC	btri_t36_riA	btri_t36_riB	btri_t36_riC
fig|536231.75.peg.118	46	35	31	72	48	116
fig|536231.75.peg.119	159	68	114	191	106	72
fig|536231.75.peg.120	822	631	744	336	403	364
fig|536231.75.peg.121	366	306	352	272	371	126
fig|536231.75.peg.122	905	474	456	2685	719	764
fig|536231.75.peg.123	7	3	13	12	0	16
fig|536231.75.peg.124	2	0	0	9	0	0
fig|536231.75.peg.125	680	525	323	807	808	574
fig|536231.75.peg.126	211	201	355	207	279	295
fig|536231.75.peg.127	531	552	1077	704	618	734
fig|536231.75.peg.128	2378	1827	1889	2427	1831.07	1243
fig|536231.75.peg.129	63.411	60.869	46.162	97.748	57.93	35
fig|536231.75.peg.130	547.589	427.131	469.838	458.252	438	261
fig|536231.75.peg.131	546	346	335	964	476	411
fig|536231.75.peg.132	1	1	0	19	13	0
fig|536231.75.peg.133	5	1	2	9	0	0
fig|536231.75.peg.134	545	405	460	2268	963	702
fig|536231.75.peg.135	0	0	0	0	0	0
fig|536231.75.peg.136	156	116	157	1071	337	326
fig|536231.75.peg.137	112	70	119	192	110	137
fig|536231.75.peg.138	773	678	593	339	699	482
fig|536231.75.peg.139	4430	3749	4538	550	1811	1455
fig|536231.75.peg.140	2	1	8	1	0	0
fig|536231.75.peg.141	80	90	91	0	21	176
fig|536231.75.peg.142	35248.263	30673	20650.366	33055.005	6764	10933
fig|536231.75.peg.143	3668.635	2521	2091.634	4343.995	595	733
fig|536231.75.peg.144	429	296	285	303	303	120
fig|536231.75.peg.145	48	40	28	100	165	63
fig|536231.75.peg.146	58	36	45	40	26	11
fig|536231.75.peg.147	488	365	303	753.551	399	363
fig|536231.75.peg.148	1111.809	1002.323	905.864	5005.615	1290.613	986.421
fig|536231.75.peg.149	2606	2687	2029	8920	2283	3334
fig|536231.75.peg.150	16976	10578	8057	26599	6700	5644
fig|536231.75.peg.151	287	220	195	485	95	169
fig|536231.75.peg.152	395	245	264	288	295	120
fig|536231.75.peg.153	333	252	325	268	115	93
fig|536231.75.peg.154	4	0	4	49	53	0
fig|536231.75.peg.155	0	0	0	2	0	0
fig|536231.75.peg.156	30	9	23	149	34	59
fig|536231.75.peg.157	112	112	91	398	95	53
fig|536231.75.peg.158	33	19	19	228	50	43
fig|536231.75.peg.159	1618	971	1176	1029	1233	737
fig|536231.75.peg.160	1953	1219	1471	2249	1846	1125
fig|536231.75.peg.161	191	127	138	122	139	48
fig|536231.75.peg.162	319	190	210	759	517	285
fig|536231.75.peg.163	11	6	6	28	5	0
fig|536231.75.peg.164	8	4	4	3	0	0
fig|536231.75.peg.165	431	250	408	2482	601	357
fig|536231.75.peg.166	18	24	11	249	70	15
fig|536231.75.peg.167	3	5	0	3	2.989	0
fig|536231.75.peg.168	7	14	13	7	19.011	0
fig|536231.75.peg.169	81	50	40	221	96	76
fig|536231.75.peg.170	3	0	2	21	12	0
fig|536231.75.peg.171	19	4	5	36	1	0
fig|536231.75.peg.172	34	26	47	308	42	1
fig|536231.75.peg.173	75	115	127	222	231	197
fig|536231.75.peg.174	301	240	297	485	265	254
fig|536231.75.peg.175	251	242	260	207	133	235
fig|536231.75.peg.176	1102	895	866	1082	566	632
fig|536231.75.peg.177	31	4	11	31	13	12
fig|536231.75.peg.178	3165	2429	2440	4479	2428	1934
fig|536231.75.peg.179	8	16	14	7	6	0
fig|536231.75.peg.180	209	151	130	521	97	55
fig|536231.75.peg.181	594	278	273	3034	453	383
fig|536231.75.peg.182	35	14	14	209	53	113
fig|536231.75.peg.183	5	0	0	0	23	0
fig|536231.75.peg.184	22	7	22	162	17	28
fig|536231.75.peg.185	177.927	159	177	880.794	215	186
fig|536231.75.peg.186	319.073	304	356	1476.207	395	410
fig|536231.75.peg.187	42.736	33.72	56.224	150.149	34.569	56
fig|536231.75.peg.188	1122.264	1138.28	1185.776	8440.851	1641.431	1878
fig|536231.75.peg.189	0	0	0	0	0	0
fig|536231.75.peg.190	0	0	2	3	0	0
fig|536231.75.peg.191	414	289	278	311	115	117
fig|536231.75.peg.192	1191	960	984	572	926	538
fig|536231.75.peg.193	2025	1694	1591	1241	1148	1129
fig|536231.75.peg.194	4	11	7	33	47	0
fig|536231.75.peg.195	140	92	100	230	158	218
fig|536231.75.peg.196	96	88	50	79	47	43
fig|536231.75.peg.197	230	123	118	2724	253	483
fig|536231.75.peg.198	1	0	0	0	0	0
fig|536231.75.peg.199	2054	1874.889	1329	1316	1809	1380
fig|536231.75.peg.200	16.397	10.111	9	11	7	11.794
fig|536231.75.peg.201	1677.603	1524	1098	584	993	764.206
fig|536231.75.peg.202	363	237	255	212	198	111
fig|536231.75.peg.203	3753	2773	2751	1378	2266	1766
fig|536231.75.peg.204	1402	812	933	423	1021	1141
fig|536231.75.peg.205	4708.538	3738.078	3584.427	1552.666	2183.434	1849.001
fig|536231.75.peg.206	1540.563	1048.922	978.573	660.334	954.566	960.999
fig|536231.75.peg.207	53	39	51	114	126	20
fig|536231.75.peg.208	0	0	0	1	12	0
fig|536231.75.peg.209	211	150	144	574	209	256
fig|536231.75.peg.210	132	122	140	231	288	237
fig|536231.75.peg.211	118	82	121	276	326	94
fig|536231.75.peg.212	221	227	217	137	115	123
fig|536231.75.peg.213	277	230	268	117	121	63
fig|536231.75.peg.214	367	373	412	201	226	149
fig|536231.75.peg.215	34	25	35	91	79	20
fig|536231.75.peg.216	76	54	53	699	137	232
fig|536231.75.peg.217	1	0	0	0	0	0
fig|536231.75.peg.218	26	14	34	102	108	42
fig|536231.75.peg.219	388.704	273.949	157.381	724.349	59.806	153.685
fig|536231.75.peg.220	46	16	25	180	74	33
fig|536231.75.peg.221	17	26	6	65	0	25
fig|536231.75.peg.222	2139	1728	1659	669	1025	672
fig|536231.75.peg.223	636	552	532	505	498	326
fig|536231.75.peg.224	42.862	19.078	34.966	50.373	37.001	64.949
fig|536231.75.peg.225	7.004	16.804	13	0	0	0
fig|536231.75.peg.226	1511	1203	1074	4067	2442	3092
fig|536231.75.peg.227	73.135	27.118	19.034	245.627	59.999	36.051
fig|536231.75.peg.228	256	261	278	398	315	263
fig|536231.75.peg.229	134	95	126	274	177	95
fig|536231.75.peg.230	378	248	322	363	432	263
fig|536231.75.peg.231	1044	802	911	1811	1000	1037
fig|536231.75.peg.232	134	101	123	957	346	261
fig|536231.75.peg.233	36	19	34	62	46	68
fig|536231.75.peg.234	64	61	44	574	96	244
fig|536231.75.peg.235	29	38	17	276	78	33
fig|536231.75.peg.236	115	87	115	1402	382	700
fig|536231.75.peg.237	45	40	48	395	75	167
fig|536231.75.peg.238	39.348	11.929	0	37.454	17.69	0
fig|536231.75.peg.239	78	88	74	585	252	236
fig|536231.75.peg.240	84	70	72	928	285	421
fig|536231.75.peg.241	309	269	285	640	718	811
fig|536231.75.peg.242	24	30	30	86	39	74
fig|536231.75.peg.243	104	63	65	92	190	156
fig|536231.75.peg.244	153.165	37.8	151.071	516.975	220.519	118.349
fig|536231.75.peg.245	201	151	196	456	257	238
fig|536231.75.peg.246	22	8	16	32	21	12
fig|536231.75.peg.247	121	83	82	35	75	163
fig|536231.75.peg.248	262	236	163	173	266	237
fig|536231.75.peg.249	247	201	183	130	255	170
fig|536231.75.peg.250	1775	1678	1279	2159	955	709
fig|536231.75.peg.251	57	66	37	137	73	59
fig|536231.75.peg.252	256	240	200	166	249	195
fig|536231.75.peg.253	373	329	304	488	646	389
fig|536231.75.peg.254	1	7	3	1	0	0
fig|536231.75.peg.255	151	84.926	95	44.992	150	57
fig|536231.75.peg.256	80.567	67	66	28.582	53.24	71.981
fig|536231.75.peg.257	0	0	0	0	0	0
fig|536231.75.peg.259	7.001	2	3	9.004	0	0
fig|536231.75.peg.260	41	26	17	43.152	37	6
fig|536231.75.peg.261	136	70	82	181	105	66
fig|536231.75.peg.262	2	0	1	0	0	0
fig|536231.75.peg.263	0	0	0	0	0	0
fig|536231.75.peg.264	0	0	0	0.008	0	0
fig|536231.75.peg.265	0	0	0	0	0	0
fig|536231.75.peg.266	0	9.074	0	0	0	0
fig|536231.75.peg.267	7.376	0	0	0	0	0
fig|536231.75.peg.268	43.057	0	0	52.418	12.76	32.019
fig|536231.75.peg.269	0	0	0	0	0	0
fig|536231.75.peg.271	1.999	0	0	16.844	0	0
fig|536231.75.peg.275	14	6	12	16	0	28
fig|536231.75.peg.276	23	19	23	33	26	25
fig|536231.75.peg.277	34	23	22	33	91	31
fig|536231.75.peg.278	0	0	0	18	24	0
fig|536231.75.peg.279	0	0	0	0	12	0
fig|536231.75.peg.280	73.607	59.015	49.646	59.266	35.71	0
fig|536231.75.peg.281	0	0	0	21.087	24.844	0
fig|536231.75.peg.282	0	0	0	28.507	38.228	0
fig|536231.75.peg.283	5	0	4	34	0	0
fig|536231.75.peg.284	1	4	4	72	23	0
fig|536231.75.peg.285	7	0	2	45	57	0
fig|536231.75.peg.286	20	8	19	37	63	13
fig|536231.75.peg.287	0	0	0	0	0	0
fig|536231.75.peg.288	3	0	0	0	31	0
fig|536231.75.peg.289	6	4	1	0	11	0
fig|536231.75.peg.290	16	17	1	28	17	22
fig|536231.75.peg.291	31	16	10	0	54	30
fig|536231.75.peg.292	16	14	11	31	42	26
fig|536231.75.peg.293	5	1	0	0	16	0
fig|536231.75.peg.294	7	13	20	3	22	10
fig|536231.75.peg.295	2	1	7	0	8	0
fig|536231.75.peg.296	0	0	4	0	39	0
fig|536231.75.peg.297	32	36	31	93	111	49
fig|536231.75.peg.298	7	3	14	38	10	16
fig|536231.75.peg.299	23	9	32	83	15	8
fig|536231.75.peg.300	16	11	13	187	114	44
fig|536231.75.peg.301	2	3	0	18	0	0
fig|536231.75.peg.302	42	38	29	82	29	22
fig|536231.75.peg.303	51.682	66.1	71.672	141.28	69.256	0
fig|536231.75.peg.304	0	0	0	0	0	0
fig|536231.75.peg.305	17	6	9	14	25	0
fig|536231.75.peg.306	11.004	17.993	8.002	4.501	14.006	0
fig|536231.75.peg.307	266.171	165.229	138.602	125.229	75.483	114.586
fig|536231.75.peg.308	16	4	4	0	9	0
fig|536231.75.peg.309	24	12	8	26	38	0
fig|536231.75.peg.310	0	0	5.617	0	0	0
fig|536231.75.peg.311	0	0	0	7.028	0	0
fig|536231.75.peg.312	0	0	0	2.399	0	27.01
fig|536231.75.peg.313	0	0	0	0	0	0
fig|536231.75.peg.316	0	0	0	82.396	0	7.327
fig|536231.75.peg.317	0	0	0	2	38	21
fig|536231.75.peg.318	0	0	0	6	0	0
fig|536231.75.peg.319	0	0	1	9	0	0
fig|536231.75.peg.320	6	1	3	79	0	0
fig|536231.75.peg.321	2	1	6	66	23	22
fig|536231.75.peg.322	1110	981	1133	3154	752	1039
fig|536231.75.peg.323	1083	988	1253	1593	702	1312
fig|536231.75.peg.324	8	2	6	8	0	0
fig|536231.75.peg.325	70	67	62	85	40	0
fig|536231.75.peg.326	24	8.625	29	52	0	0
fig|536231.75.peg.327	1353.919	927.36	1381.006	1327.868	542	461.113
fig|536231.75.peg.328	1012.081	1124.015	1178.994	761.132	626	650.887
fig|536231.75.peg.329	2	4	0	12	0	0
fig|536231.75.peg.330	3	0	0	7	12	0
fig|536231.75.peg.331	105	94	82	8	28	55
fig|536231.75.peg.332	179.4	77.721	126.548	36	83	45
fig|536231.75.peg.333	5040.6	4316.279	5287.452	715	10062	4103
fig|536231.75.peg.334	7401	7555	7657	1616	19922	12198
fig|536231.75.peg.335	2825	2315	3328	621	4484	2827
fig|536231.75.peg.336	11044.788	9848.526	12341.658	2006.277	24064.437	16031
fig|536231.75.peg.337	1690.212	1317.47	1963.342	544.723	3727.563	1371
fig|536231.75.peg.338	9556	8607.004	11145	1737	15286	7104
fig|536231.75.peg.339	4106	3293	4826	906	7189	3814
fig|536231.75.peg.340	758	499	784	196	978	489
fig|536231.75.peg.341	817	648	652	814	1576	1408
fig|536231.75.peg.342	18.755	5.138	8.438	1206.136	1	8.127
fig|536231.75.peg.343	294.245	241.862	233.562	7951.864	292	305.873
fig|536231.75.peg.344	0	0	0	3	0	0
fig|536231.75.peg.345	1	3	3	0	10	23
fig|536231.75.peg.346	0	0	0	21	0	0
fig|536231.75.peg.347	34	28	31	92	30	16
fig|536231.75.peg.348	478	415	419	788	575	670
fig|536231.75.peg.349	5402	4307	3825	3839	2608	2226
fig|536231.75.peg.350	2	0	0	32	0	0
fig|536231.75.peg.351	7	0	2	106	7	0
fig|536231.75.peg.352	12	5	12	211	0	9
fig|536231.75.peg.353	28	39	46	116	11	21
fig|536231.75.peg.354	375	251	306	9145	1110	705
fig|536231.75.peg.355	325.605	288.632	186.287	78.288	251.456	140.237
fig|536231.75.peg.356	10.443	7.092	1.069	2	0	0
fig|536231.75.peg.357	2	1	10	17.314	0	0
fig|536231.75.peg.358	222.965	257.202	253.652	743.156	206.409	196.909
fig|536231.75.peg.359	0	0	0	27.22	0	0
fig|536231.75.peg.360	1	0	3	0	16	0
fig|536231.75.peg.361	1	5	1	14	0	0
fig|536231.75.peg.362	131	58	105	192	144	161
fig|536231.75.peg.363	95	80	67	297	122	53
fig|536231.75.peg.364	69	74	89	118	99	53
fig|536231.75.peg.365	1	0	0	0	0	0
fig|536231.75.peg.366	5	0	0	151	10	51
fig|536231.75.peg.368	0	0	0	0	0	0
fig|536231.75.peg.369	149	120	105	248	231	241
fig|536231.75.peg.370	56	50	74	62	57	35
fig|536231.75.peg.371	19	17	24	114	70	40
fig|536231.75.peg.372	4	0	1	58	0	0
fig|536231.75.peg.373	674.361	449.64	638.404	796	355.994	375
fig|536231.75.peg.374	578.639	469.36	611.596	394	367.006	251
fig|536231.75.peg.375	50	47	84	80	153	52
fig|536231.75.peg.376	17	11	11	42	0	24
fig|536231.75.peg.377	316	262	293	667	289	175
