patricID	ri_t12_A	ri_t12_B	ri_t12_C	btri_t12_riA	btri_t12_riB	btri_t12_riC
fig|536231.75.peg.110	583	364.754	174	88	39	99.61
fig|536231.75.peg.111	372	318.512	226	100	68	113
fig|536231.75.peg.112	15934.353	12047.183	7177	1549	1283	1538
fig|536231.75.peg.113	0	0	0	0	0	0
fig|536231.75.peg.114	16168	8512	6259	1157	737	1003
fig|536231.75.peg.115	7034	3931	3850	460	409	413
fig|536231.75.peg.116	11498.577	4615	5311	957	747	890
fig|536231.75.peg.117	10753	4015	4935	753	656	700
fig|536231.75.peg.118	304	163	198	46	35	31
fig|536231.75.peg.119	5044.462	4030	4190	159	68	114
fig|536231.75.peg.120	10113	7916	6516	822	631	744
fig|536231.75.peg.121	4869	3488	3202	366	306	352
fig|536231.75.peg.122	5511	3975	4518	905	474	456
fig|536231.75.peg.123	52	20	31	7	3	13
fig|536231.75.peg.124	12	1	0	2	0	0
fig|536231.75.peg.125	3727	3595.757	2616	680	525	323
fig|536231.75.peg.126	844	719	386	211	201	355
fig|536231.75.peg.127	3069	2395	1191	531	552	1077
fig|536231.75.peg.128	56903.452	31212.241	29704	2378	1827	1889
fig|536231.75.peg.129	809.961	747.53	621	63.411	60.869	46.162
fig|536231.75.peg.130	4399.039	3795.627	2207	547.589	427.131	469.838
fig|536231.75.peg.131	4362	5172	3128	546	346	335
fig|536231.75.peg.132	45	15	6	1	1	0
fig|536231.75.peg.133	27	67	7	5	1	2
fig|536231.75.peg.134	5038	3896	3672	545	405	460
fig|536231.75.peg.135	0	0	0	0	0	0
fig|536231.75.peg.136	662	1159.104	661	156	116	157
fig|536231.75.peg.137	1156	609	1669	112	70	119
fig|536231.75.peg.138	14617	4769	7478	773	678	593
fig|536231.75.peg.139	81172.589	30398.015	40688.535	4430	3749	4538
fig|536231.75.peg.140	10	33	16	2	1	8
fig|536231.75.peg.141	456	186	373	80	90	91
fig|536231.75.peg.142	150130.148	166158.597	32192	35248.263	30673	20650.366
fig|536231.75.peg.143	52516.295	46594.984	7073	3668.635	2521	2091.634
fig|536231.75.peg.144	2335	2160	2665	429	296	285
fig|536231.75.peg.145	378	348	266	48	40	28
fig|536231.75.peg.146	781	345	610	58	36	45
fig|536231.75.peg.147	2834	2770.867	2350	488	365	303
fig|536231.75.peg.148	15802.224	15031.719	10684.441	1111.809	1002.323	905.864
fig|536231.75.peg.149	7690	12255.143	7294.86	2606	2687	2029
fig|536231.75.peg.150	97429.774	60782.14	95925.747	16976	10578	8057
fig|536231.75.peg.151	2765	1261	3489	287	220	195
fig|536231.75.peg.152	3260	1725	2707	395	245	264
fig|536231.75.peg.153	3923	2017	5399	333	252	325
fig|536231.75.peg.154	3	5	2	4	0	4
fig|536231.75.peg.155	0	3	1	0	0	0
fig|536231.75.peg.156	361	219	216	30	9	23
fig|536231.75.peg.157	1934	1393	1606	112	112	91
fig|536231.75.peg.158	1225	1138	1084	33	19	19
fig|536231.75.peg.159	8459	4041	4986	1618	971	1176
fig|536231.75.peg.160	13096	6875	8912.123	1953	1219	1471
fig|536231.75.peg.161	1779	1490	1253	191	127	138
fig|536231.75.peg.162	4947.035	2322	4200	319	190	210
fig|536231.75.peg.163	157	72	70	11	6	6
fig|536231.75.peg.164	81	49	56	8	4	4
fig|536231.75.peg.165	7151	2903	3816	431	250	408
fig|536231.75.peg.166	151	105	73	18	24	11
fig|536231.75.peg.167	5	11	0	3	5	0
fig|536231.75.peg.168	160	138	80	7	14	13
fig|536231.75.peg.169	801	780	601	81	50	40
fig|536231.75.peg.170	20	31	21	3	0	2
fig|536231.75.peg.171	78.037	95.905	58	19	4	5
fig|536231.75.peg.172	505.963	458.095	286	34	26	47
fig|536231.75.peg.173	823.052	807	510	75	115	127
fig|536231.75.peg.174	2854	2637	1924	301	240	297
fig|536231.75.peg.175	1569	1080	1230.233	251	242	260
fig|536231.75.peg.176	8735	7327.812	4451	1102	895	866
fig|536231.75.peg.177	243	324.863	198	31	4	11
fig|536231.75.peg.178	36938.483	46183.314	13597	3165	2429	2440
fig|536231.75.peg.179	167	137	32	8	16	14
fig|536231.75.peg.180	5863.044	6304	1985	209	151	130
fig|536231.75.peg.181	10083.02	16684.17	5550	594	278	273
fig|536231.75.peg.182	1292	8539	286	35	14	14
fig|536231.75.peg.183	33	75	26	5	0	0
fig|536231.75.peg.184	939.997	1490.909	1156.916	22	7	22
fig|536231.75.peg.185	2660.003	4614.002	2263.084	177.927	159	177
fig|536231.75.peg.186	2930	1980.09	2170	319.073	304	356
fig|536231.75.peg.187	226	324.075	178.988	42.736	33.72	56.224
fig|536231.75.peg.188	7226.016	10060.925	7494.012	1122.264	1138.28	1185.776
fig|536231.75.peg.189	0	0	0	0	0	0
fig|536231.75.peg.190	1	6	2	0	0	2
fig|536231.75.peg.191	5819.954	6029	5287	414	289	278
fig|536231.75.peg.192	13399.024	9153.733	8604	1191	960	984
fig|536231.75.peg.193	15568.637	10577	9059	2025	1694	1591
fig|536231.75.peg.194	26	28	25	4	11	7
fig|536231.75.peg.195	1640	1548	2817	140	92	100
fig|536231.75.peg.196	496	479	714	96	88	50
fig|536231.75.peg.197	10778	18925.003	8894	230	123	118
fig|536231.75.peg.198	15	8	14	1	0	0
fig|536231.75.peg.199	3496.96	1800	41741.946	2054	1874.889	1329
fig|536231.75.peg.200	41.114	16	136.054	16.397	10.111	9
fig|536231.75.peg.201	1818.886	780	9715	1677.603	1524	1098
fig|536231.75.peg.202	499	312	2097	363	237	255
fig|536231.75.peg.203	5719	1965	17571.203	3753	2773	2751
fig|536231.75.peg.204	2158	814	5233	1402	812	933
fig|536231.75.peg.205	6684.268	2896.915	17940.182	4708.538	3738.078	3584.427
fig|536231.75.peg.206	1454.732	803.266	5242.818	1540.563	1048.922	978.573
fig|536231.75.peg.207	439	186	239	53	39	51
fig|536231.75.peg.208	0	0	0	0	0	0
fig|536231.75.peg.209	1793	992	1011	211	150	144
fig|536231.75.peg.210	1460	793	773	132	122	140
fig|536231.75.peg.211	2018	1066	1141	118	82	121
fig|536231.75.peg.212	7628	5276	7150	221	227	217
fig|536231.75.peg.213	7336	4778	7150	277	230	268
fig|536231.75.peg.214	14508	9821.121	21646.745	367	373	412
fig|536231.75.peg.215	250	222	252	34	25	35
fig|536231.75.peg.216	402	388	384	76	54	53
fig|536231.75.peg.217	15	12	10	1	0	0
fig|536231.75.peg.218	467	428	374	26	14	34
fig|536231.75.peg.219	5432.535	9056.369	5220.35	388.704	273.949	157.381
fig|536231.75.peg.220	354	309	259	46	16	25
fig|536231.75.peg.221	230	243	274	17	26	6
fig|536231.75.peg.222	22637	27143.629	13873.137	2139	1728	1659
fig|536231.75.peg.223	5029.832	5753.532	2938	636	552	532
fig|536231.75.peg.224	450.972	747.856	332.053	42.862	19.078	34.966
fig|536231.75.peg.225	137.888	166.217	227	7.004	16.804	13
fig|536231.75.peg.226	16034.347	16854.205	11901.514	1511	1203	1074
fig|536231.75.peg.227	2818.308	5306.395	2831.433	73.135	27.118	19.034
fig|536231.75.peg.228	1536	1612	776	256	261	278
fig|536231.75.peg.229	1384	1321	838	134	95	126
fig|536231.75.peg.230	3624	3400.772	1986	378	248	322
fig|536231.75.peg.231	7160.106	7935	4705	1044	802	911
fig|536231.75.peg.232	3903	4216	1945	134	101	123
fig|536231.75.peg.233	1489.023	1090	514	36	19	34
fig|536231.75.peg.234	1597	3572	1276	64	61	44
fig|536231.75.peg.235	1223	1707	848	29	38	17
fig|536231.75.peg.236	3519.008	4658	2354	115	87	115
fig|536231.75.peg.237	1350	1661.027	890	45	40	48
fig|536231.75.peg.238	788.457	421.412	790.049	39.348	11.929	0
fig|536231.75.peg.239	1023	954	634	78	88	74
fig|536231.75.peg.240	978	1149.001	711	84	70	72
fig|536231.75.peg.241	2583	2462	1764	309	269	285
fig|536231.75.peg.242	235	280	201	24	30	30
fig|536231.75.peg.243	539	436	380	104	63	65
fig|536231.75.peg.244	7252.254	8814.648	5813.868	153.165	37.8	151.071
fig|536231.75.peg.245	1814	1348	1132	201	151	196
fig|536231.75.peg.246	154	315	132	22	8	16
fig|536231.75.peg.247	633	315	597	121	83	82
fig|536231.75.peg.248	957	774	1175	262	236	163
fig|536231.75.peg.249	1700	1597	2188	247	201	183
fig|536231.75.peg.250	9721	7698	10517	1775	1678	1279
fig|536231.75.peg.251	318	223	356	57	66	37
fig|536231.75.peg.252	1355	694	1923	256	240	200
fig|536231.75.peg.253	1633	1423	2002	373	329	304
fig|536231.75.peg.254	21	21	8	1	7	3
fig|536231.75.peg.255	669	340.177	773.064	151	84.926	95
fig|536231.75.peg.256	787.218	381.866	1088	80.567	67	66
fig|536231.75.peg.257	0	0	0	0	0	0
fig|536231.75.peg.259	174.922	196.158	154.452	7.001	2	3
fig|536231.75.peg.260	153.713	250.778	159.558	41	26	17
fig|536231.75.peg.261	550	792	374	136	70	82
fig|536231.75.peg.262	4	24	6	2	0	1
fig|536231.75.peg.263	0	0	0	0	0	0
fig|536231.75.peg.264	0	20.823	7.936	0	0	0
fig|536231.75.peg.265	0	0	0	0	0	0
fig|536231.75.peg.266	0	0	0	0	9.074	0
fig|536231.75.peg.267	0	0	0	7.376	0	0
fig|536231.75.peg.268	92.782	46.134	0	43.057	0	0
fig|536231.75.peg.269	0	0	0	0	0	0
fig|536231.75.peg.271	23.365	19.064	15.99	1.999	0	0
fig|536231.75.peg.275	180	169	108	14	6	12
fig|536231.75.peg.276	292	455	333	23	19	23
fig|536231.75.peg.277	965	724	359	34	23	22
fig|536231.75.peg.278	0	2	0	0	0	0
fig|536231.75.peg.279	6	18	9	0	0	0
fig|536231.75.peg.280	1527.994	910.939	661.121	73.607	59.015	49.646
fig|536231.75.peg.281	37.193	7.473	25.519	0	0	0
fig|536231.75.peg.282	0	0	54.935	0	0	0
fig|536231.75.peg.283	68	58	21	5	0	4
fig|536231.75.peg.284	102	107	178	1	4	4
fig|536231.75.peg.285	189	186	104	7	0	2
fig|536231.75.peg.286	133	167	202	20	8	19
fig|536231.75.peg.287	8	0	0	0	0	0
fig|536231.75.peg.288	5	28	10	3	0	0
fig|536231.75.peg.289	43	88	92	6	4	1
fig|536231.75.peg.290	324	261	270	16	17	1
fig|536231.75.peg.291	72	125	25	31	16	10
fig|536231.75.peg.292	302	303	140	16	14	11
fig|536231.75.peg.293	32	7	9	5	1	0
fig|536231.75.peg.294	244	161	143	7	13	20
fig|536231.75.peg.295	29	45	32	2	1	7
fig|536231.75.peg.296	38	18	8	0	0	4
fig|536231.75.peg.297	379	402	329	32	36	31
fig|536231.75.peg.298	134	90	73	7	3	14
fig|536231.75.peg.299	202	211	94	23	9	32
fig|536231.75.peg.300	691	1168	1154	16	11	13
fig|536231.75.peg.301	2	5	2	2	3	0
fig|536231.75.peg.302	394	344	221	42	38	29
fig|536231.75.peg.303	566.201	474.294	268.046	51.682	66.1	71.672
fig|536231.75.peg.304	0	0	0	0	0	0
fig|536231.75.peg.305	257.836	192.594	271.775	17	6	9
fig|536231.75.peg.306	194.732	119.404	90.23	11.004	17.993	8.002
fig|536231.75.peg.307	2026.129	1693.08	1121.482	266.171	165.229	138.602
fig|536231.75.peg.308	72	37	29	16	4	4
fig|536231.75.peg.309	157	64	127	24	12	8
fig|536231.75.peg.310	35.567	213.478	0	0	0	5.617
fig|536231.75.peg.311	0	9.436	0	0	0	0
fig|536231.75.peg.312	2.445	7.837	33.144	0	0	0
fig|536231.75.peg.313	1.011	0	0	0	0	0
fig|536231.75.peg.316	0	0	0	0	0	0
fig|536231.75.peg.317	3	5	5	0	0	0
fig|536231.75.peg.318	0	6	10	0	0	0
fig|536231.75.peg.319	10	28	29	0	0	1
fig|536231.75.peg.320	34	72	44	6	1	3
fig|536231.75.peg.321	83	92	83	2	1	6
fig|536231.75.peg.322	47681.416	83608.474	6302	1110	981	1133
fig|536231.75.peg.323	25314.976	49818.752	4485.17	1083	988	1253
fig|536231.75.peg.324	168	628.185	38	8	2	6
fig|536231.75.peg.325	2660	7380.005	407.991	70	67	62
fig|536231.75.peg.326	1295.769	3711.704	149.55	24	8.625	29
fig|536231.75.peg.327	34903.198	70415.275	6396.914	1353.919	927.36	1381.006
fig|536231.75.peg.328	24692.295	53354.504	5624.544	1012.081	1124.015	1178.994
fig|536231.75.peg.329	48	27	55	2	4	0
fig|536231.75.peg.330	72	83	102	3	0	0
fig|536231.75.peg.331	545	303	341	105	94	82
fig|536231.75.peg.332	2744.078	2053.61	2013.405	179.4	77.721	126.548
fig|536231.75.peg.333	43481.864	29522.39	23126.237	5040.6	4316.279	5287.452
fig|536231.75.peg.334	55177.251	45611.965	29870	7401	7555	7657
fig|536231.75.peg.335	42223.397	29773.1	20735	2825	2315	3328
fig|536231.75.peg.336	91172.482	69773.474	43518.544	11044.788	9848.526	12341.658
fig|536231.75.peg.337	23054.821	18960.037	10116.456	1690.212	1317.47	1963.342
fig|536231.75.peg.338	104072.53	85803.282	50184.888	9556	8607.004	11145
fig|536231.75.peg.339	36875	36012.102	16501.52	4106	3293	4826
fig|536231.75.peg.340	8805	9570.898	3467	758	499	784
fig|536231.75.peg.341	7544.004	3733.049	4208	817	648	652
fig|536231.75.peg.342	1579.177	3170.697	1096.355	18.755	5.138	8.438
fig|536231.75.peg.343	11498.823	18973.679	7858.864	294.245	241.862	233.562
fig|536231.75.peg.344	7	6	0	0	0	0
fig|536231.75.peg.345	20	12	3	1	3	3
fig|536231.75.peg.346	17	14	2	0	0	0
fig|536231.75.peg.347	167	245	244	34	28	31
fig|536231.75.peg.348	5454	3127	5840	478	415	419
fig|536231.75.peg.349	44929.531	21823	25977	5402	4307	3825
fig|536231.75.peg.350	36	39	27	2	0	0
fig|536231.75.peg.351	498	755	429	7	0	2
fig|536231.75.peg.352	177.022	248.998	224	12	5	12
fig|536231.75.peg.353	414.978	417.002	262	28	39	46
fig|536231.75.peg.354	25825.137	38153.716	28776	375	251	306
fig|536231.75.peg.355	2800.798	3402.482	1704.157	325.605	288.632	186.287
fig|536231.75.peg.356	297.656	365.67	158.821	10.443	7.092	1.069
fig|536231.75.peg.357	23.339	24.411	23.964	2	1	10
fig|536231.75.peg.358	6241.313	4137.771	2728.897	222.965	257.202	253.652
fig|536231.75.peg.359	21.979	39.782	13.034	0	0	0
fig|536231.75.peg.360	6.543	7.422	7.589	1	0	3
fig|536231.75.peg.361	692.344	1511	389	1	5	1
fig|536231.75.peg.362	1387.656	1965	1752	131	58	105
fig|536231.75.peg.363	2185	2831	3479	95	80	67
fig|536231.75.peg.364	2102	2301	1381	69	74	89
fig|536231.75.peg.365	3	5	1	1	0	0
fig|536231.75.peg.366	197	409	169	5	0	0
fig|536231.75.peg.368	0	0	0	0	0	0
fig|536231.75.peg.369	830	608	673	149	120	105
fig|536231.75.peg.370	558	1168	254	56	50	74
fig|536231.75.peg.371	216	253	183	19	17	24
fig|536231.75.peg.372	188	210	156	4	0	1
fig|536231.75.peg.373	9465.296	6144.827	4008.366	674.361	449.64	638.404
fig|536231.75.peg.374	6685.949	4000.588	2672.634	578.639	469.36	611.596
fig|536231.75.peg.375	726	376	803	50	47	84
fig|536231.75.peg.376	366	410	147	17	11	11
fig|536231.75.peg.377	7818	10182	2760	316	262	293
fig|536231.75.peg.378	10944.007	15073.382	3662	454	334	381
fig|536231.75.peg.379	48	91	19	3	3	1
fig|536231.75.peg.380	5472	11078.468	2265.038	450	430	365
fig|536231.75.peg.381	3716.04	3238	2012	277	207	139
fig|536231.75.peg.382	0	2	1	0	0	0
fig|536231.75.peg.383	1333	2087	1837	116	82	91
fig|536231.75.peg.384	3879	2056	2986	525	439	435
fig|536231.75.peg.385	65804.156	49919.34	17088	1914.491	1408.487	1670.176
fig|536231.75.peg.386	21777.197	17234.66	7511	890.509	642.513	812.824
fig|536231.75.peg.387	99029.878	72571	37389.631	3317	2219	2825
fig|536231.75.peg.388	55912.84	45268.541	19039.149	2375	1671	2081
fig|536231.75.peg.389	0	0	0	0	0	0
fig|536231.75.peg.390	1187	1126	1066	371	150	184
fig|536231.75.peg.391	6788	4876	8274	899	698	615
fig|536231.75.peg.392	3907	2681	2997	455	297	277
fig|536231.75.peg.393	5121	4273	7845	560	384	408
fig|536231.75.peg.394	5912	4203	6605	745	623	572
fig|536231.75.peg.395	76	160	21	21	24	16
fig|536231.75.peg.396	135	135	36	11	18	14
fig|536231.75.peg.397	85	177	70	17	11	23
fig|536231.75.peg.398	38	37	5	4	6	5
fig|536231.75.peg.399	357	315	443	21	24	12
fig|536231.75.peg.400	502	335	453	24	23	20
fig|536231.75.peg.401	857	742	956	53	52	41
fig|536231.75.peg.402	30	43	19	0	0	3
fig|536231.75.peg.403	18338	4263	35830	1768	1250	1221
fig|536231.75.peg.404	50	27	47	19	11	9
fig|536231.75.peg.405	477	327	469	111	87	81
fig|536231.75.peg.406	68	63	87	44	22	16
fig|536231.75.peg.407	1289	1080	940	148	155	140
fig|536231.75.peg.408	780	536	705	187	145	120
fig|536231.75.peg.409	43	39	28	8	1	2
fig|536231.75.peg.410	764	596	824	134	113	104
fig|536231.75.peg.411	928	742	734	142	110	124
fig|536231.75.peg.412	583	520	509	113	86	101
fig|536231.75.peg.413	116	131	118	22	24	22
fig|536231.75.peg.414	482	491	302	42	31	38
fig|536231.75.peg.415	412	285	328	65	31	72
fig|536231.75.peg.416	681	514	593	76	50	64
fig|536231.75.peg.417	886	728	698	87	62	81
fig|536231.75.peg.418	558	320	290	62	46	70
fig|536231.75.peg.419	836	606	711	231	269	182
fig|536231.75.peg.420	324	315	317	100	84	73
fig|536231.75.peg.421	51	23	77	6	1	1
fig|536231.75.peg.422	1321	365	820	91	116	91
fig|536231.75.peg.423	935	388	812	38	48	102
fig|536231.75.peg.424	3734	1123	2242	403	367	388
fig|536231.75.peg.425	36976.925	29140.16	24571	3465	2973	2414
fig|536231.75.peg.426	3490	1459	2262	248	167	194
fig|536231.75.peg.427	0	0	0	0	0	0
fig|536231.75.peg.428	13	6	16	0	0	0
fig|536231.75.peg.429	2242	1528	2256	540	403	395
fig|536231.75.peg.430	368	227	341	44	22	32
fig|536231.75.peg.431	0	0	0	0	0	0
fig|536231.75.peg.432	487	458	216	81	43	43
fig|536231.75.peg.433	3458.022	2601	2316	410	330	369
fig|536231.75.peg.434	222	430	163	0	4	5
fig|536231.75.peg.435	12	7	3	4	2	0
fig|536231.75.peg.436	1	2	4	1	3	3
fig|536231.75.peg.437	37	24	25	4	3	6
fig|536231.75.peg.438	0	0	0	0	0	0
fig|536231.75.peg.439	0	0	0	0	0	0
fig|536231.75.peg.440	2	0	0	0	0	0
fig|536231.75.peg.441	0	0	0	0	0	0
fig|536231.75.peg.442	3	1	0	1	0	1
fig|536231.75.peg.443	1	0	1	0	0	0
fig|536231.75.peg.444	288.008	165	223	52	42	39
fig|536231.75.peg.445	1213.992	1764	1485	40	14	31
fig|536231.75.peg.446	6848	8687	6542	180	129	89
fig|536231.75.peg.447	14	18	9	1	3	0
fig|536231.75.peg.448	0	0	0	0	0	0
fig|536231.75.peg.449	12	0	4	4.719	4	0
fig|536231.75.peg.450	33	17	40	9.281	2	1
fig|536231.75.peg.451	12	4	8	1	0	1
fig|536231.75.peg.452	21	2	10	6	5	6
fig|536231.75.peg.453	0	0	2	0	0	0
fig|536231.75.peg.454	9	7	0	1	5	2
fig|536231.75.peg.455	4	0	6	2	0	0
fig|536231.75.peg.456	4	4	0	0	0	0
fig|536231.75.peg.457	0	1	4	2	0	0
fig|536231.75.peg.458	57	21	32	3	4	7
fig|536231.75.peg.459	8	2	1	3	1	0
fig|536231.75.peg.460	9	27	3	2	7	4
fig|536231.75.peg.461	43	21	51	11	10	4
fig|536231.75.peg.462	7398	8926	2814	812	528	428
fig|536231.75.peg.463	0	6	10	0	0	1
fig|536231.75.peg.464	404	387	325	42	25	23
fig|536231.75.peg.465	753	497	589	46	14	26
fig|536231.75.peg.466	332	291	317	24	18	12
fig|536231.75.peg.467	2809	1572	2666	284	230	270
fig|536231.75.peg.468	249	158	286	9	5	21
fig|536231.75.peg.469	0	3	0	0	0	0
fig|536231.75.peg.470	3	1	12	3	0	0
fig|536231.75.peg.471	5	1	0	0	0	0
fig|536231.75.peg.472	644	1451	338	7	9	3
fig|536231.75.peg.473	28	36	3	1	5	0
fig|536231.75.peg.474	5	3	0	0	0	1
fig|536231.75.peg.475	7	0	0	0	0	0
fig|536231.75.peg.476	4	0	5	0	0	0
fig|536231.75.peg.477	89	13	65	6	3	5
fig|536231.75.peg.478	7	0	0	0	0	0
fig|536231.75.peg.479	1	11	8	1	0	0
fig|536231.75.peg.480	8	12	0	2	5	0
fig|536231.75.peg.481	0	1	2	2	0	0
fig|536231.75.peg.482	0	0	0	0	0	0
fig|536231.75.peg.483	0	0	2	0	0	0
fig|536231.75.peg.484	0	0	0	0	0	0
fig|536231.75.peg.485	0	0	0	0	0	0
fig|536231.75.peg.486	1	0	0	0	0	0
fig|536231.75.peg.487	11	0	0	0	0	0
fig|536231.75.peg.488	14	15	10	3	0	1
fig|536231.75.peg.489	12	1	1	0	0	0
fig|536231.75.peg.490	10	0	6	0	0	2
fig|536231.75.peg.491	12	7	24	3	1	2
fig|536231.75.peg.492	11	4	2	3	6	2
fig|536231.75.peg.493	63	50	81	5	7	1
fig|536231.75.peg.494	0	0	0	0	0	2
