"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"fig|536231.75.peg.1"	6026.6926348689	-0.144486387930398	0.262438977264395	0	1	1
"fig|536231.75.peg.2"	6045.26372682437	-0.246505315651203	0.215645332225052	0	1	1
"fig|536231.75.peg.3"	1005.26394736888	-0.770369137804278	0.252197467843002	0	1	1
"fig|536231.75.peg.4"	7689.39959246388	-0.665088944001986	0.246361460160793	0	1	1
"fig|536231.75.peg.5"	9857.88621347186	-0.174991923129564	0.258597732227588	0	1	1
"fig|536231.75.peg.6"	15489.8709812964	-0.21060876006837	0.250486995166503	0	1	1
"fig|536231.75.peg.7"	1142.41802670353	0.301336182848343	0.28214924446218	0	1	1
"fig|536231.75.peg.8"	1050.04919071033	0.349452577735518	0.281666593055518	0	1	1
"fig|536231.75.peg.9"	5490.14958259153	0.01811340927017	0.312510874924534	0	1	1
"fig|536231.75.peg.10"	36.7177382424828	1.00981281400419	0.60211431900139	0.0162972606605148	0.986997242928384	1
"fig|536231.75.peg.11"	5128.54149606549	3.36121211234867	0.3356535704986	7.0346700285094	1.99733107203912e-12	1.91194516870945e-10
"fig|536231.75.peg.12"	622.34769207741	2.68934372773085	0.397088502648095	4.25432546262354	2.09680137083364e-05	0.000698143691210609
"fig|536231.75.peg.13"	6090.2450410199	2.3699004539011	0.401315106988936	3.41352824761433	0.000641275103244427	0.0146157283947792
"fig|536231.75.peg.14"	0.30297274741344	-1.92066861583821	4.03722005484024	-0.228045190336955	0.819611109140985	NA
"fig|536231.75.peg.15"	3951.01904346342	-0.419074438282119	0.422410158048294	0	1	1
"fig|536231.75.peg.16"	2601.09346044965	-0.383896596128237	0.406969845029654	0	1	1
"fig|536231.75.peg.17"	1821.043304685	-0.500721506598417	0.349230926677546	0	1	1
"fig|536231.75.peg.18"	912.118958752367	-0.492695100781051	0.402610273998557	0	1	1
"fig|536231.75.peg.19"	2278.31361156366	0.0944483133155296	0.243733740761468	0	1	1
"fig|536231.75.peg.20"	917.82888792432	-0.142662485053762	0.25451220759777	0	1	1
"fig|536231.75.peg.21"	29.9191217049726	0.127405050403331	0.639855323461369	0	1	1
"fig|536231.75.peg.22"	553.591599252754	-0.16725886108187	0.270588292311547	0	1	1
"fig|536231.75.peg.23"	1377.54521092526	0.120619037328257	0.232049493120062	0	1	1
"fig|536231.75.peg.24"	30348.3580472915	0.19443067939804	0.320481215973755	0	1	1
"fig|536231.75.peg.25"	0.527181036863066	-2.63281338262862	3.99549178098513	-0.408663932284711	0.682786306018174	NA
"fig|536231.75.peg.26"	7.34555059972156	-5.39838210890325	1.5739597279321	-2.79446928078772	0.00519849795160262	0.0888618243602074
"fig|536231.75.peg.27"	22.224979232098	-1.44456147694628	0.801235682899767	-0.554844830845974	0.579000800027007	1
"fig|536231.75.peg.28"	2.67546201235441	-0.492801301005846	1.71800356194415	0	1	NA
"fig|536231.75.peg.29"	3.40544730040821	-0.767642303895688	1.82923604260832	0	1	NA
"fig|536231.75.peg.30"	18.5302914653566	-1.08177199471621	0.781175000216077	-0.104678202315215	0.916631158953312	1
"fig|536231.75.peg.31"	41.2672844372444	-1.32022732042937	0.480121632454593	-0.666971239750697	0.504790504322737	1
"fig|536231.75.peg.32"	4.49363408109937	-5.66207122771614	1.91653071461725	-2.43255753333815	0.0149926094304392	NA
"fig|536231.75.peg.33"	4.1962844979815	-1.34111904517082	1.54556423033144	-0.220708423808223	0.825319471954067	NA
"fig|536231.75.peg.34"	169.832528090032	-2.42952054823309	0.391302718783202	-3.65323438763302	0.000258957646267331	0.0065665485268716
"fig|536231.75.peg.35"	0	NA	NA	NA	NA	NA
"fig|536231.75.peg.36"	74.1179877316761	-3.18703799091913	0.723818285798273	-3.02152906859369	0.0025150149086871	0.0487673684963616
"fig|536231.75.peg.37"	20.5354050733694	-2.96931213967231	0.950274009319853	-2.07236241374403	0.0382316558314963	0.472222613479998
"fig|536231.75.peg.38"	1806.03159562833	0.0165733819170663	0.274224104332878	0	1	1
"fig|536231.75.peg.39"	1028.18060914105	0.403614075610449	0.297124165468711	0	1	1
"fig|536231.75.peg.40"	68.5655778284112	-0.326330809455688	0.58898517018994	0	1	1
"fig|536231.75.peg.41"	425.264749176832	-0.0375719169689666	0.444499591628944	0	1	1
"fig|536231.75.peg.42"	4.24072653722459	-0.379919830989955	1.47941786986276	0	1	NA
"fig|536231.75.peg.43"	127.570813362095	0.410305135697559	0.434586712045988	0	1	1
"fig|536231.75.peg.44"	541.990187942106	0.176852850482578	0.357729679930496	0	1	1
"fig|536231.75.peg.45"	873.301667347866	0.299710876243023	0.308390718968803	0	1	1
"fig|536231.75.peg.46"	7790.00983468631	1.7385608253471	0.272082560357066	2.71447322598648	0.00663812659300756	0.110031977162883
"fig|536231.75.peg.47"	14862.4029775597	2.02141933012152	0.314141849548325	3.25145895585106	0.00114814351818255	0.0245600085537484
"fig|536231.75.peg.48"	1727.44074917057	0.310724172550673	0.266813981812682	0	1	1
"fig|536231.75.peg.49"	2579.47871358771	0.00398781742276119	0.304455557211609	0	1	1
"fig|536231.75.peg.50"	89.5517238004943	-1.34249438414251	0.453389139982491	-0.755409324880905	0.450003419897513	1
"fig|536231.75.peg.51"	52.7649959231467	-0.710250500353957	0.508369996379348	0	1	1
"fig|536231.75.peg.52"	147.160154541817	-0.657370955772412	0.418179736698789	0	1	1
"fig|536231.75.peg.53"	332.04975744473	-0.254049190543681	0.372131818779217	0	1	1
"fig|536231.75.peg.54"	238.95527625289	-0.0873072753557073	0.353050370506119	0	1	1
"fig|536231.75.peg.55"	182.293973796686	-2.08836975605905	0.403459618757257	-2.69759278366312	0.00698428184270543	0.114776030797078
"fig|536231.75.peg.56"	134.55465279254	-1.8452088642977	0.415445184934244	-2.03446542395594	0.0419046913080864	0.507762857653996
"fig|536231.75.peg.57"	131.702713504115	-2.30419914807135	0.478618861485023	-2.72492217298912	0.00643166457862233	0.107073233354543
"fig|536231.75.peg.58"	309.341456983824	-1.77745906532502	0.373739161327072	-2.08021836021791	0.0375055089484873	0.465529789339603
"fig|536231.75.peg.59"	133.741467586234	0.194508693627084	0.455665672442741	0	1	1
"fig|536231.75.peg.60"	45.7780406336915	-2.19752914129577	0.586772865241974	-2.04087341496599	0.0412634109132759	0.501579683768042
"fig|536231.75.peg.61"	17.3566996549894	-1.23306136013857	0.845744574768486	-0.275569441521242	0.782878783287092	1
"fig|536231.75.peg.62"	1362.25251413971	-0.434057291758534	0.346275916826316	0	1	1
"fig|536231.75.peg.63"	735.559587165603	-0.454729153977607	0.334839439794942	0	1	1
"fig|536231.75.peg.64"	9.61359192165027	-1.41100332687805	0.975764715579224	-0.421211507565193	0.673600642060494	1
"fig|536231.75.peg.65"	14.0569949411815	-1.07884621889164	0.875238922460254	-0.0900853662563397	0.928219377969825	1
"fig|536231.75.peg.66"	34.5636654209892	-0.318034575780906	0.653757023480585	0	1	1
"fig|536231.75.peg.67"	9.48191400704479	0.500030288514256	1.127904390076	0	1	1
"fig|536231.75.peg.68"	63.7586324912299	-0.647397418598425	0.48991514000033	0	1	1
"fig|536231.75.peg.69"	60.6636416741054	-1.09380476768047	0.541647182719412	-0.173184262141853	0.862506593713576	1
"fig|536231.75.peg.70"	24.2325361886863	0.0929362379618237	0.727560465702245	0	1	1
"fig|536231.75.peg.71"	22.0060615374503	-0.149200144692798	0.656251880536316	0	1	1
"fig|536231.75.peg.72"	29.8079022636739	-1.65063728770358	0.6841909505048	-0.950958628177615	0.341625378082114	1
"fig|536231.75.peg.73"	20.7096211553239	0.264943380101824	0.672312427478999	0	1	1
"fig|536231.75.peg.74"	14378.7271777062	-0.175374907470356	0.312695337422642	0	1	1
"fig|536231.75.peg.75"	1772.71623556494	-0.263930045770557	0.233377912639124	0	1	1
"fig|536231.75.peg.76"	1590.05530474737	0.168526493094311	0.304078201526961	0	1	1
"fig|536231.75.peg.77"	9459.33917750309	-0.0741703132601038	0.234112375377104	0	1	1
