species	parameter	value	min	max
bh	bh_expA_mumax	1	0.1	2
bh	bh_expA_pHopt	6.523514811	5	8
bh	bh_expA_pHalpha	50	10	400
bh	bh_expB_mumax	1	0.1	2
bh	bh_expB_pHopt	6.523514811	5	8
bh	bh_expB_pHalpha	50	10	400
bh	bh_z1_r	0.01	0	3
bh	bh_z2_r	0.01	0	3
bh	bh_z3_r	0.01	0	3
bh	bh_z4_r	0.01	0	3
bh	bh_monod_trehalose	1	0.1	10
bh	bh_monod_pyruvate	1	0.1	10
bh	bh_monod_glucose	1	0.1	10
bh	bh_monod_glutamate	1	0.1	10
bh	bh_expA_ft1_trehalose_g	1	0	10
bh	bh_expA_ft1_acetate_g	-1	-10	0
bh	bh_expA_ft1_lactate_g	-1	-10	0
bh	bh_expA_ft2_pyruvate_g	1	0	10
bh	bh_expA_ft2_acetate_g	-1	-10	0
bh	bh_expB_ft3_glucose_g	1	0	10
bh	bh_expB_ft3_glutamate_g	1	0	10
bh	bh_expB_ft3_acetate_g	-1	-10	0
bh	glutamate_conc	1	0	10
bh	bh_z1_t1	1	0.0001	10
bh	bh_z1_t2	1	0.0001	10
bh	bh_z1_h1	1	0.0001	10
bh	bh_z1_h2	1	0.0001	10
bh	bh_z3_t1	1	0.0001	10
bh	bh_z3_t2	1	0.0001	10
bh	bh_z3_h1	1	0.0001	10
bh	bh_z3_h2	1	0.0001	10
