geneID	bt_t12_A	bt_t12_B	bt_t12_C	btri_t12_btA	btri_t12_btB	btri_t12_btC
BT_1509	1961.326	1776.365	2354.809	4468.757	5094.709	3951.616
BT_1510	2357	2084	2390	1663	1336	1266
BT_1511	30	11	15	32	22	22
BT_1512	382	239	329	358	383	290
BT_1513	1877.674	1519.635	1981.191	4219.485	4332.968	3809.384
BT_1514	0	0	0	0	0	0
BT_1515	0	0	0	0	0	5
BT_1516	8	14	4	42	63	40
BT_1517	176	98	94	241	253	221
BT_1518	26	31	54	66	24.836	66.773
BT_1519	105	87	119	104	78.164	68.227
BT_1520	0	0	0	1	1	1
BT_1521	482.504	393.385	595.718	600.147	673.324	793.513
BT_1522	1679.744	1440.751	2247.282	2363.248	2748.086	2994.073
BT_1523	774.718	867.825	949	399.707	602.187	604.695
BT_1524	367.216	352.039	280	493.121	771.243	829.684
BT_1525	1215.186	1205.001	1486	638.255	968.048	1065.5
BT_1526	34227.633	30493.999	37896	21312.487	27217.967	26910.26
BT_1527	928	700	683	1187.974	928	881.113
BT_1528	729	758	945	667	818	932.888
BT_1529	4195	3346	3911	5226.064	4848	4803.705
BT_1530	5556	4157	5084	4055	5004	4526.295
BT_1531	2228	1674	1817	1887.876	1532	1518.858
BT_1532	442	393	564	304.553	432.937	383
BT_1533	595	645	667	331.913	467.061	393
BT_1534	170	165	118	54.672	81.001	80
BT_1535	574	482	503	266.114	285.558	288
BT_1536	2949	2565	2510	1851.748	2274.405	3195
BT_1537	60323.164	39443.589	67695.564	78624.542	80379.45	82166.947
BT_1538	7764.836	6921.298	6957.436	3084.263	3497.377	3267.86
BT_1539	5256.813	3755	4294	3411.823	3238.004	2719.79
BT_1540	1205.959	1116.32	857.001	513.204	335.98	636.975
BT_1541	1032.227	906.68	1288.999	163.973	134.016	178.233
BT_1542	62366	50190.417	59414	105046.09	98113.059	89199.81
BT_1543	2739	2426.008	2567	3564.649	4755	3415.04
BT_1544	2781.231	1871.992	2057.749	3527.86	2948.644	3183.841
BT_1545	367.769	338	127.251	193.557	161.475	166.159
BT_1546	29	15	16	14	15	27
BT_1547	113	82	100	337	298	318.001
BT_1548	17323.705	16202	18209	15123.017	16782	17398
BT_1549	6145.339	5552.697	6944.29	6790.967	7120.434	7143.495
BT_1550	7128.661	6494.303	6335.71	6757.371	7872.076	7053.953
BT_1551	2254	2464.452	2023	2498.59	2492.827	3591.518
BT_1552	2524	1956.548	2043	2454.493	1930.591	2450.67
BT_1553	169	140	171	272.117	280.581	330.813
BT_1554	663	593	411	3348	2717	3296
BT_1555	16657	11961	15746	25169.066	21866.36	18661.872
BT_1556	1111	932	773	3710.972	3352.415	2914.204
BT_1557	1155	908	1064	1690.206	1510.336	1209.38
BT_1558	4630.469	3906.413	5062.013	7201.64	6808.18	7135.486
BT_1559	785.531	575.587	753.987	776.154	845.484	934.26
BT_1560	7714.666	6538.67	6782.655	5268.308	5800.361	5696.902
BT_1561	2999.334	2282.33	1792.345	2045.696	2025.639	2033.098
BT_1562	434	271	274	619	450	607
BT_1563	1031.684	842	982.08	1282.282	1447.134	1208.268
BT_1564	795.316	810	866.92	585.718	638.866	642.732
BT_1565	30	51.058	29	126	88	112
BT_1566	5021	3764	4947	13107.43	13244.586	11292.847
BT_1567	1676.449	1646	1995	1241.677	1598.975	1749.668
BT_1568	432.277	276.72	342.521	318.776	280.656	199.901
BT_1569	1899.274	1439.28	1875.479	2646.354	3466.344	2948.099
BT_1570	142	120	196	103	105	98
BT_1571	3	12	16	2	6	2
BT_1572	9918	7145	9624	352	248	355
BT_1573	16811	16294	18530	24996.511	24940.717	22898
BT_1574	5183.575	6572	4993	3350	5006	5750.021
BT_1575	11821	9385.452	13836	5488.856	5947.09	6438.709
BT_1576	38712.215	29610.47	38405.12	33985.822	32063.152	33187.057
BT_1577	4044.107	2942.055	3782	2113.205	1815.128	2382.293
BT_1578	1813.764	1571.373	1573	597.258	503.857	725.134
BT_1579	7863.634	7150.699	7719.382	4347.915	5046.411	5018.692
BT_1580	3955.048	2545.95	3500.613	4418.517	3020.089	3447.603
BT_1581	398	205	237	376	348	309
BT_1582	470	445	405	209	203	271
BT_1583	5554	4636	5988	12886	15900	15497.769
BT_1584	6	6	7	5	15	11
BT_1585	24	19	26	11	15	32
BT_1586	0	12	4	5	2	0
BT_1587	766.842	647.538	565	249.151	247.002	229
BT_1588	563.158	346.462	363	258.849	304.998	247
BT_1589	0	0	0	0	0	0
BT_1590	131	110	75	53.469	52	46.852
BT_1591	144	142	108	67.531	72	73.148
BT_1592	14573	11756	14957	24287.458	26217.09	24406.109
BT_1593	1899	1690	1431	1304	1003	1237
BT_1594	509	459	475	312	238	354
BT_1595	9251	8110	7285	6711	6060.092	8744
BT_1596	164	124	69	83	69	98
BT_1597	533	413.727	302	734.033	583	756.802
BT_1598	367	338.273	227	390.967	322	500.198
BT_1599	413.703	399	395	245.512	266	344.8
BT_1600	2603.297	2114	2172	2683.213	2492.014	2539.2
BT_1601	12053	10162	11559	10478.339	10660.985	11213.502
BT_1602	690.678	351.242	1235.364	201.232	211.647	182.692
BT_1604	419	360.77	361	241.151	218.473	202.773
BT_1605	102	57.23	172	66.199	48.148	91.222
BT_1606	320	245	458	246.651	223.379	239.004
BT_1607	1787	1437	1466	2000	1730	1784
BT_1608	43	29	16	11	17	25
BT_1609	41	51	67	51	50	44
BT_1610	9697	8674	8739	10400	10847	10122
BT_1611	10	20	1	3	2	10
BT_1612	135	132	101	158	93	151
BT_1613	2633.345	2269	1859	2227.52	2067.006	2183.802
BT_1614	55	50	36	49.756	57.994	51.198
BT_1615	15481.964	13785.973	15883	8919.142	8877.03	9277.953
BT_1616	105.036	86.027	106	61.858	55.97	91.047
BT_1617	229	150	154	109	68	91
BT_1618	76	74	60	59	49	66
BT_1619	80	60	64	107	79	100
BT_1620	24	32	26	46	48	40
BT_1621	296	167	166	468	413	340
BT_1622	254	210	254	369	372	341
BT_1623	7816	6950	10830	11889.617	13089	11795
BT_1624	711	732	804	1822.077	1961.898	1689.921
BT_1625	697	623	541	1988	2117.102	2093.079
BT_1626	438	318	513.73	1571.01	1191.474	1306.003
BT_1627	335	286	360	584	595.526	556
BT_1628	331	320	340	1290	857	971
BT_1629	65	20	43	94	81	78
BT_1630	29	31	34	68	86	75
BT_1631	140	108	147	450	450	517
BT_1632	110	89	107	263	194	243
BT_1633	670	617	789	960	826.554	786.677
BT_1634	1629	1204	1680	1291	1365.446	1324.323
BT_1635	5503	4046	4036	5212	4192.006	3957
BT_1636	410	357	508	533	582	601
BT_1637	1	6	2	4	0	4
BT_1638	60	48	61	113	128	124
BT_1639	362	320	404	183	133	133
BT_1640	16	1	2	12	14	11
