geneID	bt_t12_A	bt_t12_B	bt_t12_C	btri_t12_btA	btri_t12_btB	btri_t12_btC
BT_0001	145	106	109	94	70	59
BT_0002	89	65	41	80	103	64
BT_0003	47	14	19	30	16	42
BT_0004	10	6	35	2	4	7
BT_0005	6	11	18	7	8	3
BT_0006	0	0	0	0	0	0
BT_0007	0	0	0	1	2	0
BT_0008	403	389	521	328	296	301
BT_0009	179	155	219	658	705	572
BT_0010	66	38	67	81	49	79
BT_0011	28	16	28	30	23	18
BT_0012	463	307	463	895	799	662
BT_0013	26	57	31	65	57	89
BT_0014	135	165	126	366	354	256
BT_0015	3	2	9	42	53	46
BT_0016	5	3	6	7	20	11
BT_0017	25	6	0	17	19	16
BT_0018	45	17	46	162	171	134
BT_0019	0	0	0	0	0	0
BT_0020	0	0	0	1	3	3
BT_0021	0	0	0	0	0	1
BT_0022	8	19	26.671	20.989	25.991	23.993
BT_0023	0	0	0	0	0	0
BT_0024	44	31	69	75	151.571	67
BT_0025	10	3	4	6	4	3
BT_0026	4	3	0	5	0	5
BT_0027	48.42	3	8	41	10	15
BT_0028	59	42	49	39.872	32	31
BT_0029	495	477	616	351.128	438	500
BT_0030	209	213	228	134.001	176	187
BT_0031	84	33	74	53	43	44
BT_0032	0	2	0	0	0	0
BT_0033	85	26	80	41	40	45
BT_0034	81	33	62	91	76	91
BT_0035	2	0	0	0	0	0
BT_0036	24	11	32	50	44	47
BT_0037	392	295	335	581.054	370	449.985
BT_0038	24	23	11	6.946	3	6.015
BT_0039	88	83	96	44.623	43	60
BT_0040	185	193	207	183.377	159	145.887
BT_0041	365	262	370	251	289.999	298.854
BT_0042	131	103	106	49	50.001	20.259
BT_0043	0	4	3	0	0	0
BT_0044	37	22	36	20	21	29
BT_0045	68	66	67	83.911	46.006	81.798
BT_0046	143	109	152	164.106	193.994	165.202
BT_0047	22	22	23	10	8	10
BT_0048	39	6	35	10	15	16
BT_0049	90	123	121	71	88	77
BT_0050	130.034	72	112	129	159	142.999
BT_0051	65.966	88	72	54	55.13	94.001
BT_0052	933	561	1129	1199	974.719	960.726
BT_0053	234	226	236	189	151.151	150.274
BT_0054	100	83	125	106.011	99	143
BT_0055	159	117	156	88.989	86	119.414
BT_0056	285	238	230	239	275.302	208.694
BT_0057	108	104	105	88	144.698	102.892
BT_0058	2197	1645	2560.323	3723.771	4691.164	3105.66
BT_0059	1509.065	1264	1835.722	2168.894	2536.836	1860.262
BT_0060	489	446	541	840.483	784	624.349
BT_0061	2632	1890	2816	4623.853	4366	3459
BT_0062	3	0	3	0	0	0
BT_0063	0	0	7	2	5.103	3
BT_0064	1456	1213	1752	1654	1440.897	1397.977
BT_0065	2739	2045	2509	3949	4176.992	3041.023
BT_0066	304	268	261	189	213	167
BT_0067	16	17	23	22	8	14
BT_0068	178	100	202	187	134	234
BT_0069	508	511	359	279.787	365.993	387
BT_0070	554	533.181	629	445.482	398.007	532.987
BT_0071	1141	972.819	1255	1056.791	1194	1066.013
BT_0072	1122.477	952.239	1050.007	738.62	677.565	677.74
BT_0073	44056.151	34131.153	42742.885	120789.386	127728.3	95150.062
BT_0074	7118.388	4923.608	6207.108	19551.54	18143.637	14813.782
BT_0075	23	7	13.329	32.011	31.009	36.007
BT_0076	44	22	53	29	15	33
BT_0077	47	24	32	27	36	40
BT_0078	0	0	1	3	0	1
BT_0079	0	0	3	0	0	0
BT_0080	0	0	0	0	0	0
BT_0081	0	0	0	0	0	0
BT_0082	554.303	477	277	226	268	256
BT_0083	755.697	630	576	236	251	294
BT_0084	64	31	49	192	218	162.736
BT_0085	15	4	7	16	23	23.767
BT_0086	65	11	35	48	38	26.496
BT_0087	61	42	42	131	124	95
BT_0088	2	3	1	3	2	3
BT_0089	0	0	1	1	6	7
BT_0090	21	35	65	33	59	45
BT_0091	5	7	6	3	8	4
BT_0092	0	0	0	0	0	1
BT_0093	2	22	14	22	23	14
BT_0094	14	17	18	31	9	10
BT_0095	0	0	0	2	0	1
BT_0096	39	25	29	102	71	65
BT_0097	0	4	1	2	0	0
BT_0098	15	17	7	26	31	17
BT_0099	0	0	0	0	0	0
BT_0100	0	0	0	0	0	0
BT_0101	3	9	0	12	8	4
BT_0102	22	11	14	17	16	27
BT_0103	0	0	2	8	0	3
BT_0104	0	0	0	0	0	0
BT_0105	57	32	59	94	97	79
BT_0106	1071	711	862	1970	1216	1465
BT_0107	8	3	2	7	10	7
BT_0108	13	5	18	41.281	48	49
BT_0109	0	5	0	8.719	3	0
BT_0110	5	3	8	8	6	5
BT_0111	69	22	33	231	195	131.002
BT_0112	63	41	53	58	32	17
BT_0113	28	52	22	41.512	9	27.266
BT_0114	132	101	172	289.488	175	226.734
BT_0115	3	4	2	13	7.597	6
BT_0116	66	62	30	34	44.403	38
BT_0117	14	3	10	2	7	5
BT_0118	15	10	6	9	5	10
BT_0119	2	0	0	0	0	3
BT_0120	0	0	0	4	2	2
BT_0121	540	422	417	323	250	222
BT_0122	38120.995	28370	30370	62373.427	53209.714	44934.491
BT_0123	4	6	5	6.002	5	5
BT_0124	48	34	30	42.998	45	42
BT_0125	527	375	404	296	341	348
BT_0126	4005	3508	4046	4918	5346.916	4875.846
BT_0127	739	701	773	668	689	806.154
BT_0128	65	83	66	168	193	169
BT_0129	88	46	94	59	44	74
BT_0130	30	23	38	15	19	16
BT_0131	0	0	0	0	0	0
BT_0132	498	426	417	629	503	527
BT_0133	6733.216	5099.697	6131	21005.947	17352.48	15522.978
BT_0134	624.197	584.666	461	342.547	318.353	488.589
BT_0135	7813.588	7726.637	7098	5210.055	6596.767	5601.824
BT_0136	631	629	782	1341	1035	1173
BT_0137	71	40	73	80	110	67
BT_0138	9546	7786	9530.954	22441.639	18512	16856.965
BT_0139	0	0	2	0	1	4
BT_0140	284	258	270	522.716	543	536
BT_0141	136	105	140	297.284	236	351
BT_0142	129.701	124	109	96	151.239	120.124
BT_0143	503.299	401	495	490.002	398.761	451.876
BT_0144	13	23	7	3	8	19
BT_0145	65	23	35	45	60	47
BT_0146	112	122	139	204	183	179
BT_0147	32096.484	33228.56	37145	24092.255	29441.857	31318.577
BT_0148	22163	16648	27087	37458.694	36177.555	37219.841
BT_0149	936	914.652	907	947.513	1087	927.672
BT_0150	4113	3348.348	3519	3376.487	3106	3262.328
BT_0151	2014.773	1506.88	1738	2193.84	2216.897	1705.172
BT_0152	1367.227	1097.12	1131	1474.16	1257.103	1208.828
BT_0153	2101.248	2002.299	1604	1976.002	2031.19	1586.825
BT_0154	14436.752	13484.701	10249	15118.022	13835.995	13919.215
BT_0155	40375	31320	42887	38800.66	54068.533	55127.28
BT_0156	3199.003	2542	3186	3521.665	3834.95	3556.167
BT_0157	14860.915	13308	14105.812	13383.386	11611.349	16791.308
BT_0158	6085.085	4628	4807.188	8876.476	7704.307	6832.846
BT_0159	6361	4338.131	6074.11	6217.048	5970	5479.705
BT_0160	3899	2164	1563	999	691	799
BT_0161	1630	1393	1764	1868	1735	1781
BT_0162	10289	7858	9791	34645.403	28379.865	23326.638
BT_0163	861	542	848	1135	1436.472	939.059
BT_0164	72494	55764.148	66378	93323.521	82143.21	73027.184
BT_0165	2190	1812	2343	2905	2973.79	2645
BT_0166	3019	2411	3181	4863.104	6587.21	4615
BT_0167	1126.456	990.017	1053.493	438.561	404.398	402.82
BT_0168	2208.544	1632.983	1283.507	1000.439	625.602	750.18
BT_0169	2425	1959	2224	2057.295	1977.725	2486.896
BT_0170	12369	7771	5308	5071.705	2090.275	3033.151
BT_0171	7	3	1	9	8	5
BT_0172	42	51	56	55	50	39
BT_0173	4822.235	4734.353	5585.881	3864.117	4763.22	4411.673
BT_0174	3001.765	3288.647	3574.119	2390.883	3797.78	2947.327
BT_0175	182	61	127	1277	968	995
BT_0176	906	582	603	1648.566	1691	1390.969
BT_0177	6082.562	6166.209	4933	4587.034	6161.24	6141.804
BT_0178	2337.601	2790.926	2457	1742.855	2404.286	2334.962
BT_0179	2394.838	2177.074	2124	1552.052	2137.457	2247.586
BT_0180	29521.438	23022.378	32055.278	33149.218	35236.61	31322.201
BT_0181	735.562	550.622	888.962	456.578	619.84	636.063
BT_0182	381	349	414	554	538	505
BT_0183	13152.056	8959.171	10648	6323.711	4248.279	3764.257
BT_0184	6033.944	4910.829	4323.002	2213.67	2106.721	2373.027
BT_0185	1867.38	1139.797	2387	1192.257	933.929	934.565
BT_0186	34424.62	28683.203	42691.802	55328.272	56626.176	54317.317
BT_0187	7274	5855	7047	13188.927	11182.129	13037.791
BT_0188	3706	2696	3685	3844.02	2582.601	2721
BT_0189	60	70	49	81	61	89
BT_0190	65	53	64	99	115	87
BT_0191	29	22	33	30	44	41
BT_0192	409	222	281	809	738.04	645.837
BT_0193	44	66	49	42	84.96	83.163
BT_0194	47	72	34	63.077	55	68
BT_0195	126	102	132	135.923	128	131
BT_0196	8	11	6	20	10	11
BT_0197	320	237	223	316	238	286
BT_0198	615	777.598	699	729	974.102	862
BT_0199	1047	914.402	983	1491	1612.898	1795
BT_0200	3036.297	2691.53	2680	1962.97	2014.181	1992.114
BT_0201	3518.197	3362.581	3468.064	2971.144	2925.205	2879.063
BT_0202	857.506	805.876	1179	251.302	291.613	390.823
BT_0203	2387	2236.206	2697	2342.687	2619.747	2182.173
BT_0204	155	241.794	175	89.313	65.253	79.427
BT_0205	3995	3889	3521	3136.04	3511	3711.276
BT_0206	64	82	73	216	250	207
BT_0207	9	0	29	21	15	5
BT_0208	14	1	9	14	1	17
BT_0209	57	36	23	45	50	68
BT_0210	104	94	113	124	102	110
BT_0211	73	62	95	120	105	125
BT_0212	169	169	150	206	207	166
BT_0213	24	8	43	42.071	53	39
BT_0214	38	21	18	337.929	316	260
BT_0215	41002.882	33862.011	42177	10823.458	11567.767	13279.661
BT_0216	12386.118	11345.989	13232	5501.343	6211.233	7440.339
BT_0217	4806	5130	4939	5406.199	5765	4421
BT_0218	656	579	587	381	364	445
BT_0219	322	311	282	119	126	124
BT_0220	0	0	3	0	0	0
BT_0221	504.045	409.346	543.512	467.6	610.198	384.353
BT_0222	551.955	489.654	804.488	453.4	374.802	503.998
BT_0223	173	128	112	249	192	253.649
BT_0224	1667.902	1520.007	1525	2434.202	2734.595	2040.018
BT_0225	3722.098	2288.015	5325	8731.441	13711.235	16700.859
BT_0226	1498.437	1082.118	916	416.312	408.083	433.005
BT_0227	38394.563	32706.86	39337	28878.335	31989.881	36349.181
BT_0228	23	33	28	44	38	51
BT_0229	24	24	42	64	64	51
BT_0230	88	58	93	185.566	129	131
BT_0231	43	40	49	60.434	50	66
BT_0232	118	107	44	49	38	47
BT_0233	77	60	71	57.079	52	54
BT_0234	202	151	82	259.921	204	295
BT_0235	35	27	27	61	65	62
BT_0236	5136.232	4346.083	5398	4239.158	4732	5032.721
BT_0237	9088.201	8166.917	9481	5039.34	5513.162	7142.596
BT_0238	4455	4483	4241	2442.502	3020.837	3437.609
BT_0239	7367.048	5809.799	6043.825	4803.458	4656.956	4974.92
BT_0240	991.952	666.201	547.175	1360.777	1221.296	1152.097
BT_0241	13889.895	10105.315	12575	7404.616	7135.161	8909.6
BT_0242	29180.105	22601.685	18328	99556.281	149142.558	119696.809
BT_0243	2894	2339	2901	2505	1945	2460
BT_0244	5759	4000	5992	18937.8	19058.932	16925.283
BT_0245	6228	4875	5861	7457	7491	7654.988
BT_0246	792	547	873	1741.014	1274	1550
BT_0247	2290	1538	2681	3470	2818	3207.628
BT_0248	873	786.112	809	1249.113	1087.052	1704.784
BT_0249	27958.909	18315.946	27282.415	42898.256	36767.593	34060.637
BT_0250	9329.369	8061.449	7081	9838.255	10142.496	10458.827
BT_0251	8062.721	6468.992	7037	7532.522	6777.577	6898.537
BT_0252	9920	8328	10067	13795.729	16063	13938.692
BT_0253	579	383	337	403.08	429.929	444.529
BT_0254	3067	2274	2329	2764.167	2654	2797
BT_0255	92	58	66	95.536	127.687	110.691
BT_0256	158	115	171	288.464	182.313	242.309
BT_0257	13875	12781	10461	12986.768	12964.192	13396
BT_0258	44893	38826.096	47376	29865.271	35063.118	34937.679
BT_0259	5455	4458.198	5687	16964.774	11720.998	10573
BT_0260	11035.556	7968.87	11803.018	11254.794	8188.612	10658.359
BT_0261	970.444	858.932	694	772.614	695.388	909.781
BT_0262	0	7	6	16	12	10
BT_0263	53	34	37	76.002	71	46
BT_0264	27	50	12	44	48	42
BT_0265	17	5	8	26	12	21
BT_0266	9	11	2	23	7	13
BT_0267	1378	1283	855	1971.944	1667	1821
BT_0268	109	109	56	92	136	131
BT_0269	47	50	36	84	64	66
BT_0270	1	2	9	4	1	10
BT_0271	6	29	10	6	5	15
BT_0272	76	52	115	150	117	128
BT_0273	30	29	24	55	61	61
BT_0274	3	8	0	6	15	3
BT_0275	268	215	312	363	337	372
BT_0276	192.276	192.262	213	364.053	341.024	312.188
BT_0277	214.724	238.738	151	355.947	305.976	369.963
BT_0278	96	78	42	119	133	133.849
BT_0279	3	0	0	4	0	4
BT_0280	162	173	155	193	180	157
BT_0281	98	71	121	58	65	100
BT_0282	50	68	47	71	81	78
BT_0283	0	0	0	0	0	0
BT_0284	388	265	282	660	783	601
BT_0285	410.484	428	369.897	1081	1137.923	1005.386
BT_0286	66.516	91.358	69.103	70.661	66.565	73.182
BT_0287	41	27.642	91	32.454	17.724	29.433
BT_0288	131	110	134	194.885	207.788	206
BT_0289	1104	967	772	387	281	351
BT_0290	624	577	529	870	1124.054	1007
BT_0291	299	214	304	463	446	489
BT_0292	34	59	42	26	38	43
BT_0293	29	25	58	39	43	36
BT_0294	15	20	15	35	34	51
BT_0295	6076.158	4704	5079.985	4755.844	3996.902	3732.475
BT_0296	346.842	306	333.015	471.156	433.098	522.525
BT_0297	26	28	30	69	53	82
BT_0298	17	31	27	40	27	32
BT_0299	201	145	188	339.423	404	364
BT_0300	214	262	222	672.577	711.889	542
BT_0301	40	47	57	95	99.111	92
BT_0302	58	39	63	215	196	143
BT_0303	4990	3993	4835	4663	3996	4070
BT_0304	4021	3434	4046	9924.234	9631.333	10029.532
BT_0305	7596.962	6189	8608.665	13919.776	13874.852	13329.638
BT_0306	1553.145	1417	1894.335	2206.298	2320.228	2488.665
BT_0307	20949.893	18321	23433	24675.727	27002.356	25819.844
BT_0308	97	164	127	147	182	226
BT_0309	6343.993	5612.42	6222	11737.444	13645.659	12442.452
BT_0310	2542.007	1977.58	2593	3212.26	3167.341	2801.98
BT_0311	57697.938	42156.725	52463	105182.785	79390.83	85101.123
BT_0312	18301.051	15912.275	17678	11273.388	10819.325	11731.067
BT_0313	2331	1934	3086	2028.272	2589.903	2440.306
BT_0314	683	628	484	270	270	374.004
BT_0315	26319	23380	26910	29004.023	34496.912	32718.48
BT_0316	14218.233	13048	9133	7882.028	7261.259	6464.182
BT_0317	1809	1179	1149	936	724	1046
BT_0318	59.998	118	99	61	94.686	83
BT_0319	4.002	1	11	5	5.314	9
BT_0320	608.878	588	498	524.113	525.049	647.377
BT_0321	456.122	388	389	226.898	290.951	362.152
BT_0322	12070.567	9159	11917	16211.964	17151.957	14549.373
BT_0323	5246.194	4149	4452	8194.663	5691.061	5652.931
BT_0324	530.089	480.919	517	601.715	588.264	573.361
BT_0325	1504.15	1177.081	1449	1049.045	1089.007	1339.86
BT_0326	2865	1805	2428	2485.597	2262	2589.677
BT_0327	2007.857	1529.411	1948.37	1550.067	1192.518	1401.558
BT_0328	30698.324	23169.589	23142.63	22363.192	16198.473	17105.733
BT_0329	2416	2634.924	2730	1942.684	2144.824	2548.015
BT_0330	9801	8600.076	10483	7953.316	8101.634	7780.789
BT_0331	16023.97	15093.997	16115	8513.094	8938.083	10235.77
BT_0332	306.03	225	299	270.976	326.372	366.025
BT_0333	1733.434	1584.266	1114	1123.406	813.996	1160.626
BT_0334	2130.566	1643.736	1432	2161.517	2323.548	2863.378
BT_0335	1194.472	1063	1247.133	1275.729	1847.135	1751.288
BT_0336	1174.528	891	1070.867	2906.271	2895.865	2538.712
BT_0337	459	530	492	415	409	395
BT_0338	76	64	61	142	208	151
BT_0339	89	75	87	102	89	81
BT_0340	32	27	27	48	50	35
BT_0341	26	26	28	39	37	39
BT_0342	27	24	17	41	29	36
BT_0343	41	11	22	73	65	54
BT_0344	346	396	351	219.801	261.943	289.601
BT_0345	455	369	435	627.199	705.057	566.399
BT_0346	5635.526	4262.682	6346.502	13378.126	10374.495	13738.951
BT_0347	25932.474	23780.078	28956.498	18355.259	19917.87	19454.325
BT_0348	59	48	45	36	38	47
BT_0349	34	7	6	50	75	50
BT_0350	640	421	458	592.541	428	432
BT_0351	2327	1894	2473	1485.323	1411	1306
BT_0352	251	203.65	266	210.688	223	186.453
BT_0353	503.503	435.35	668	302.272	255.669	280.408
BT_0354	428.497	318	514	264.065	209.362	282.593
BT_0355	2268	1828	2194.069	2429.101	2770.037	2357.66
BT_0356	1327	1031	994	469.552	456	663.886
BT_0357	44	44.997	0	304.6	360.797	233.165
BT_0358	6739.88	5988.693	6625.031	15426.063	14810.985	11645.595
BT_0359	1406.791	1366.613	1499.707	874.159	567.946	1016.408
BT_0360	12	15	7	15	6	11
BT_0361	3	8	3	12	13	5
BT_0362	9	19	15	26	14	6
BT_0363	4	7	7	7	10	24
BT_0364	38	14	41	53	79	34
BT_0365	61	52	38	91	93	69
BT_0366	428	300	396	562	501	482
BT_0367	11	5	4	8.027	10	9
BT_0368	443	315	285	960.973	845.654	758
BT_0369	94	38	70	71	54.346	75
BT_0370	3863.393	3999.002	5014	2371.694	2211.741	2494.398
BT_0371	4184.974	4172.781	5264	2380.3	3139.511	2943.662
BT_0372	15535.39	11245.218	10627	13131.657	7821.232	10622.948
BT_0373	7232.647	6392	7917	9285.967	10643.589	9530
BT_0374	5760	4971	5611	3747.936	4154	4412
BT_0375	433	332	393	424	402	307
BT_0376	1428	1144	1417	1364.621	1304.562	1478.065
BT_0377	315.456	309.625	162.001	471.822	484.531	485.686
BT_0378	1084.653	806.021	904.294	688.555	664.903	719.281
BT_0379	675.814	474.156	503.51	264.703	234.98	336.409
BT_0380	338.892	299.883	293.979	254.324	210.377	214.323
BT_0381	610.65	420	501	250.803	280.999	249.759
BT_0382	352.216	401	301	90.549	103.001	185.477
BT_0383	267.134	196	386	150	193	170.258
BT_0384	88	81	79	49.869	53	83.352
BT_0385	287	227	207	89.131	113	78.648
BT_0386	466	321	420	435	275	276.746
BT_0387	82	69	88	29.028	28.221	37.254
BT_0388	71	34	32	193.992	156.629	155.024
BT_0389	2	25.982	6	15.98	19.154	16.976
BT_0390	143	81.018	97	56	49	51
BT_0391	151	118	97	81	111	98.322
BT_0392	243.997	214.504	207	155.87	227.008	150.671
BT_0393	56.003	87.496	46	60.529	95.992	67.662
BT_0394	419	189	228	460.601	577	350.345
BT_0395	11	18	10	3	0	1
BT_0396	82	110	67	82	65.988	86.043
BT_0397	194	108	93	272	232.012	215.957
BT_0398	83	70	77	86	88	109.216
BT_0399	75	62	63	53.997	62	91.784
BT_0400	120.444	86.523	182.869	54.003	73	72
BT_0401	4	4	0	9	6	6
BT_0402	16	5	0	6	8	10
BT_0403	4	0	2	8	7	16
BT_0404	24	38	20	26	25	20
BT_0405	0	3	0	0	1	2
BT_0406	632.009	542.04	588.726	179.874	111.904	214.374
BT_0407	194272.215	108900.156	104004.551	164246.333	76327.354	81181.116
BT_0408	9911.262	5744.782	6984.642	25703.107	18791.812	18688.993
BT_0409	33573.284	28422.999	37503	48683.75	58094.129	46438.787
BT_0410	11413.716	9571	11260	14060.16	16051.575	16291.904
BT_0411	13467.43	11258	13006	11646.948	13111.936	10919.228
BT_0412	10798.419	10004.21	12324.688	8680.157	10551.403	10136.888
BT_0413	9395.151	7145.22	8859.312	10666.386	10624.019	10270.313
BT_0414	6742	5642.57	6514	7164.879	8203.778	8019.763
BT_0415	8593.334	7387.213	9648.482	10484.768	12886.535	11851.354
BT_0416	3977.328	3360.787	4675.518	3707.516	3775.561	4107.915
BT_0417	679	817	778	1555.715	1688.206	1923.958
BT_0418	34757.999	37275.004	44240	17530.033	21224	20178.15
BT_0419	6296.818	4164	6578	6700.176	7372.555	6823.451
BT_0420	3014.703	2618	3549	4551.343	6963.557	5890.137
BT_0421	15629.478	13472	16176	18781.249	21746.529	21025.154
BT_0422	35403.749	33316.316	41410.026	29675.072	35564.917	35327.222
BT_0423	4742.872	4682.684	5975	2368.523	2690.963	3413.385
BT_0424	6728.849	5147.931	3791	4927.438	2963.665	3833.587
BT_0425	2044.151	1577.069	1977	1978.571	1658.322	2454.413
BT_0426	1746	1598	1234	7395	5637.605	5759.117
BT_0427	133	107	122	182	185	201
BT_0428	7867.614	5239	6850	17504.365	14059.606	13193
BT_0429	678.609	660	822	363.35	439.497	580.449
BT_0430	7080.157	5974	6291	5823.721	6322.662	6549.585
BT_0431	929	776	679	517.449	515	554.966
BT_0432	106	84	61	106	97	74
BT_0433	4423	3144	2785	7099	5728	5753
BT_0434	7	15	18	49	113	86
BT_0435	42	48	40	32	30	43
BT_0436	104	117.203	128.981	151.767	164	145.132
BT_0437	1	21	11	18	35	38
BT_0438	17	9	12	22	5	20
BT_0439	147.999	113	137	206	239	188
BT_0440	13.001	18.445	31	24	28	37
BT_0441	53	69.555	40	60.582	71.624	60.737
BT_0442	104	80	68	73.418	65.376	79.263
BT_0443	0	1	12	8	0	1
BT_0444	109	115.255	97	76.185	106.143	99.353
BT_0445	867	861.745	701	1009.82	674.857	697.647
BT_0446	37	23	71	53	57	36
BT_0447	95	69	95	80	99	55
BT_0448	17	19	27	43	26	33
BT_0449	56	63	54	103	144	106
BT_0450	66	44	63	38	51	54
BT_0451	57	26	45	66	79	80.464
BT_0452	325	228	251	431	477	363.536
BT_0453	37	43	79	73	112	90
BT_0454	26	14.797	50.019	7.233	17	12.868
BT_0455	9034.503	6114.849	7694	21389.568	13230.606	12816.759
BT_0456	665.497	683.151	828	1042.245	1172.366	1138.076
BT_0457	367	322	392	717.934	717.22	639.171
BT_0458	12258	10494	11267	11451.002	11185.136	10654.003
BT_0459	330	222	417	364	392	405
BT_0460	204	203	210	290.409	307.776	318.845
BT_0461	190	150	192	378	374.224	351.155
BT_0462	1104	706	907.112	944	670	946
BT_0463	233	230	238.888	454	446	542
BT_0464	41	63	55	40.673	21.507	60.488
BT_0465	30	48.56	22	44.325	70.493	93.172
BT_0466	47	39.44	23	17.001	17	24.34
BT_0467	27	38	21	27.808	20	28
BT_0468	23	48	31	19.905	24	20.697
BT_0469	17	10	12	14.288	15	11.303
BT_0470	22	36	30	19	18	18
BT_0471	23	21.885	44	24	26	39.524
BT_0472	11	21.115	2	16	40	41.476
BT_0473	20	12	10	19	23	36
BT_0474	22	17	30	63	76	67
BT_0475	33	19	32	46	54	59
BT_0476	403	285.98	290	246	368.96	318
BT_0477	2	1.02	3	7.629	4.04	8.156
BT_0478	64	35	36	128.371	75	73.844
BT_0479	7.523	8.998	6	7	0	5
BT_0480	33.477	19.002	2	5	16	20.107
BT_0481	22.987	11	13	20	40.334	18.381
BT_0482	217.013	133	144	238.111	209.666	157.512
BT_0483	2353	1713	2672	1683	1824	1937
BT_0484	904	745	907	732	847	750
BT_0485	484.695	571.716	370.293	972	757	769
BT_0486	8342	6183.452	9261	5130.8	6061.823	7116.141
BT_0487	3208	3014.51	2201	1148.2	1085.177	1466
BT_0488	10356.853	11207.683	10498.444	6115.069	10227.724	10015.42
BT_0489	6441.147	6075.816	7561	2868.997	3665.276	3655.58
BT_0490	230	156	151	464	182	374
BT_0491	138.273	200.058	125	164	164.108	139.782
BT_0492	737.727	549.942	744	269.12	237.95	187.288
BT_0493	6253	4515.844	6516.058	7051.88	4978.149	4007.004
BT_0494	7065	5215.156	6621	2987.004	3054.991	2959.726
BT_0495	5685.445	4930.089	6500	3055.374	2887	3264.69
BT_0496	2657.682	2330.911	2539	1152.67	1294	1700.822
BT_0497	9094.363	4836	5630.002	6084.331	4732.173	4885.526
BT_0498	10949.51	9353	10127.998	2711.16	2731.827	3102.319
BT_0499	2897	2426	3048	3353.008	4149.736	4224.757
BT_0500	772.069	743.179	843	1181.729	1299.192	1279.544
BT_0501	1609.931	1261.821	1501	1659.13	1085.718	1320.892
BT_0502	1906.001	1930	1835	3667.141	3547.354	3680.885
BT_0503	669	674.16	844	355.483	286	277.273
BT_0504	5278	6551.84	5941	7154.654	7227	6766.727
BT_0505	46	28	40	47	33	48
BT_0506	606	467	509	2445	2689	2533
BT_0507	1898	1346	1551	361	232.399	375.83
BT_0508	1391	1756.793	1477	712.026	742.199	665.178
BT_0509	4018	3683.207	3510	3119.989	3255.402	2317.992
BT_0510	513	404	436	310	349	395.938
BT_0511	1707	1179	873	744	574	755.062
BT_0512	46	11	28	112	101	161
BT_0513	29	25	36	27	38.128	69.754
BT_0514	315	242	145	396	310.872	491.246
BT_0515	3248	2394.042	3442	1563	1371	1668
BT_0516	38910.776	26145.65	34671	39276.404	26973.8	26675.557
BT_0517	1874.179	2153.308	2244	827.117	875.2	1027.652
BT_0518	1043	1082	951	462	481	611.001
BT_0519	13095.248	9363.582	15507.022	9551.675	12908.389	11349.31
BT_0520	4289.752	4245.418	4500.978	6933.681	8509.592	6345.69
BT_0521	38.707	25	45	218.8	236	220.098
BT_0522	95.293	43	85	159.2	100	150.902
BT_0523	562	425.568	426	509.152	438.829	503.551
BT_0524	1358	987.432	880	501.848	449.806	478.449
BT_0525	4437	3118	2725	3123	2408	3097
BT_0526	189	151	171	171	154	190
BT_0527	489	362	423	173	192	246
BT_0528	129	163	208	72	43.557	82.451
BT_0529	169.507	255	230	107	94.834	134.267
BT_0530	290.493	436	325.301	150	210.609	269.283
BT_0531	448	403.688	474.699	702	720	624
BT_0532	779	729.312	642	292	316	460
BT_0533	3093	2220	2798	2766	2778	2858
BT_0534	7	5	0	8	3	11.004
BT_0535	25835.4	21831	28928	24782.927	29750.008	27814.772
BT_0536	41	50	61	71.428	75	55.269
BT_0537	723	430	248	418.572	275	498.731
BT_0538	0	0	0	0	0	2
BT_0539	21047	17529	27409	20505.929	25610	20325
BT_0540	2300.959	1807	1848	1901.315	1686.411	1943.323
BT_0541	2613.041	2670	2975	2241.685	2138.589	2576.677
BT_0542	3262	3154	5202	2064	2210.005	2368
BT_0543	238	198	239	2256	1427	1170.495
BT_0544	484	406.593	508	6257.749	4977	3293.505
BT_0545	85	31.407	53	240.589	115	127
BT_0546	283	254	252	1318.438	1222	1096.515
BT_0547	4771	4115	3660	6064.122	6670.002	5546.485
BT_0548	4589	4508	3007	1657.102	1861	2030
BT_0549	1870	1497	1386	6738.239	5124.646	4901
BT_0550	6672	5814	6116	2547	2413	3042.517
BT_0551	817	549	554	3099.006	2755	2103.483
BT_0552	773	750	759	3056.995	3093	2573
BT_0553	9510	7851	8120	22894.258	18716	16751.969
BT_0554	16917.214	13818.288	16395	25893.778	24960.442	21324.857
BT_0555	14164.375	12102.363	16099.376	29471.696	32834.959	29121.346
BT_0556	3403.274	2837.974	4150.624	2918.197	3454.065	3697.788
BT_0557	17106.941	14915.664	18408	41887.261	39371.562	33853.867
BT_0558	3584	4025	4026	2575.076	4085.034	3538.003
BT_0559	244	171	187	97	71	103
BT_0560	1271	941	1600	1306	1555	1584
BT_0561	389	390	302	464	486	709
BT_0562	2108	1506	2225	3326.623	3744.555	2682.614
BT_0563	1029	1014	1448	1145.309	1312.358	1100.559
BT_0564	171	160	193	212.068	199.087	201.827
BT_0565	7770	5634	5064	9106.994	7696	8112
BT_0566	11	6	15	9	14	9
BT_0567	52	32	50	61	29	44
BT_0568	168	68	90	33	34	30
BT_0569	157	137	155	249	172	222
BT_0570	10865	9415	10838	7820.237	7516	7793.929
BT_0571	4956	4067	4741	3480.97	3654	4007.058
BT_0572	7799	6275	7938	20021.967	19313.739	14573.753
