sample	condition
bt_t12_A	bt_t12_t36
bt_t12_B	bt_t12_t36
bt_t12_C	bt_t12_t36
bt_t36_A	bt_t12_t36
bt_t36_B	bt_t12_t36
bt_t36_C	bt_t12_t36
btri_t12_btA	btri_t12_t24_t36_bt
btri_t12_btB	btri_t12_t24_t36_bt
btri_t12_btC	btri_t12_t24_t36_bt
btri_t24_btA	btri_t12_t24_t36_bt
btri_t24_btB	btri_t12_t24_t36_bt
btri_t24_btC	btri_t12_t24_t36_bt
btri_t36_btA	btri_t12_t24_t36_bt
btri_t36_btB	btri_t12_t24_t36_bt
btri_t36_btC	btri_t12_t24_t36_bt
