time	experiment	replicate	butyrate
18	AMBR7_P	E	9.616313809
24	AMBR7_P	E	12.8322968
30	AMBR7_P	E	11.19057644
36	AMBR7_P	E	9.521018789
42	AMBR7_P	E	8.689090665
48	AMBR7_P	E	9.8859224
54	AMBR7_P	E	10.05283315
60	AMBR7_P	E	10.43805823
66	AMBR7_P	E	10.56171787
72	AMBR7_P	E	12.00476002
78	AMBR7_P	E	10.02242444
84	AMBR7_P	E	8.855768067
90	AMBR7_P	E	7.762686076
96	AMBR7_P	E	9.413873559
102	AMBR7_P	E	8.067433723
108	AMBR7_P	E	7.692954584
114	AMBR7_P	E	8.099712891
120	AMBR7_P	E	11.27925504
126	AMBR7_P	E	7.156508638
132	AMBR7_P	E	6.988500511
138	AMBR7_P	E	6.421916409
144	AMBR7_P	E	10.48205991
150	AMBR7_P	E	8.258177185
156	AMBR7_P	E	8.489757432
162	AMBR7_P	E	7.600090883
168	AMBR7_P	E	14.52883001
174	AMBR7_P	E	11.05933575
180	AMBR7_P	E	11.75337737
186	AMBR7_P	E	9.28868154
192	AMBR7_P	E	16.66371076
198	AMBR7_P	E	11.10440771
204	AMBR7_P	E	10.99099608
210	AMBR7_P	E	9.620501208
216	AMBR7_P	E	11.82548184
222	AMBR7_P	E	10.62316368
228	AMBR7_P	E	11.31426089
234	AMBR7_P	E	8.956679052
240	AMBR7_P	E	11.83436927
246	AMBR7_P	E	10.07000259
252	AMBR7_P	E	9.958554202
258	AMBR7_P	E	8.353366555
0	AMBR7_P	F	3.018679838
6	AMBR7_P	F	8.685671293
12	AMBR7_P	F	10.8332107
18	AMBR7_P	F	10.77924672
24	AMBR7_P	F	11.77242369
30	AMBR7_P	F	11.64050501
36	AMBR7_P	F	11.54837305
42	AMBR7_P	F	11.31454109
48	AMBR7_P	F	12.59086542
54	AMBR7_P	F	12.39316562
60	AMBR7_P	F	11.64571859
66	AMBR7_P	F	10.7333801
72	AMBR7_P	F	12.70904598
78	AMBR7_P	F	11.09850236
84	AMBR7_P	F	12.72123335
90	AMBR7_P	F	11.07061086
96	AMBR7_P	F	12.62545234
102	AMBR7_P	F	10.70366408
108	AMBR7_P	F	14.1246863
114	AMBR7_P	F	8.640693962
120	AMBR7_P	F	14.64028758
126	AMBR7_P	F	8.946697461
132	AMBR7_P	F	8.458827823
