time	experiment	replicate	acetate
132	AMBR7_P	D	23.55220066
138	AMBR7_P	D	24.84011537
144	AMBR7_P	D	24.37206401
150	AMBR7_P	D	21.58082829
156	AMBR7_P	D	20.14283729
162	AMBR7_P	D	18.89131184
168	AMBR7_P	D	17.97125605
174	AMBR7_P	D	16.43682461
180	AMBR7_P	D	15.41232117
186	AMBR7_P	D	15.08199854
192	AMBR7_P	D	14.08572983
198	AMBR7_P	D	17.05051529
204	AMBR7_P	D	18.41671313
210	AMBR7_P	D	19.1765119
216	AMBR7_P	D	20.20706523
222	AMBR7_P	D	21.46514568
228	AMBR7_P	D	22.02635042
234	AMBR7_P	D	21.56529794
240	AMBR7_P	D	21.2506769
246	AMBR7_P	D	21.47160693
252	AMBR7_P	D	21.36746541
258	AMBR7_P	D	20.88825753
0	AMBR7_P	E	1.806316171
6	AMBR7_P	E	2.488808447
12	AMBR7_P	E	10.17299824
18	AMBR7_P	E	7.686900716
24	AMBR7_P	E	5.198972631
30	AMBR7_P	E	6.346772704
36	AMBR7_P	E	8.007308087
42	AMBR7_P	E	8.467438345
48	AMBR7_P	E	9.482991316
54	AMBR7_P	E	8.362651083
60	AMBR7_P	E	8.307941867
66	AMBR7_P	E	8.51470191
72	AMBR7_P	E	11.70139989
78	AMBR7_P	E	16.36355436
84	AMBR7_P	E	17.55329326
90	AMBR7_P	E	23.83314743
96	AMBR7_P	E	25.77388195
102	AMBR7_P	E	27.54242613
108	AMBR7_P	E	27.36136377
114	AMBR7_P	E	28.9108855
120	AMBR7_P	E	30.73077338
126	AMBR7_P	E	22.7339885
132	AMBR7_P	E	23.35152877
138	AMBR7_P	E	24.28402874
144	AMBR7_P	E	24.79630629
150	AMBR7_P	E	24.27198827
156	AMBR7_P	E	23.0619702
162	AMBR7_P	E	23.26926979
168	AMBR7_P	E	23.02788073
174	AMBR7_P	E	22.11910008
180	AMBR7_P	E	21.74836928
186	AMBR7_P	E	21.94522029
192	AMBR7_P	E	14.27604592
198	AMBR7_P	E	23.74091818
204	AMBR7_P	E	23.40162691
210	AMBR7_P	E	23.41906291
216	AMBR7_P	E	23.75933571
222	AMBR7_P	E	23.59454415
228	AMBR7_P	E	23.81607687
234	AMBR7_P	E	23.92912676
240	AMBR7_P	E	23.69147057
246	AMBR7_P	E	22.98298298
252	AMBR7_P	E	23.16756583
258	AMBR7_P	E	23.54190705
0	AMBR7_P	F	10.50770426
6	AMBR7_P	F	14.92204861
12	AMBR7_P	F	12.12007156
18	AMBR7_P	F	13.6193727
24	AMBR7_P	F	14.8670457
30	AMBR7_P	F	17.04158013
36	AMBR7_P	F	14.18915769
42	AMBR7_P	F	15.50963025
48	AMBR7_P	F	15.72175235
54	AMBR7_P	F	16.59720408
60	AMBR7_P	F	16.25432917
66	AMBR7_P	F	18.73689425
72	AMBR7_P	F	20.00804835
78	AMBR7_P	F	22.08502401
84	AMBR7_P	F	22.68818193
90	AMBR7_P	F	24.73142017
96	AMBR7_P	F	24.89742669
102	AMBR7_P	F	25.3375265
108	AMBR7_P	F	23.43804487
114	AMBR7_P	F	25.74728693
120	AMBR7_P	F	28.87832286
126	AMBR7_P	F	20.68050256
132	AMBR7_P	F	22.27568355
138	AMBR7_P	F	25.02561279
144	AMBR7_P	F	26.87621888
150	AMBR7_P	F	26.1136305
156	AMBR7_P	F	22.01023651
162	AMBR7_P	F	19.93338139
168	AMBR7_P	F	18.81388588
174	AMBR7_P	F	17.93643953
180	AMBR7_P	F	16.3903101
186	AMBR7_P	F	17.35766486
192	AMBR7_P	F	15.3473633
198	AMBR7_P	F	19.67483376
204	AMBR7_P	F	20.02291861
210	AMBR7_P	F	21.62311055
216	AMBR7_P	F	23.33051679
222	AMBR7_P	F	24.04622714
228	AMBR7_P	F	23.8525618
234	AMBR7_P	F	23.68939654
240	AMBR7_P	F	24.94643998
246	AMBR7_P	F	24.65646047
252	AMBR7_P	F	24.60961688
258	AMBR7_P	F	24.59393156
