time	experiment	replicate	bh
156	AMBR7_P	D	1.177743091
162	AMBR7_P	D	0.689766866
168	AMBR7_P	D	0.589580735
174	AMBR7_P	D	0.505184546
180	AMBR7_P	D	0.409897706
186	AMBR7_P	D	0.587490605
192	AMBR7_P	D	2.862859286
198	AMBR7_P	D	4.574312195
204	AMBR7_P	D	6.838672354
210	AMBR7_P	D	6.570977335
216	AMBR7_P	D	5.133418949
222	AMBR7_P	D	9.615593904
228	AMBR7_P	D	10.1645256
234	AMBR7_P	D	6.148110987
240	AMBR7_P	D	5.945473483
246	AMBR7_P	D	5.801464789
252	AMBR7_P	D	0
258	AMBR7_P	D	0
0	AMBR7_P	E	0.070729879
6	AMBR7_P	E	0.244416029
12	AMBR7_P	E	0.475086752
18	AMBR7_P	E	0.196981371
24	AMBR7_P	E	0.061746191
30	AMBR7_P	E	0.016383353
36	AMBR7_P	E	0
42	AMBR7_P	E	0
48	AMBR7_P	E	0
54	AMBR7_P	E	0
60	AMBR7_P	E	0.137374061
66	AMBR7_P	E	0.434303526
72	AMBR7_P	E	2.108636204
78	AMBR7_P	E	7.845766627
84	AMBR7_P	E	10.20277338
90	AMBR7_P	E	21.85489597
96	AMBR7_P	E	18.40821031
102	AMBR7_P	E	23.64454511
108	AMBR7_P	E	20.33989872
114	AMBR7_P	E	19.22386936
120	AMBR7_P	E	16.073094
126	AMBR7_P	E	7.563653096
132	AMBR7_P	E	8.736642916
138	AMBR7_P	E	8.613915807
144	AMBR7_P	E	9.139935421
150	AMBR7_P	E	7.577849758
156	AMBR7_P	E	5.941637785
162	AMBR7_P	E	5.92389271
168	AMBR7_P	E	5.422435832
174	AMBR7_P	E	8.802845979
180	AMBR7_P	E	6.256888076
186	AMBR7_P	E	7.345969414
192	AMBR7_P	E	9.505492508
198	AMBR7_P	E	10.66002859
204	AMBR7_P	E	10.28752074
210	AMBR7_P	E	7.250443257
216	AMBR7_P	E	10.2058793
222	AMBR7_P	E	8.420276318
228	AMBR7_P	E	9.12258005
234	AMBR7_P	E	9.210791152
240	AMBR7_P	E	14.34570763
246	AMBR7_P	E	9.927630345
252	AMBR7_P	E	9.683401049
258	AMBR7_P	E	10.27342672
0	AMBR7_P	F	2.8045
6	AMBR7_P	F	1.917240594
12	AMBR7_P	F	1.576630205
18	AMBR7_P	F	0.114141152
24	AMBR7_P	F	0.073889703
30	AMBR7_P	F	0
36	AMBR7_P	F	0
42	AMBR7_P	F	0
48	AMBR7_P	F	0.127853366
54	AMBR7_P	F	0.438323391
60	AMBR7_P	F	2.25817769
66	AMBR7_P	F	3.19529308
72	AMBR7_P	F	2.355334625
78	AMBR7_P	F	3.110547715
84	AMBR7_P	F	2.562415132
90	AMBR7_P	F	6.617851219
96	AMBR7_P	F	6.928172562
102	AMBR7_P	F	11.71223569
108	AMBR7_P	F	8.867907936
114	AMBR7_P	F	8.006364692
120	AMBR7_P	F	7.840950033
126	AMBR7_P	F	5.598105853
132	AMBR7_P	F	6.024256127
138	AMBR7_P	F	7.128722005
144	AMBR7_P	F	6.700265642
150	AMBR7_P	F	2.267292703
156	AMBR7_P	F	0.582963929
162	AMBR7_P	F	0.257920808
168	AMBR7_P	F	0.167318655
174	AMBR7_P	F	0.286207245
180	AMBR7_P	F	0.605651799
186	AMBR7_P	F	0.956316555
192	AMBR7_P	F	4.131613767
198	AMBR7_P	F	6.39357882
204	AMBR7_P	F	7.367476196
210	AMBR7_P	F	7.250443257
216	AMBR7_P	F	12.36541196
222	AMBR7_P	F	10.13790723
228	AMBR7_P	F	10.70439286
234	AMBR7_P	F	7.729470841
240	AMBR7_P	F	12.38397417
246	AMBR7_P	F	9.397307003
252	AMBR7_P	F	10.02183422
258	AMBR7_P	F	6.364849464
